name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
100% Apple Juice,"Brand: OCEAN SPRAY
CASE | 24 x 7.2 OZ",,,688289,db21a39a-d8cf-4cc8-af50-d056f31bde87,EACH,,CASE,,31200022189,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d9aebf5e-7655-479d-ab1a-6858b31fa0a9.png""]",,,,,,,Beverages,Juice,,,,,Ace Endico,,,Food
* 100% Fruit Punch Brick Pack 6.75 oz,"Brand: MOTTS
CASE | 32 x 6.75 OZ
EACH | 1 x 6.75 OZ",,,688591,87033dbd-f39c-4d4f-9488-f66a4afa6caa,EACH,,CASE,,1.00148E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0aef1c09-4eed-5a71-b1c2-c94ff18ace06.jpg""]",,,,,,,Beverages,,,,,,Ace Endico,,,Food
* 100% Fruit Punch Brick Pack 6.75 oz,"Brand: MOTTS
CASE | 32 x 6.75 OZ
EACH | 1 x 6.75 OZ",,,688591,93dde552-45a9-4fee-ac76-57ed98d04c3d,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0aef1c09-4eed-5a71-b1c2-c94ff18ace06.jpg""]",,,,,,,Beverages,,,,,,Ace Endico,,,Food
100% Grape Juice Cup,"Brand: SUNCUP
CASE | 72 x 4 OZ",,,371772,acc9f253-824a-4a55-99fe-c16c88e4113b,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/046c7cb8-cab0-4d1c-bb2c-9b06d5478ce6.xsl""]",,,,,,,Beverages,Juice,,,,,Ace Endico,,,Food
100% Orange Juice,"Brand: OCEAN SPRAY
CASE | 24 x 7.2 OZ",,,688288,a20cfb18-9c64-4ada-8666-04613a6d5026,EACH,,CASE,,31200022196,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5d55bee9-9dcc-4be6-ab4e-7241f6cf2359.png""]",,,,,,,Beverages,Juice,,,,,Ace Endico,,,Food
100% Pineapple Juice,"Brand: RUBY KIST
CASE | 8 x 48 OZ",,,687665,7c950494-8059-4eb0-b88a-864ee7377786,EACH,,CASE,,1.00412E+13,,,,,,,,,,,Beverages,Juice,,,,,Ace Endico,,,Food
12x12 Lavash Bread,"Brand: DAMASCUS
CASE | 6 x 12 COUNT",,,638391,9fe9d605-f878-4d7f-afff-b44bb41d5a7e,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7e5b3412-39b3-444c-9e08-abddfe63e4b3.jpeg""]",,,,,,,Beverages,,,,,,Ace Endico,,,Food
16 OZ Fresh Orange Juice,"Brand: NATALIE'S
CASE | 12 x 16 OZ",,,135842,63895e36-e1e4-44df-863d-7475f3873e14,EACH,,CASE,,,,,,,,,,,,,Beverages,Juice,,,,,Ace Endico,,,Food
20oz Blue Powerade,"Brand: POWERADE
CASE | 3 x 8PK (20OZ EA)",,,689298,a1af0d73-d750-4d38-b58d-fe759301d9a3,EACH,,CASE,,,,,,,,,,,,,Beverages,,,,,,Ace Endico,,,Food
20oz Grape Soda,"Brand: WELCH'S
CASE | 24 x 20 OZ",,,753141,470b275d-42e9-4e9c-aa38-0be46bfe3d14,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e2550d0c-06c3-4a3f-97ad-8b50fe1ce150.xsl""]",,,,,,,Beverages,Soft Drinks,,,,,Ace Endico,,,Food
20oz Orange Powerade,"Brand: POWERADE
CASE | 3 x 8PK (20OZ EA)",,,686308,2a797fbb-ec75-42e1-8cea-cf4070c407c8,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/494f8058-f467-487b-ade1-e3745547d157.jpeg""]",,,,,,,Beverages,,,,,,Ace Endico,,,Food
20oz Red Zero Powerade,"Brand: POWERADE
CASE | 3 x 8PK (20OZ EA)",,,689306,52af8444-f690-434a-898f-0bf6d6766459,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/83ffed57-39db-5331-b948-d9594a3c60ae.jpg""]",,,,,,,Beverages,,,,,,Ace Endico,,,Food
2.5 oz Cafe Blend Coffee,"Brand: CAFE INDIGO
CASE | 84 x 2.5 OZ",,,390477,5a76cfcf-b75b-4ed6-836a-3d2dcf28724c,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/367f087a-fdf2-51f7-b17d-2865b9416c61.jpg""]",,,,,,,Beverages,Coffee,,,,,Ace Endico,,,Food
2.5 oz Colombian Coffee,"Brand: CAFE INDIGO
CASE | 84 x 2.5 OZ",,,390476,dd93eaf9-f5d1-4338-aca2-e94fc8ce039c,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/db622883-5f99-4440-b992-134a0c85b791.jpeg""]",,,,,,,Beverages,Coffee,,,,,Ace Endico,,,Food
2 oz Colombian Coffee,"Brand: CAFE INDIGO
CASE | 84 x 2 OZ",,,390480,99d8d0a9-d4c9-4bc3-9e2b-cfde38b9e8a4,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f9ccbba3-d7a5-551a-9190-96d65902a7a3.jpg""]",,,,,,,Beverages,Coffee,,,,,Ace Endico,,,Food
