name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
* 0.4oz Soft Pretzel Bites,"Brand: J&J SUPERPRETZ
CASE | 1 x 350 CT",,,642479,e5dea60e-2f6b-41e2-a78b-2b68f3c537fd,EACH,,CASE,,1.00733E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cc71cc97-1d25-5d61-913f-56395e54e602.jpg""]",,,,,,,Bakery & Bread,Bread,Pretzels,,,,Ace Endico,,,Food
100% Mozzarella Sticks,"Brand: THE MAX
CASE | 192 x 1.93 OZ",,,360440,1bcfd288-181d-48b5-a4e1-94cd9a989ac3,EACH,,CASE,,2.00774E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/ac4b83f7-24d5-4052-98e2-befae62f718e.png""]",,,,,,,Bakery & Bread,Bread,,,,,Ace Endico,,,Food
"10"" Foot Long Hot Dog Bun Sliced","Brand: EUROPEAN BAKER
CASE | 8 x 8 CT",,,210989,126bfff3-841c-4991-8662-455ef224ce6e,EACH,,CASE,,1.00754E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/ffaf7011-52b9-4a10-9f1f-e2998c060d2e.xsl""]",,,,,,,Bakery & Bread,Bread,Buns,,,,Ace Endico,,,Food
"10"" Gluten Free Wrap","Brand: FATHER SAM'S
CASE | 10 x 10 CT",,,449549,a3191caa-21da-46ac-94eb-72d588eb9eaf,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a390309d-97c2-5905-a13e-9effc8111d33.jpg""]",,,,,,,Bakery & Bread,Bread,Gluten Free,,,,Ace Endico,,,Food
* 10oz Soft Bavarian Pretzel,"Brand: BRAUHAUS J&J
CASE | 12 x 10 OZ",,,642656,e057d956-d663-4e68-b412-5aa76cfbf281,EACH,,CASE,,1.00733E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/45b44127-612f-5f17-a2a1-a5d595d97f2e.jpg""]",,,,,,,Bakery & Bread,Bread,Pretzels,,,,Ace Endico,,,Food
"10"" White Flour Tortilla","Brand: MAYAN FARM
CASE | 6 x 12 CT",,,449181,e6d5370a-4023-41a3-a9bf-1d5b5e81eda0,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/79b63eef-a43a-50c5-b258-ac4742c51df0.jpg""]",,,,,,,Bakery & Bread,Bread,"Tortillas, Pitas, Wraps",,,,Ace Endico,,,Food
"10"" White/Wheat Blend Wrap","Brand: FATHER SAM'S
CASE | 12 x 12 CT",,,449555,ef302c15-f668-4aa1-9f31-f6adc0cc5676,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/62ec2932-e719-4bc0-9fd0-fa3dd189faae.jpeg""]",,,,,,,Bakery & Bread,Bread,"Tortillas, Pitas, Wraps",,,,Ace Endico,,,Food
"10"" Whole Wheat Tortilla","Brand: WRAPPY
CASE | 10 x 12 CT",,,449247,fd0fbb28-dbe0-4e92-80cd-f9ce103d3d95,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/621d063e-638e-52b7-be05-528579180a43.jpg""]",,,,,,,Bakery & Bread,Bread,"Tortillas, Pitas, Wraps",,,,Ace Endico,,,Food
"11"" Quinoa Tortilla","Brand: MARIA RICARDO
CASE | 8 x 8 CT",,,449010,fc437a52-c2b3-4be7-9b01-94a2ba11083c,EACH,,CASE,,1.00353E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/60f7df70-dc0f-4306-8088-04b294ad2e83.xsl""]",,,,,,,Bakery & Bread,Bread,"Tortillas, Pitas, Wraps",,,,Ace Endico,,,Food
"12"" Flour Spinach Wrap","Brand: WRAPPY
CASE | 10 x 12 CT",,,449912,7d9b6d37-ad0e-4df1-8519-a2104d7567f7,EACH,,CASE,,1.00353E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a0d37623-563c-41d2-a6d9-3f6b81e2a642.xsl""]",,,,,,,Bakery & Bread,Bread,"Tortillas, Pitas, Wraps",,,,Ace Endico,,,Food
