name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
"* 10"" Apple Lattice Pie Pre-Baked","Brand: CHEF PIERRE
CASE | 6 x 38 OZ",,,375720,acd1aa6b-ac50-4e0e-b476-2f2e04b8889e,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/289d5e9f-9540-526e-8890-dc8f990ef62b.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Banana Cream Pie","Brand: CHEF PIERRE
CASE | 6 x 27 OZ",,,375830,9fc9d7e4-2566-4472-b1bd-ea42bdefb10c,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9875ca9c-346f-5988-9409-e07aad3132e1.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Boston Cream Pie","Brand: CHEF PIERRE
CASE | 6 x 30 OZ",,,376050,ff96f789-d057-4891-92bc-736522e89c02,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2a51591b-1931-5e78-b4c8-641c9608d0e0.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"10"" Carrot Cake Tower","Brand: DIANNE'S
CASE | 1 x 208 OZ",,,212143,d60029f9-92df-4cc8-a4b3-653445f02e66,EACH,,CASE,,,,,,,,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Chocolate Cream Pie","Brand: CHEF PIERRE
CASE | 6 x 27 OZ",,,376220,2ae780e6-a8c8-422b-94d7-e9d133c7836f,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a0817ead-0879-5bec-b2db-ae3354ef1ea8.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Churros","Brand: CALIFORNIA CHU
CASE | 1 x 100 CT",,,315007,c88b77cb-8fbf-4232-ad76-dff9f6c79459,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f36bd5d1-7066-5032-8e9b-504d38a26c0a.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"10"" Churros With Cinnamon Sugar","Brand: J&J SNACK
CASE | 1 x 100 CT",,,315048,0aeb1ad4-7f62-4c87-8b89-944d8dbd01ba,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/fa94ba6d-9e42-5dad-a66d-d2e3f319f046.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Lemon Meringue Pie","Brand: CHEF PIERRE
CASE | 6 x 36 OZ",,,376820,19e3d8fb-95ab-45e3-95e5-2f4104790f16,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/1d11867b-3ed9-560e-98ad-7ccbbfc7f8b3.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"10"" Peanut Butter Cheesecake","Brand: JUNIOR'S
CASE | 2 x 10"" (14 SLICE)",,,314678,ff127167-74f3-4409-93b0-3f620587d137,EACH,,CASE,,,,,,,,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"10"" Pink Velvet Cake","Brand: CAROUSEL CAKES
CASE | 1 x 10"" CAKE",,,215560,624429aa-6a24-4cb3-a272-7e7a2c248ee6,,,CASE,,,,,,,,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Pre-Baked Apple Hi Pie","Brand: CHEF PIERRE
EACH | 1 x 45 OZ
CASE | 4 x 45 OZ",,,375610,6ac48e2e-91d5-41f3-afb4-8e409b2d8838,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/63c0e4af-11fe-51ae-b5a3-7182c8415188.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
"* 10"" Pre-Baked Apple Hi Pie","Brand: CHEF PIERRE
EACH | 1 x 45 OZ
CASE | 4 x 45 OZ",,,375610,60e3d5f3-7970-4130-a129-dd665bf514ca,,,EACH,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/63c0e4af-11fe-51ae-b5a3-7182c8415188.jpg""]",,,,,,,Dairy & Eggs,Dessert,,,,,Ace Endico,,,Food
