name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
00 Flour,"Brand: DE CECCO
CASE | 10 x 2.2 LB",,,669027,541c6b56-a134-400b-b873-b6d51a4f95dd,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/de84b940-5aea-4c90-b77e-9a0325ec692f.xsl""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
00 Pasta & Gnocchi Flour,"Brand: CAPUTO
CASE | 10 x 1 KG",,,667939,85c94860-c3b8-429a-909b-bb7ea38f6032,EACH,,CASE,,,,,,,,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
4X Patent Flour #2942,"Brand: PILLSBURY
CASE | 1 x 50 LB",,,667949,f1f8e2de-5a95-45f8-9bae-9f803067d6d6,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f6705ed7-c158-5df1-9fe7-8f9a2aff7c4a.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
8612 Durum Semolina Flour,"Brand: PETRA
CASE | 1 x 12.5KG (28LB)",,,669446,77675e40-d628-4fc2-ba26-3c2aa22d9dd5,EACH,,CASE,,,,,,,,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
All-Purpose 00 Flour,"Brand: MOLINO GRASSI
CASE | 10 x 2.2 LB",,,669407,5af1b2f2-d5cf-41a7-a353-6aa5c1a99c42,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/60ba6b5c-96b3-53d6-8c3d-ebf89fd1e80d.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
* All Purpose Flour,"Brand: GOLD MEDAL
EACH | 1 x 25 LB
CASE | 2 x 25 LB",,,667823,6e7cdcc4-8f61-4673-ba96-0a27743631da,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6fdf1502-7cc1-548d-b087-116f6dc201f1.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
* All Purpose Flour,"Brand: GOLD MEDAL
EACH | 1 x 25 LB
CASE | 2 x 25 LB",,,667823,8ad3b5af-0a2a-49b7-9ebf-604d5d0299d8,,,EACH,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6fdf1502-7cc1-548d-b087-116f6dc201f1.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
All Purpose Flour,"Brand: WINGOLD
CASE | 2 x 25 LB
EACH | 1 x 25 LB",,,667840,68031d34-e274-43c2-a230-9e79eb48db1f,EACH,,CASE,,7.97E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cfb80d2d-cea7-5815-8b5a-1862d7b62d3f.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
All Purpose Flour,"Brand: WINGOLD
CASE | 2 x 25 LB
EACH | 1 x 25 LB",,,667840,eb10d960-574c-4231-a3fc-8a5e7021f81e,,,EACH,,7.97E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cfb80d2d-cea7-5815-8b5a-1862d7b62d3f.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
Americana 00 Flour,"Brand: CAPUTO
CASE | 1 x 25 KL",,,668715,8f5fc829-5e01-491f-a1ec-9de39c4fff8d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0598a488-9938-54e3-b315-2dd9fe32b9e2.jpg""]",,,,,,,Canned & Dry,Baking Ingredients,Flour,,,,Ace Endico,,,Food
