name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
0X1 Wagyu Beef Striploin,"Brand: SNF
CASE | 1 x 18 LB
Weighted item pricing is subject to change",,,582457,8973b74d-6929-4e4a-a7b6-29ad0f2ab08f,,,CASE,18,,,,,,,,,,,,Meat,Beef,Steaks,Striploin,,,Ace Endico,,,Food
10-14lb Whole Turkey,"Brand: ACE ENDICO
CASE | 4 x 14 LB AVG
EACH | 1 x 14 LB AVG
Weighted item pricing is subject to change",,,535070,fab6df8f-6275-483c-867e-6b1d21d99d2d,,,CASE,56,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/10e45d62-b101-51ae-8028-fc319518f03e.jpg""]",,,,,,,Meat,Poultry,Whole Poultry,Whole Turkey,,,Ace Endico,,,Food
10-14lb Whole Turkey,"Brand: ACE ENDICO
CASE | 4 x 14 LB AVG
EACH | 1 x 14 LB AVG
Weighted item pricing is subject to change",,,535070,6cdbcee4-c14c-4312-8b0f-33bde3375582,,,EACH,14,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/10e45d62-b101-51ae-8028-fc319518f03e.jpg""]",,,,,,,Meat,Poultry,Whole Poultry,Whole Turkey,,,Ace Endico,,,Food
10% Cooked Ham,"Brand: SMITHFIELD
EACH | 1 x 13 LB
CASE | 2 x 13 LB
Weighted item pricing is subject to change",,,528514,9f610c5e-d7be-4ad5-a911-233ec64cf359,,,CASE,26,1.00E+13,,,,,,,,,,,Meat,Pork,Ham,Regular Ham,,,Ace Endico,,,Food
10% Cooked Ham,"Brand: SMITHFIELD
EACH | 1 x 13 LB
CASE | 2 x 13 LB
Weighted item pricing is subject to change",,,528514,9dd2a341-43f4-4f70-8a93-bcf098436084,,,EACH,13,1.00E+13,,,,,,,,,,,Meat,Pork,Ham,Regular Ham,,,Ace Endico,,,Food
10oz Seared NY Strip,"Brand: PFD-CH
CASE | 16 x 10 OZ
Weighted item pricing is subject to change",,,480835,f5c6ead3-09cf-4e24-825c-6716d537f291,,,CASE,10,,,,,,,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
12oz Airline Chicken Breast,"Brand: MURRAYS
CASE | 1 x 20 LB AVG
Weighted item pricing is subject to change",,,328609,514bef5f-f1d4-4674-a8ef-66af15225cc9,POUND,,CASE,20,,,,,,,,,,,,Meat,Poultry,Chicken Cuts,Chicken Breast,,,Ace Endico,,,Food
"1/2"" Sliced Beef Short Ribs","Brand: MOSNER
CASE | 1 x 10 LB
Weighted item pricing is subject to change",,,480256,1de567ea-e8d1-4462-b2d3-6a5b9910f49c,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/cecad12e-95e6-5a7e-9a36-dc5c2b0f765d.jpg""]",,,,,,,Meat,Beef,Other Cuts,Other Subcategories,,,Ace Endico,,,Food
14-16oz Frenched Lamb Rack,"Brand: MOSNER FAMILY
CASE | 5 x 2 PACK
Weighted item pricing is subject to change",,,522920,a8231b98-ea5b-42c9-b445-34a8719a21f8,,,CASE,10,,,,,,,,,,,,Meat,Lamb,Chops,Other Chops,,,Ace Endico,,,Food
14 Month Italian Prosciutto,"Brand: GRAN VERONA
CASE | 1 x 14 LB AVG
Weighted item pricing is subject to change",,,529877,133440c3-39cd-402b-8092-64f805948b4a,,,CASE,14.3,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7223537c-1204-5347-a2f7-d97709ab1651.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
14 Month Prosciutto Di Parma,"Brand: LA TAVOLATA
CASE | 1 x 16 LB AVG
Weighted item pricing is subject to change",,,529884,37d45006-9f07-40fc-95a9-42e648a79744,,,CASE,16,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/ed6e4f51-f1b1-54bd-8e64-2959837af732.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
16/18 Month Prosciuto Di Parma,"Brand: LUPPI
CASE | 1 x 16.00 lb avg
Weighted item pricing is subject to change",,,529780,c7273de6-0d48-4a55-aeff-7d1bb14de197,,,CASE,16,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/45aee343-5853-59f7-94a6-602d52b8ed74.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
16 Month Aged Prosciutto Di Parma,"Brand: RUSTICO
CASE | 1 x 17 LB AVG
Weighted item pricing is subject to change",,,529811,68ba012e-3b82-4349-9ef5-8673e5140607,,,CASE,17,,,,,,,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
16oz NY Strip Loin,"Brand: PFD-PREFERRED
CASE | 10 x 16 OZ
Weighted item pricing is subject to change",,,480839,b07882fb-228d-4f36-afd3-c91533d80e68,,,CASE,10,,,,,,,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
18 Month Prosciutto Di Parma,"Brand: ROVAGNATI
CASE | 1 x 17 LB AVG
Weighted item pricing is subject to change",,,972673,c9d5fdff-bf27-4f0c-b2b4-0180cbf10cfc,,,CASE,17,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/3f8610fc-a943-5ce7-9f47-6cfa5c690080.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
20 Month Gold Label Prosciutto,"Brand: GALLONI
CASE | 2 x 17 LB AVG
EACH | 1 x 17 LB AVG
Weighted item pricing is subject to change",,,529684,efa72c55-19d1-4d83-9c52-331a69d638ea,,,CASE,34,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d3065d14-5095-5980-b49d-fb7b371f822a.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
20 Month Gold Label Prosciutto,"Brand: GALLONI
CASE | 2 x 17 LB AVG
EACH | 1 x 17 LB AVG
Weighted item pricing is subject to change",,,529684,c64fc32f-f87e-4a08-b8bf-f05de46cd600,,,EACH,17,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d3065d14-5095-5980-b49d-fb7b371f822a.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
20 Month Prosciutto,"Brand: PRINCIPE
CASE | 1 x 16 LB AVG
Weighted item pricing is subject to change",,,529938,48423483-83cf-43e4-9c82-8c283074ebe3,,,CASE,16,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f3c45902-2a0b-413c-b78f-4409bd865ab4.xsl""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
22 OZ Porterhouse,"Brand: CORNERSTONE
CASE | 8 x 22 OZ
Weighted item pricing is subject to change",,,502365,8f9ad7c6-79fd-4333-b52d-5f839b421a73,,,CASE,10,,,,,,,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
24 Month Black Label Prosciutto,"Brand: GALLONI
CASE | 2 x 17 LB
EACH | 1 x 17 LB
Weighted item pricing is subject to change",,,529664,3506ca4e-70cb-4f9d-84f4-ef70cbb3f280,,,CASE,34,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7511b6a8-0b16-5194-8cf8-d9ed7cd9d75a.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
24 Month Black Label Prosciutto,"Brand: GALLONI
CASE | 2 x 17 LB
EACH | 1 x 17 LB
Weighted item pricing is subject to change",,,529664,9701be0f-5a47-4b5a-b874-248b931ea227,,,EACH,17,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7511b6a8-0b16-5194-8cf8-d9ed7cd9d75a.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
38mm Pepperoni Sticks,"Brand: EZZO SUPREME
CASE | 1 x 12 STKS
Weighted item pricing is subject to change",,,973335,f0607788-7b99-40f3-8933-323ffed011f1,,,CASE,14,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/439f7064-2b33-5ac1-bd5c-3146c7744a68.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
38mm Sliced Pepperoni,"Brand: EZZO SUPREME
CASE | 1 x 10 LB
Weighted item pricing is subject to change",,,973328,a1ee3dfc-8606-4251-9965-eedc5e530800,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/37a44d04-ecf6-52a9-b47d-ab2605e34658.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
38mm Sliced Pepperoni,"Brand: GIANTONIO
CASE | 1 x 25 LB
Weighted item pricing is subject to change",,,973330,2a8875d7-5cb0-4b55-a992-0641cbcaa540,,,CASE,25,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/1bf200d6-6e64-550e-b2d5-164c35c688d2.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
* 38mm Thick Sliced Pepperoni,"Brand: GIANTONIO
CASE | 1 x 10 LB
Weighted item pricing is subject to change",,,973332,1fb7e4ac-c053-47e2-a40b-01c8cb3ac3aa,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f9f3913c-e357-5e1e-b8c8-e5e56eb878e6.jpg""]",,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
"3"" Cross Cut Beef Short Rib","Brand: MOSNER
CASE | 1 x 9 LB AVG
Weighted item pricing is subject to change",,,480218,b144c83f-c52f-473d-97f0-d6943541c52b,,,CASE,9,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/48cac4b1-8213-5a7b-b409-6806d0cea9f2.jpg""]",,,,,,,Meat,Beef,Other Cuts,Other Subcategories,,,Ace Endico,,,Food
40 Oz Porterhouse,"Brand: CORNERSTONE
CASE | 4 x 40 OZ
Weighted item pricing is subject to change",,,502361,e9fb560b-2f5a-414b-a7b9-474495ae81c1,,,CASE,10,,,,,,,,,,,,Meat,Protein (Other),Other Proteins,Other Subcategories,,,Ace Endico,,,Food
