name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
10-12lb Tuna Loin #1,"Brand: WILD
CASE | 1 x 12 LB
Weighted item pricing is subject to change",,,FS100001,8bbd1473-7d4b-4110-83e3-230f2e08fbd5,,,CASE,12,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f0b996eb-c07b-56f0-a0d5-a82605483418.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
10/12 Skinned & Gutted Whole Salmon,"Brand: CANADIAN FARM
CASE | 1 x 10 LB AVG
Weighted item pricing is subject to change",,,441249,88d07187-2af5-4708-b2ab-8f139d975ad5,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a698fd8f-f663-5e66-bef9-62c670d64e83.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
12-14lb Whole Atlantic Salmon,"Brand: CANADA FARMED
CASE | 1 x 12 LB
Weighted item pricing is subject to change",,,FS100057,aee54ebe-c7bc-4aab-8854-f7566023a369,,,CASE,12,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/08103e13-69e3-5c37-ae7e-b0a92676e603.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1.25-2lb Whole Black Bass,"Brand: SOUTHERN
CASE | 1 x 5 LB
Weighted item pricing is subject to change",,,410625,91f142f3-ac97-4b3a-807f-de4cee9571bf,LB,,CASE,5,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/76459913-d0dd-50c2-acac-f3fb00186162.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1.25lb Live Hard Shell Lobster,"Brand: FRESH CATCH
CASE | 1 x 1.25 LB
Weighted item pricing is subject to change",,,FS160036,7e03f2ea-4cf9-49c0-8462-a9dedd0d80b6,,,CASE,1.25,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/00e4da25-bd8d-5ccb-85d5-dc46489b43db.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1.5-2lb Red B-Liner Snapper,"Brand: WILD
CASE | 1 x 10 LB AVG
Weighted item pricing is subject to change",,,FS100124,da6c3073-c3b1-4484-9abc-29b75683a129,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/12d14cc6-1d69-550e-8584-93b1ff2e3ed8.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1.5lb Hard Shell Live Lobster,"Brand: FRESH CATCH
CASE | 1 x 1.5 LB AVG
Weighted item pricing is subject to change",,,FS160022,8c939a01-48be-4526-90e7-b7baeca2b0e1,,,CASE,1.5,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/87bcc61d-e0b2-5f62-b925-a02b5f0e6a3b.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1 oz Mini Crab Cake,"Brand: SEA 4 YOURSELF
CASE | 48 x 1 OZ",,,410618,7cc355cf-6647-48e9-a690-326fd8967e60,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1x1 Large Fish Container,CASE | 1 x CONTAINER,,,939618,a0b5c9bf-a964-41a2-959f-0c98cbab8cc1,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
1x1 Small Fish Container,CASE | 1 x CONTAINER,,,939617,57647702-b07b-4836-97f0-01eeb6a8fe5e,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
2-2.5lb Live Hard Shell Lobsters,"Brand: WILD MAINE
CASE | 1 x 2 LB AVG
Weighted item pricing is subject to change",,,FS160008,975abe24-3079-4ca8-a709-0e6bbdb911fe,,,CASE,2,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/fc68149f-3506-5c9b-8bc7-11880beae807.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
2-4LB American Red Snapper WHOLE,"Brand: WILD
CASE | 1 x 10 LB AVG
Weighted item pricing is subject to change",,,410157,a25bf2c8-eb24-4aa3-bfc5-f170475c8628,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/12d14cc6-1d69-550e-8584-93b1ff2e3ed8.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
2 oz Clams Casino,"Brand: LAGNIAPPE
CASE | 36 x 2 OZ",,,412295,8765a94d-0604-404c-9c7c-ffc6caaf8769,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
31/40 Fully Cooked Tempura Shrimp,CASE | 1 x 6.6LB,,,438164,945b71db-4075-4359-aea4-5eba1e541ae4,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
40-60 Scallops Dry Sea Trade,"Brand: PERU farmed
CASE | 1 x 8 LB
Weighted item pricing is subject to change",,,413607,2ed3d2d4-76fc-4bee-b6cb-f9e34990be6f,,,CASE,8,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b9883754-9221-5e97-b91a-16ad756e9e4b.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
4-5lb Salmon Fillet With Skin On and Pin Bone Out,"Brand: FRESH CATCH
CASE | 1 x 10 LB
Weighted item pricing is subject to change",,,441275,fb45b96e-4dfd-48f4-9b85-87064f555f37,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8eef222a-f73b-553b-b1fe-1b3027ba4d73.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
5-8 Calamari Tubes & Tentacles,"Brand: SEA APPLE CHINA
CASE | 1 x 10 LB",,,410901,025d873c-c717-43c6-89eb-ab1868049308,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
5-8 Calamri Tubes Only,"Brand: SEA APPLE CHINA
CASE | 1 x 10 LB",,,410925,fae4be56-35a6-49e0-a901-75286bcb1a3a,EACH,,CASE,1,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/19df538c-4dce-5ef8-906b-8af25182ceb0.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
5lb Striped Bass Filet With Skin On,"Brand: USA
CASE | 1 x 5 LB AVG
Weighted item pricing is subject to change",,,410494,dbb5a1e5-50d6-4b12-a0d8-af0f0af4de56,LB,,CASE,5,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
5 oz Frozen Clams Casino,"Brand: LAGNIAPPE
CASE | 24 x 5 OZ",,,415296,1a3c26e0-332d-428c-a2aa-9652725648b0,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
6/7oz Coldwater Lobster Tail,"Brand: CANADIAN
CASE | 1 x 10 LB",,,440207,e7516108-a35f-417a-afc9-f73d32ce137d,EACH,,CASE,1,,,,,,,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
"6oz Square Cut, Skin on Faroe","Brand: FAROE ISLANDS
CASE | 1 x 10 LB CS
Weighted item pricing is subject to change",,,410146,71cc88aa-3e7e-401a-9b49-570c697c2d9a,,,CASE,10,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/bad90f1e-a5c0-5c86-9a9a-1fb495cd7f38.jpg""]",,,,,,,Fresh Seafood,,,,,,Ace Endico,,,Food
