name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
* 10-Cut Coated Sweet Potato Fry Wedges,"Brand: MCCAIN
CASE | 6 x 2.5 LB",,,396071,521dc6dd-1490-40ab-b287-6ba5afd6147c,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/562c7249-4fd7-5755-af1e-79923e8890a5.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
10-Cut Savory Seasoned French Fry Wedges,"Brand: SIMPLOT
CASE | 6 x 5 LB",,,395570,e9f51878-28f6-4545-b8ab-b3b44db3378a,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/493bb7a4-94e6-5d72-9088-ccde4c03b834.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Clear Coat Crinkle Cut Fries","Brand: SIMPLOT
CASE | 6 x 5 LBS",,,388319,1b1a65b9-efaa-4677-818e-3b9c20151cd5,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e5738478-8de8-5e54-a5e0-78d273cb6a85.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Crinkle Cut Fries","Brand: ACE ENDICO
CASE | 6 x 5 LB",,,381795,e94b398b-fe4c-463d-b27f-37139ebf5857,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/57fd137d-e9ea-574a-9ebc-7a71724f7054.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Crinkle Cut Fries","Brand: CAVENDISH
CASE | 6 x 5 LB",,,384550,8193d6d1-3d97-4751-8102-e2c377affdf4,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/06263de3-5a12-5c5c-80a8-fe8ba47475a1.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Crinkle Cut Fries","Brand: FAIR ISLE
CASE | 6 x 5 LB",,,384610,2c5dc733-7fcc-4448-9df7-4c3199453c9e,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7f66ad80-4a57-5a4f-962b-4e88a6999319.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
1/2 Inch Frite Street French Fries,"Brand: FRITES STREET
CASE | 6 x 5 LB",,,381696,028392d1-48c8-44d0-b64c-214fd8463f14,EACH,,CASE,,,,,,,,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Ovenable Crinkle Cut Fries","Brand: SCOTCH MAID
CASE | 6 x 5 LB",,,384582,4cc97186-fa01-43e2-886c-5429ba6618f1,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/427786ff-3f1d-5044-818d-55a3e76dcf28.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"1/2"" Skin-On Seasoned Fries","Brand: MCCAINS
CASE | 6 x 5 LB",,,387654,4fa1ed69-b9ee-472c-ad3b-40d0719ae2c3,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5a14eea0-061e-4267-a430-05b3cb3cd07a.png""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
"* 1/4"" Classic Shoestring Fries","Brand: SIMPLOT
CASE | 6 x 4.5 LB",,,388312,cf1868d9-fee1-4973-8b8a-c28d5442bb19,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0023fa07-fe19-508f-a591-a306f5bd43bb.jpg""]",,,,,,,Frozen,French Fries,,,,,Ace Endico,,,Food
