name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level 1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
10oz Ahi Tuna Saku Block,"Brand: SEA BEST
CASE | 35 x 10 OZ
EACH | 1 x 10 OZ",,,409864,094a7747-4702-43f9-adb8-ae852511a36b,EACH,,CASE,,,,,,,,,,,,,Meat,Seafood,FinFish,Tuna,,,Ace Endico,,,Food
10oz Ahi Tuna Saku Block,"Brand: SEA BEST
CASE | 35 x 10 OZ
EACH | 1 x 10 OZ",,,409864,23bdac3d-0ec8-4b4f-8895-17b84bd89c90,,,EACH,,,,,,,,,,,,,Meat,Seafood,FinFish,Tuna,,,Ace Endico,,,Food
11 & Up Snow Crab Clusters Frozen,"Brand: PACKER
CASE | 1 x 20 LB",,,440303,14eae27a-bc20-4e71-bb59-838a3342c467,EACH,,CASE,,,,,,,,,,,,,Meat,Seafood,Shellfish,Crab,,,Ace Endico,,,Food
12/14 Snow Crab Clusters,"Brand: NORWEGIAN
CASE | 1 x 20 LB",,,440316,cf3f1d55-67f6-47e2-ab2a-105c3a702583,EACH,,CASE,,,,,,,,,,,,,Meat,Seafood,Shellfish,Crab,,,Ace Endico,,,Food
1.25 oz Whole Grain Pollack Fish Stick,"Brand: NORTH ATLANTIC
CASE | 1 x 10 LB",,,410440,e587a82a-e2f8-4f86-8bd1-c1da4509af43,EACH,,CASE,,,,,,,,,,,,,Meat,Seafood,Other,,,,Ace Endico,,,Food
13-15 Tiger Shrimp P&D T-On,"Brand: XCELLENT
EACH | 1 x 2 LB
CASE | 5 x 2 LB",,,436470,8cdc1f5a-ab30-40d8-bcb2-85e723e27a38,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/293ff463-17d3-5253-9228-be79278d9c70.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
13-15 Tiger Shrimp P&D T-On,"Brand: XCELLENT
EACH | 1 x 2 LB
CASE | 5 x 2 LB",,,436470,598a528b-f415-4c9a-846a-7b3abcf1de79,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/293ff463-17d3-5253-9228-be79278d9c70.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
13-15 Tiger Shrimp With Shell On,"Brand: ACE ENDICO
EACH | 1 x 4 LB
CASE | 6 x 4 LB",,,436420,d62c5990-c522-404c-979d-c25af8289b09,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/24cb2725-63a2-5ea1-8403-e4502a56ed1c.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
13-15 Tiger Shrimp With Shell On,"Brand: ACE ENDICO
EACH | 1 x 4 LB
CASE | 6 x 4 LB",,,436420,2265f537-3cf6-488b-8acd-afa9a47f5fca,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/24cb2725-63a2-5ea1-8403-e4502a56ed1c.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
16-20 Breaded Shrimp Frozen,"Brand: MRS FRIDAYS
CASE | 4 x 3.0 LB
EACH | 1 x 3.0 LB",,,437980,b9e023d5-9046-4b00-92d9-3c84efacafdf,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0f8e741f-6abb-565c-8279-5ca60de00d0f.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
16-20 Breaded Shrimp Frozen,"Brand: MRS FRIDAYS
CASE | 4 x 3.0 LB
EACH | 1 x 3.0 LB",,,437980,4a17bb47-7f2f-4c4a-875e-8a4c09d64bf4,,,EACH,,7001713220,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0f8e741f-6abb-565c-8279-5ca60de00d0f.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
*16-20 Coconut Shrimp Frozen,"Brand: MRS FRIDAYS
CASE | 4 x 2.5 LB",,,438140,ad9da8b2-be7f-4b32-8594-a8949a12978d,EACH,,CASE,,1.00E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2cddc13a-34f0-537c-9356-8a7869e4a28c.jpg""]",,,,,,,Meat,Seafood,Shellfish,Shrimp,,,Ace Endico,,,Food
