name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
0.5oz Stainless Ladle,"Brand: WINCO
CASE | 12 x 1 CT
EACH | 1 x 1 CT",,,379663E,aeebd236-2639-4796-9270-f54393005e67,EACH,,CASE,,8.12944E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/83442154-fc9f-5392-a8a5-0546ff4246f7.jpg""]",,,,,,,Supplies & Equipment,Other Supplies,General,,,,Ace Endico,,,Non-Food
0.5oz Stainless Ladle,"Brand: WINCO
CASE | 12 x 1 CT
EACH | 1 x 1 CT",,,379663E,4082dca4-d43d-4302-94fb-eb1c89fec199,,,EACH,,8.12944E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/83442154-fc9f-5392-a8a5-0546ff4246f7.jpg""]",,,,,,,Supplies & Equipment,Other Supplies,General,,,,Ace Endico,,,Non-Food
10-20oz Hot Cup Foldback Lid,"Brand: AMHILL
CASE | 1 x 1000 CT",,,871781,b7466512-dcd7-4789-983f-edff3189762f,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/c3bf9a69-d3af-510d-8efe-0bc91cdfd6cd.jpg""]",,,,,,,Supplies & Equipment,Disposables,Beverage Cups,,,,Ace Endico,,,Non-Food
"10.25"" Individually Wrapped Red Straws","Brand: CELLOCORE
CASE | 4 x 300 CT",,,925130,f88a34b1-f796-45f8-8f42-0ce93cc6138d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6f229227-afb6-509a-bf21-7590a0c81bd4.jpg""]",,,,,,,Supplies & Equipment,Food Storage & Wraps,Food Wraps,,,,Ace Endico,,,Non-Food
"10"" Aluminum Fry Pan","Brand: GLADIATOR
CASE | 6 x 1 CT
EACH | 1 x 1 CT",,,504820,a9882410-ac63-4dad-99d6-b68890ad0927,EACH,,CASE,,8.11642E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/dd1f2b7c-74ca-4a25-8f28-cf00cc1616d9.png""]",,,,,,,Supplies & Equipment,Other Supplies,General,,,,Ace Endico,,,Non-Food
"10"" Aluminum Fry Pan","Brand: GLADIATOR
CASE | 6 x 1 CT
EACH | 1 x 1 CT",,,504820,e29a2474-8a9e-49df-9a86-c31e6574dc60,,,EACH,,8.11642E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2cfb886b-22ea-4051-9c8b-701d3ea44224.png""]",,,,,,,Supplies & Equipment,Other Supplies,General,,,,Ace Endico,,,Non-Food
"10"" Bamboo Skewers","Brand: HANDGARDS
CASE | 10 x 10/100 CT
EACH | 1 x 10/100 CT",,,924197,d2efd0e9-0e93-4633-af24-cc248b8cfcc8,EACH,,CASE,,1.07381E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/042d9311-a542-5ba9-a618-795ae7a7584a.jpg""]",,,,,,,Supplies & Equipment,Kitchen & Cutlery,Skewers & Picks,,,,Ace Endico,,,Non-Food
"10"" Bamboo Skewers","Brand: HANDGARDS
CASE | 10 x 10/100 CT
EACH | 1 x 10/100 CT",,,924197,d0ac9eb8-e2c4-45fb-bc81-b1cdff29ade2,,,EACH,,1.07381E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/042d9311-a542-5ba9-a618-795ae7a7584a.jpg""]",,,,,,,Supplies & Equipment,Kitchen & Cutlery,Skewers & Picks,,,,Ace Endico,,,Non-Food
"10"" Bowl Shaped Spatula","Brand: WINCO
EACH | 1 x 1 CT
CASE | 12 x 1 CT",,,632097,2f1e79f1-206d-4bf8-a29c-655ff451f164,EACH,,CASE,,8.42169E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0af32723-990b-557e-aaa1-6f37ee3e4764.jpg""]",,,,,,,Supplies & Equipment,Disposables,Bowls,,,,Ace Endico,,,Non-Food
"10"" Bowl Shaped Spatula","Brand: WINCO
EACH | 1 x 1 CT
CASE | 12 x 1 CT",,,632097,41e4e90b-7892-4e59-a2de-c5491a7f10db,,,EACH,,8.42169E+11,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/0af32723-990b-557e-aaa1-6f37ee3e4764.jpg""]",,,,,,,Supplies & Equipment,Disposables,Bowls,,,,Ace Endico,,,Non-Food
