name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
2 Manual Grinder Modules,"Brand: HLF
CASE | 1 x 1 UNIT",,,954921,979bc68b-1e4d-4b0e-9ed3-4837c83a152b,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
"Adjustable Brush 59"" Brass Bristles","Brand: GI.METAL
CASE | 1 x 1 CT",,,537952,ffc021c6-2be6-40e8-b01b-8c00f993d864,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Aluminum Rectangular Pizza Peel,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537946,9e2d494e-0bb7-4878-821d-ffbb6c98a1e5,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
CONTAINER ASMBL JUICE DISPENSER,"Brand: BUNN
CASE | 1 x 1 UNIT",,,958527,e3a7c2c0-1d60-4f0d-88fd-47e53d3dbeea,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
CUP RAISER KIT FOR HLF 3700,"Brand: HLF
CASE | 1 x 1 UNIT",,,954916,f16c0ebb-22bc-4e54-bb82-2004d3cdde8b,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
DUAL SH DBC BREWWISE SFT HEAT,"Brand: BUNN
CASE | 1 x 1 UNIT",,,958529,877b8b05-6c6a-4a63-8c76-a3e3364973aa,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
HLF Milk Cleaning Agent 5 blue + 1 Red,"Brand: HLF
CASE | 1 x 1 UNIT",,,954924,0595b259-bfe7-484b-a893-b3592d55b242,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
ICB infusion series twin soft heat coffee brewer,"Brand: BUNN
CASE | 1 x 1 UNIT",,,958542,1cb27e7e-029a-4ca4-b310-bf4819185a34,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
MACHINE 4 FLAV COLD BEV SYSTEM,"Brand: BUNN
CASE | 1 x 1 UNIT",,,958531,44930718-2b53-4db1-b559-ea3c3eca09e2,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
MACHINE COFFEE SERVER SFT HEAT,"Brand: BUNN
CASE | 1 x 1 UNITS",,,958525,4b533084-4a30-4a43-97bd-9eed97edf38b,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Milk Module Assembly Part,"Brand: HLF
CASE | 1 x 1 UNIT",,,954922,3556d9b4-99a0-477b-be32-37df6c82b68c,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
No Scratch Dough Cutter,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537954,0118dc53-37ae-4124-a571-783520631638,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
No Scratch Spatula,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537955,3f1f6b5c-c9c7-4ba7-b309-7bd765ec8816,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Nylone Bristle Brush,"Brand: BUNN
CASE | 1 x .015 LB",,,958533,0886e0e2-10ec-4be9-a378-2cd84847c65f,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Pizza Peels Rack,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537950,076ba065-2c9a-4f5c-bb9e-1b3b141cd0cf,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Re-Sharpenable Stainless Steel Pizza Cutter,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537953,5bd7d048-ae11-4a84-b7dd-dd281b4d8acd,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
SIDE 1 GALLON MILK FRIDGE HLF,"Brand: HLF
CASE | 1 x 1 UNIT",,,954920,80743330-b0de-44f3-9d7d-d4b684b24e64,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
Stainless Steel Round Head Pizza Peel,"Brand: GI.METAL
CASE | 1 x 1 CT",,,537951,38b27f1f-e2d7-455f-be93-148e8d20912b,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
TB3 120V 20V 29IN,"Brand: BUNN
CASE | 1 x 1 CT",,,532065,3af057e7-f316-4d26-8ce6-4ffb8bf1ab74,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
TD3T-N RSVR BREW THRU LID BUNN,"Brand: BUNN
CASE | 1 x 1 CT",,,632064,4157c6b2-dd75-4d86-a628-c6a745197f67,EACH,1,CASE,1,,,,,,,,,,,,,,,,,,Ace Endico,,,Non-Food
