name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
"10"" Margherita Pizza","Brand: LUNA
CASE | 1 x 10 CT",,,228666,4e5bb3e4-bbb6-4f02-8d16-971bca2c1a07,,,CASE,,,,,,,,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"10"" Pepperoni Pizza","Brand: LUNA
CASE | 1 x 10 CT",,,228657,116b8e90-57af-435e-ab8e-d7e869d218ee,EACH,,CASE,,,,,,,,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
* 1/2 Inch Quick Frozen Diced Strawberries,"Brand: DOLE
CASE | 2 x 5 LB
EACH | 1 x 5 LB",,,356457,c4ab43a0-16d0-4f53-b90a-9aeb86d3141b,EACH,,CASE,,1.00712E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b897e5ab-b9f9-574d-8721-698828f3cd7a.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
* 1/2 Inch Quick Frozen Diced Strawberries,"Brand: DOLE
CASE | 2 x 5 LB
EACH | 1 x 5 LB",,,356457,9eb707e4-cb03-4572-9c5f-caff5d3a8cf9,,,EACH,,1.00712E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b897e5ab-b9f9-574d-8721-698828f3cd7a.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"12"" Margherita Pizza","Brand: 850 DEGREES
CASE | 12 x 12""",,,403879,4b73e4e5-133b-4d1b-a443-bc569dca3470,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/2ab43152-a211-57e6-99b6-628fc653bb1f.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"12"" Pizza Al Tartufo (Truffle)","Brand: SERAFINA
EACH | 1 x 400 GR
CASE | 12 x 400 GR",,,403855,e4666f1f-b890-48a9-a586-8c009fa42de7,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5d256fb7-1a70-5b2f-9c48-c2a47a413d68.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"12"" Pizza Al Tartufo (Truffle)","Brand: SERAFINA
EACH | 1 x 400 GR
CASE | 12 x 400 GR",,,403855,082b3cef-b01c-494a-8d8a-2e2d6c532a57,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5d256fb7-1a70-5b2f-9c48-c2a47a413d68.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"* 16"" Cheese Pizza","Brand: VILLA PRIMA
CASE | 1 x 9 CT",,,331541,3e8d95c9-1ffb-4bc4-910c-02bad19e88e8,EACH,,CASE,,1.00722E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6f805398-be46-53f9-8512-ec82548c2474.jpg""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"16"" NY Style Cheese Pizza","Brand: 850 DEGREES
CASE | 12 x 1 CT",,,603881,f8ec0767-f12c-4615-9fd6-6766b4b641db,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b0bf4ca1-9e66-436e-8f56-8cec4918954e.png""]",,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
"16"" Pizza Crust","Brand: 850 DEGREES
CASE | 12 x 1 CT",,,603883,f5bdebe9-a752-4cf7-b070-47cc54d641b8,EACH,,CASE,,,,,,,,,,,,,Prepared Foods,,,,,,Ace Endico,,,Non-Food
