name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
Almond Brittle with Maple Syrup,"Brand: QUARANTA
CASE | 10 x 115 GR",,,622824,17fb3129-a068-41b9-8e93-ec865178b757,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/dabcdce5-56da-4a83-966a-b745a3b2aaa3.png""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Amarena Cherry Pandoro Cake,"Brand: FABBRI
CASE | 6 x 750 GR",,,641244,ad5fc871-6b57-4a7f-9dc8-2c7b049b8672,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/5e66cc6c-fb5d-54f1-8880-ed45d57c4958.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Amarena Panettone Cake,"Brand: FABBRI
CASE | 12 x 1.1LB (500GR)",,,541163,a944214a-5ed2-4ca8-b19a-1be5e2e2a135,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/3cf9a400-5fc3-5ec5-a257-8e1178166d6c.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Artichoke Pate in Extra Virgin Olive Oil,"Brand: COLAVITA
CASE | 6 x 4.76 OZ",,,415914,405e3491-6caf-4af5-b7ab-5c5916acc215,EACH,,CASE,,1.00392E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/fa504f19-3884-5643-bb5e-237912e4f25c.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Assorted Fruit Cake Nougat,"Brand: QUARANTA
CASE | 20 x 5.82 OZ",,,723832,5f2d6341-ac85-4294-ac81-1943c32064b3,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8b16a8e9-b254-5420-8676-a9f4191f4744.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Assorted Italian Honey Tasting Book,"Brand: BORGO
CASE | 6 x 6X35GR",,,529895,3bb27d51-b103-4eef-9b1a-729ceeffaf50,EACH,,CASE,,8.73603E+12,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/e8ea80e1-38f7-4c6f-9010-c3397549b924.jpeg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Assorted Macarons Gift Box,"Brand: BORGO
CASE | 6 x 360 GR (12.7oz)",,,529900,8aec4ae2-1f1c-4557-90b0-901834b2d7b0,EACH,,CASE,,1.8736E+12,,,,,,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Assorted Nougat Cream Cakes,"Brand: QUARANTA
CASE | 20 x 5.82 OZ",,,723841,671c5c13-ae74-4862-b9d6-6f4fd0eff644,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/8d79fd76-3fa7-5e35-b214-1b896e973450.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Baci Dark Chocolate Christmas Tree,"Brand: PERUGINA
CASE | 6 x 3.35 OZ",,,600223,592fa966-5de0-49d0-98e0-5770a8e409d8,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/46aa9a36-9fac-5baa-88b5-9c0d0d631fd5.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
Black Olive Pate in Extra Virgin Olive Oil,"Brand: COLAVITA
CASE | 6 x 4.76 OZ",,,415892,99c002a7-a79b-44f0-8363-1dd0c6342cae,EACH,,CASE,,39153200135,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b9d649fd-3e64-5e53-8868-e2541a4a126e.jpg""]",,,,,,,Specialty Products,,,,,,Ace Endico,,,Food
