name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,level 1 category,level2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
21 Piece Dark Chocolate Baci Box,"Brand: PERUGINA
CASE | 6 x 9.25 OZ",,,600681,6c466e26-1eeb-4fdc-9f23-4f50e8b4b908,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/6594b9e4-9f7f-4e3d-bdd9-bc3156114885.jpeg""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
51% Dark Chocolate Bar,"Brand: PERUGINA
CASE | 12 x 3 OZ",,,623109,1744bc64-4376-4c35-8afb-b9a50fc29df8,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/ad936874-5a08-59a0-a8fe-5feaacdf4e25.jpg""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
70% Bittersweet Chocolate Bar,"Brand: PERUGINA
CASE | 12 x 3 OZ",,,623096,65e7486e-d314-4964-bdbf-8454d38b315f,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/d82fba0b-3a34-44f8-851f-c486a83bc1c6.xsl""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
70% Extra Dark Chocolate Baci Bag,"Brand: PERUGINA
CASE | 4 x 4.4 OZ (125 G)",,,600680,86303202-cdec-4fe4-a383-1af742cda6c2,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/327132e8-e394-59a5-86f0-7cddfce1b67c.jpg""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
85% Extra Dark Chocolate Bar,"Brand: PERUGINA
CASE | 12 x 3 OZ",,,623095,8bf3b1d2-74ab-44fb-8e0d-ca68a0020e45,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/13fae83f-2e86-404c-81a0-ddee837d55f3.xsl""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
Advent Calendar with Chocolates,"Brand: PERUGINA
CASE | 10 x 10.58 OZ",,,600700,4f1d6765-8d55-4a5f-a6ca-be30079d0a3a,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/95875b12-2d15-475b-83d1-045d26386ca0.jpeg""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
Almond Torrone Bar,"Brand: FERRARA
CASE | 12 x 2 OZ",,,623334,55386d47-3be7-4224-abc6-753fc2ef5f93,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/ea72156c-c924-5c4d-a4be-8b154eaf2334.jpg""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
Assorted Gummy Bears Bulk,"Brand: ALBANESE
CASE | 4 x 5 LB
EACH | 1 x 5 LB",,,623022,94ce5998-9cdd-42f8-8102-c65e4f6085ab,EACH,,CASE,,70690474160,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/130cdbde-14d9-4129-941f-635b331b49cd.png""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
Assorted Gummy Bears Bulk,"Brand: ALBANESE
CASE | 4 x 5 LB
EACH | 1 x 5 LB",,,623022,d2fbbe6d-d186-4592-9d97-1aa928576e09,,,EACH,,70690474160,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/26e188a1-c949-41a4-99c2-9ed1e1333d8b.png""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
Assorted Jordan Almonds,"Brand: SAHADI
CASE | 1 x 10 LB",,,590020,704bc0c3-bd09-459c-93b8-6e053184677e,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/08e97231-0515-4b19-bef0-21581b729962.xsl""]",,,,,,,Canned & Dry,Snacks & Candy,Candy,,,,Ace Endico,,,Food
