name,description,material,product_variants,sku,product_id,pack,size,unit,unit_count,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,Level 1 Category,level 2 category,level3 category,level4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group
100% Semolina Pastina,"Brand: BARILLA
CASE | 16 x 12 OZ",,,815871,ba64da0c-d73a-4d0e-9b21-157dd51ebfb2,EACH,,CASE,,1.01E+13,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/9957715b-55b3-5ed0-865b-ca37f683fcea.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
1lb Frozen Gnocchi Pasta,"Brand: JOHNS RAVIOLI
CASE | 12 x 1 LB",,,753801,26c55c2c-44d6-4ba6-b3d6-d4625de316a4,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/7c03fae8-5b7e-59bc-b4c9-825e1ed526e6.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
2.75 oz Cheese Manicotti,"Brand: SEVIROLI
CASE | 1 x 10 LB",,,734192,8ec20a3b-9239-4df4-bb7f-7c839941e219,EACH,,CASE,,74847751203,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/651115e3-c3b0-5b2b-9305-98186a1e1264.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
4 Cheese & Fresh Pear Fiocchi Purse Pasta,"Brand: BACCHINI
CASE | 1 x 6.6 LB",,,808634,d14cde02-f6a6-4238-9c4c-4a8b82377895,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/b91b698c-50c5-5cdf-9433-7dd145adbd35.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
6oz Fettucine Pasta Packets,"Brand: JB & SON
CASE | 24 x 6 OZ",,,719628,3cfe56f8-6f15-4784-8028-479bf2f49a7d,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/20c8aed2-8e1b-5b7c-a2f6-606f1dc77112.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
6oz Fresh Paglia E Fieno Pasta,"Brand: RAFFETTO'S
CASE | 6 x 1 LB
Weighted item pricing is subject to change",,,710432,3168272c-f805-449e-a856-da7f24651270,LB,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/13b01126-5ea3-55f4-a60c-51e533b7629a.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
6oz Thick Pappardelle Pasta Packs,"Brand: JB & SON
CASE | 24 x 6 OZ",,,719626,e2d2df98-7d3f-49c2-9e0f-b7a8e2250cd6,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/f5711e9f-609f-58c1-8afa-09f71e187692.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
72 Count Forzen Manicotti Pasta,"Brand: ANDREA
CASE | 4 x 47 OZ
EACH | 1 x 47 oz",,,734201,20f958cd-2346-43be-9972-c8a144dcf555,EACH,,CASE,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a9c0b82d-c431-548d-9073-d0fcc86ff9f7.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
72 Count Forzen Manicotti Pasta,"Brand: ANDREA
CASE | 4 x 47 OZ
EACH | 1 x 47 oz",,,734201,5b105b58-9843-450f-a6ad-fb861711e211,,,EACH,,,,,,"[""https://s3.amazonaws.com/media.usepepper.com/suppliers/cd7e83da-61a6-45c3-9a43-db0a83bd04fa/items/a9c0b82d-c431-548d-9073-d0fcc86ff9f7.jpg""]",,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
"7.5"" Single Wrapped Pasta Straws","Brand: PASTA LIFE
EACH | 1 x 200 CT
CASE | 22 x 200 CT",,,711630,da0dab00-1498-4554-afbf-bca2c46efb47,,,CASE,,,,,,,,,,,,,Frozen,Pasta,,,,,Ace Endico,,,Food
