"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
"Available Frozen
Rotating Weekly Selection of Custom Sausages
Created in Collaboration with Forza Meats of Glenview
1/3# Links
4 Links per pack","Weekly Special"" Sausage & Bratwurst","","","","","$17.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/b53ac068-ca8f-4a54-a598-7dfef8f449c2.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-weekly-special-sausage-bratwurst_a335b888-f83c-4edd-8bf1-1396b5d54c2f","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Frozen Half Pound Ground Sirloin Patties - Made Famous by Hackney's! (Available Frozen).","1/2# Ground Beef Hackney Burgers","","","","","$19.95/lb","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/06f1c86a-a015-47e9-baa4-c3b2752439f2.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-12-ground-beef-hackney-burgers_012a0b24-3594-49b2-97c1-5312dcbce5b7","","","Burgers and Sausages","","","","Harison's Poultry","",""
"1/4# Ground Sirloin Patties - Frozen - 4 per pack - Made Famous by Hackney's! (Available Frozen)","1/4# Ground Beef Hackney Burgers","","","","","$19.95/lb","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/43250ac8-6c38-4320-9a8b-29049ea19799.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-14-ground-beef-hackney-burgers_d4ec4cdb-7622-4e06-a385-f12516646282","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Sweet and savory, our Berkshire apple cranberry brats combine premium pork with bursts of fruit flavor for a delicious twist on a classic.","Berkshire Apple Cranberry Brats","","","","","$10.99","","","https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-203399000000000000/menu/items/0/item-1100000003635973520_1729548342.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-apple-cranberry-brats_ca8c4fa5-2b33-4e08-9396-f170bdb22dcc","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Berkshire beer brats blend rich, flavorful pork with a touch of beer for the ultimate grilling experience.","Berkshire Beer Brats","","","","","$10.99","","","https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-203399000000000000/menu/items/4/item-1100000003046740354_1729549459.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-beer-brats_ef276164-ef8b-4725-9241-ceef98445a2e","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Berkshire breakfast links offer a savory, juicy start to your day with premium pork and classic seasoning.","Berkshire Breakfast Links","","","","","$15.99","","","https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-203399000000000000/menu/items/8/item-1100000003955517758_1729551012.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-breakfast-links_fccc5f8c-b51b-462a-a4fc-d0371c6b4d52","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Bold and zesty, our Berkshire buffalo-style blue cheese brats combine savory pork with a spicy kick and creamy blue cheese.","Berkshire Buffalo Style Blue Cheese Brats","","","","","$9.99","","","https://d2s742iet3d3t1.cloudfront.net/restaurants/restaurant-203399000000000000/menu/items/9/item-1100000002968517679_1729550023.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-buffalo-style-blue-cheese-brats_bedc0a95-9bf3-4365-a7c6-7d57239972ca","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Berkwood Farms - Berkshire Pork Bratwurst. Either Bacon Cheddar, Cheddar, Apple Cranberry, or Beer Brat. (Available Frozen).","Berkshire Pork - Bratwurst","","","","","$10.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/fe35808e-0890-4611-9eb4-e803975f384e.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-pork-bratwurst_a4ae72cd-8fda-4eec-bd58-c39ba708e912","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Berkshire Pork Bacon Cheddar Patties are savory, juicy pork patties infused with smoky bacon and melted cheddar cheese, perfect for grilling or pan-frying a gourmet burger.(Available Frozen).","Berkshire Pork Bacon Cheddar Patties","","","","","$10.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/2b6a222f-d6d3-4e48-b460-3baa0ed9226f.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-pork-bacon-cheddar-patties_ef019ef9-e40a-4fa9-b7ba-e4b4ff090b06","","","Burgers and Sausages","","","","Harison's Poultry","",""
"Berkwood Farms-Berkshire Pork Burger Patties. Either: Plain bratwurst, Bacon Cheddar, Or Jalapeno Bratwurst.(Available Frozen).","Berkshire Pork Burger Patties","","","","","$10.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/de680c9e-44e4-40ce-bddb-9d169bf97e66.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-berkshire-pork-burger-patties_37241349-356d-47e2-bb11-083a95d981e2","","","Burgers and Sausages","","","","Harison's Poultry","",""
