"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
"","Extra Large Eggs","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/6c965813-1530-4354-97e9-e3542071eae2.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-extra-large-eggs_c505551d-85e0-4447-af99-3dd2bf67edc6","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Large Eggs","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/ce0df4cf-1c5c-46ca-8bcf-eef6da553857.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-large-eggs_f5062af2-511c-4374-8c7d-9439c43fa885","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Duck Eggs","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/f036e785-fd83-4156-a1da-86a87222fa4f.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-duck-eggs_139c85d9-c7d3-48c1-bcae-e52123809e5b","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Grassland Unsalted Butter","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/c303fee9-b3f4-409b-9f14-70a1f8ff2275.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-grassland-unsalted-butter_182f61fc-ab93-4e38-a563-894fc0454aa0","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Grassland Salted Butter","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/7f148fa9-cd84-4803-ab89-bfd99e15819c.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-grassland-salted-butter_ddfee1d4-67d4-4a2a-b69e-b3a731b59fb1","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Sliced American Cheese","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/ffe00138-9699-4e60-83ba-ccbf5f1d1756.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-sliced-american-cheese_ce16f8e0-a05d-4cc9-a34f-d82b1a8b1d3b","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Sliced Cheddar Cheese","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/9963eed5-f7f4-4d02-94ce-ee92da0c26db.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-sliced-cheddar-cheese_7b347699-0eae-42c8-95fd-2ea4f0840b65","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Sliced Mozzarella Cheese","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/e2cbc361-2f42-4ed9-8ca4-c9adcf834c2b.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-sliced-mozzarella-cheese_6315ec9c-11f6-48ac-8fc1-b93168606fcb","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Sliced Swiss Cheese","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/1e0261e8-02a0-481d-a581-266d7afd9cca.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-sliced-swiss-cheese_c6e87a6d-486c-4a1a-876e-c6aed049a7a8","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Red Apple Cheese - Gruyere","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/6ea134b4-737d-450d-b550-02f415e09860.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-red-apple-cheese-gruyere_79877557-03f4-4445-b6d7-58349de98721","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Red Apple Cheese - Pepper Jack","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/ec645109-113f-4892-bc43-dead7d69bd47.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-red-apple-cheese-pepper-jack_ce3e5b98-c804-4fdc-9365-66acd0f9341c","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
"","Applewood Double Smoked Bacon","","","","","","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/455af4d4-2131-4f07-afb7-3bc0537e8eb3.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-applewood-double-smoked-bacon_8fed0894-c889-4633-a430-e0e64cddffa1","","","Butter Eggs and Cheese","","","","Harison's Poultry","",""
