"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
,"1000 ISLAND 200/12 GM POUCH *","9147","1 CASE *","12 GR","",,"","","","","","","https://www.badgermurphy.com/product/1000-island-200-12-gm-pouch/","FLAVOR FRESH","","","","","","Badger Murphy","",""
,"1000 ISLAND 4/1 GAL","9114","1 CASE","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/1000-island-4-1-gal/","VARIETY","","","","","","Badger Murphy","",""
,"1000 ISLAND 4/1 GAL *","9183","1 CASE *","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/1000-island-4-1-gal-2/","KRAFT","","","","","","Badger Murphy","",""
,"1000 ISLAND 4/1 GAL *","9197","1 CASE *","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/1000-island-4-1-gal-3/","HELLMANS","","","","","","Badger Murphy","",""
,"1000 ISLAND FARMHOUSE 4/1 GAL *","9207","1 CASE *","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/1000-island-farmhouse-4-1-gal/","CONWAY","","","","","","Badger Murphy","",""
,"2/2.5 GAL BAGS EVAPORATED MILK","0741","1 CASE +","2.5 GAL","",,"","","","","","","https://www.badgermurphy.com/product/2-2-5-gal-bags-evaporated-milk/","PRARIE FARMS","","","","","","Badger Murphy","",""
,"ALLSPICE GROUND 1 LB","0381","1 JAR","1 LB.","",,"","","","","","","https://www.badgermurphy.com/product/allspice-ground-1-lb/","N/A","","","","","","Badger Murphy","",""
,"ALLSPICE WHOLE 1 LB","4360","1 JAR","1 LB.","",,"","","","","","","https://www.badgermurphy.com/product/allspice-whole-1-lb/","DWF","","","","","","Badger Murphy","",""
,"ALMOND EMULSION","0401","1 GAL","1 GAL.","",,"","","","","","","https://www.badgermurphy.com/product/almond-emulsion/","MAR-VA-FLO","","","","","","Badger Murphy","",""
,"ALMOND EMULSION 1 QT +","0406","1 QRT. +","1 QRT","",,"","","","","","","https://www.badgermurphy.com/product/almond-emulsion-1-qt/","MAR-VA-FLO","","","","","","Badger Murphy","",""
,"ALMOND MEAL 25 LB *","0303","1 CASE *","25 LB.","",,"","","","","","","https://www.badgermurphy.com/product/almond-meal-25-lb/","N/A","","","","","","Badger Murphy","",""
,"ALMOND PASTE 7 LB","0301A","1 CAN","1/10 CAN","",,"","","","","","","https://www.badgermurphy.com/product/almond-paste-7-lb/","SOLO","","","","","","Badger Murphy","",""
,"ALMOND PASTE 6/7 LB","0301","1 CASE","#10 CHUB","",,"","","","","","","https://www.badgermurphy.com/product/almond-paste-6-7-lb/","SOLO","","","","","","Badger Murphy","",""
,"ALMONDS SLICED 25 LB","0367","25 LB.","N/A","",,"","","","","","","https://www.badgermurphy.com/product/almonds-sliced-25-lb/","N/A","","","","","","Badger Murphy","",""
,"ALMONDS SLICED BLANCHED 6/1.75 LB","0301C","1 CASE","1.75 LB.","",,"","","","","","","https://www.badgermurphy.com/product/almonds-sliced-blanched-6-1-75-lb/","AZAR","","","","","","Badger Murphy","",""
,"ALMONDS WHOLE BLANCHED 50 LB +","0478","50 LB +","N/A","",,"","","","","","","https://www.badgermurphy.com/product/almonds-whole-blanched-50-lb/","N/A","","","","","","Badger Murphy","",""
,"ALOUETTE (GARLIC & HERB) 2/4.5 LB +","1684","9 LB. +","4.5 LB.","",,"","","","","","","https://www.badgermurphy.com/product/alouette-garlic-herb-2-4-5-lb/","ALOUETTE","","","","","","Badger Murphy","",""
,"AMERICAN 72 SLICE VERTICAL 6/3 LB *","0201F","18 LB. *","3 LB.","",,"","","","","","","https://www.badgermurphy.com/product/american-72-slice-vertical-6-3-lb/","DINNER BELL","","","","","","Badger Murphy","",""
,"AMERICAN 120 SLICE REGULAR 4/5 LB +","0200","1 CASE +","120 SL.","",,"","","","","","","https://www.badgermurphy.com/product/american-120-slice-regular-4-5-lb/","KRAFT","","","","","","Badger Murphy","",""
,"AMERICAN 120 SLICE VERTICAL 4/5 LB","0201","20 LB.","120 SL.","",,"","","","","","","https://www.badgermurphy.com/product/american-120-slice-vertical-4-5-lb/","STATEBRAND","","","","","","Badger Murphy","",""
,"AMERICAN 120 SLICE VERTICAL 4/5 LB KNAUS *","0201K","20 LB. *","5 LB.","",,"","","","","","","https://www.badgermurphy.com/product/american-120-slice-vertical-4-5-lb-knaus/","STATE BRAND","","","","","","Badger Murphy","",""
,"AMERICAN 120 SLICE VERTICAL 5 LB","0201A","5 LB.","120 SL.","",,"","","","","","","https://www.badgermurphy.com/product/american-120-slice-vertical-5-lb/","STATEBRAND","","","","","","Badger Murphy","",""
,"AMERICAN 160 SLICE PULLMAN 4/5 LB *","0230","20 LB. *","5 LB","",,"","","","","","","https://www.badgermurphy.com/product/american-160-slice-pullman-4-5-lb/","STATE BRAND","","","","","","Badger Murphy","",""
,"AMERICAN 160 SLICE VERTICAL 5 LB","0201C","5 LB.","160 SL.","",,"","","","","","","https://www.badgermurphy.com/product/american-160-slice-vertical-5-lb/","STATEBRAND","","","","","","Badger Murphy","",""
,"APPLES GRANNY SMITH 10 CT","4588","1 BAG","BAG","",,"","","","","","","https://www.badgermurphy.com/product/apples-granny-smith-10-ct/","N/A","","","","","","Badger Murphy","",""
,"APPLES GRANNY SMITH 100-138 CT","4541A","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/apples-granny-smith-100-138-ct/","N/A","","","","","","Badger Murphy","",""
,"APPLES RED DELICIOUS 113 CT","4517A","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/apples-red-delicious-113-ct/","N/A","","","","","","Badger Murphy","",""
,"APPLES RED DELICIOUS 88 CT","4517","1 CASE","CASE","",,"","","","","","","https://www.badgermurphy.com/product/apples-red-delicious-88-ct/","N/A","","","","","","Badger Murphy","",""
