"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","unit_price","extra_data"
"","Chicken Backs/Necks (1 Pound)","","","","","$1.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/c3b0f4a1-a2d7-431d-9067-bb83f89e9b30.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-backsnecks-1-pound_09b4b637-ef28-4ffc-a280-29e35cd6dc10","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Breast - (1 Breast = 2 Halves)","","","","","$5.59","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/70f5cd98-c860-462c-a074-044e5c1078a3.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-breast-1-breast-2-halves_241e587f-76ba-4e6a-99d9-b0f26de7dc42","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Drumstick - 1 Pound","","","","","$2.79","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/db170bed-232e-4876-a3be-70c39715d763.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-drumstick-1-pound_060b970e-2525-402a-bb73-c65356f894ac","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Lasagna","","","","","$15.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/9e0c4fc3-56a9-4aad-8855-c466c8ba6e58.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-lasagna_0c4c2cd6-f308-43ec-b423-a584c560681c","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Gizzards - 1 Pound","","","","","$2.09","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/5dda0ed1-4a34-423c-8cb0-27749d8394a2.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-gizzards-1-pound_2d14869b-db2c-40cb-a61d-ab411a5250fa","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Tetrazzini","","","","","$15.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/e0384bd5-819f-4e4b-879c-c5364dfe86e1.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-tetrazzini_f49ef703-a268-4ed3-b70e-4b40c2c440a0","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Leg - Whole - 1 Pound","","","","","$2.59","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/2e3f8b32-1dc6-46f5-99f1-f25666e021a7.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-leg-whole-1-pound_c001e4ae-b4f2-4095-a3d4-a30e36a7dd52","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Liver - 1 Pound","","","","","$2.89","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/5566ee92-c3dc-4771-a496-8d8e58ebe4c9.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-liver-1-pound_c8a7fbb1-7c0a-4446-a6aa-9fe4f082ffc8","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Tenders -Raw-1 Pound Portion","","","","","$4.99","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/2dc71a6e-4dd2-4073-b7ae-96531df614c7.png?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-tenders-raw1-pound-portion_d8c41c05-e876-4877-b193-ab853d24eb5c","","","Fresh Chicken","","","","Harison's Poultry","",""
"","Chicken Thighs - 1 Pound","","","","","$2.79","","","https://d2s742iet3d3t1.cloudfront.net/menu_service/restaurants/216c7789-3e35-47a9-9240-e1f19fc5c7c2/MenuItem/1ade6523-cfa2-4d10-918e-4566813bd346.jpg?size=medium","","","","https://harrisonspoultry.com/order/harrisons-poultry-butcher-shop-1201-waukegan-road/item-chicken-thighs-1-pound_013675fc-0741-4a7c-9259-d1354b60f04b","","","Fresh Chicken","","","","Harison's Poultry","",""
