"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Victoria Bay Baking Pan Liner 16.375X24.375 IN Quilon® Paper 25LB 1000/Case","VBF25Q","","","10840064605172","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F340005%2Fprimary%2Ff4ad4ff09be3aceadacbbf1fbe5e2c1c76a8a635-268x268.webp&w=384&q=75","VBF25Q","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-baking-pan-liner-16-375x24-375-in-quilon-paper-25lb-1000-case-victoria%20bay%20products-VBF25Q?id=340005","","","","","","Imperial Dade","","{""manufacturerCode"":""VBF25Q"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-baking-pan-liner-16-375x24-375-in-quilon-paper-25lb-1000-case-victoria%20bay%20products-VBF25Q?id=340005"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Quilon® Paper"",""Bakery Supply Product Type:"":""Baking Pan Liner"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Length (IN):"":""16.375"",""Tensile Strength (LB):"":""25"",""Width (IN):"":""24.375"",""Product Type:"":""Baking Pan Liner""}"
"","Loaf Hinged Container With Dome Lid 9X5.5X3.2 IN PET Clear Rectangle 220/Case","YCASH3011UCH","","","00016194079234","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F71076%2Fprimary%2F1c2c79bdb5b87121f05b6cab4703324457c7707f-268x268.webp&w=384&q=75","YCASH3011UCH","","","https://www.imperialdade.com/catalog/product-detail/loaf-hinged-container-with-dome-lid-9x5-5x3-2-in-pet-clear-rectangle-220-case-pactiv-YCASH3011UCH?id=71076","","","","","","Imperial Dade","","{""manufacturerCode"":""YCASH3011UCH"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/loaf-hinged-container-with-dome-lid-9x5-5x3-2-in-pet-clear-rectangle-220-case-pactiv-YCASH3011UCH?id=71076"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polyethylene Terephthalate (PET)"",""Sustainable Product:"":""Yes"",""Color:"":""Clear"",""Number of Compartments:"":""1"",""Bakery Supply Product Type:"":""Bakery Clamshell & Hinged Container"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151506"",""Product Category:"":""Bakery Boxes & Containers"",""Bakery Supply Product Usage:"":""Loaf"",""Height (IN):"":""3.2"",""Length (IN):"":""9"",""Lid, Cover & Cap Type:"":""Dome"",""Product Shape:"":""Rectangle"",""Width (IN):"":""5.5"",""UPC-12:"":""016194079234"",""Product Type:"":""Bakery Clamshell & Hinged Container""}"
"","Baking Pan Liner Full Size 16X24 IN Quilon® Paper White 1000/Case","SG01035","","","607121014673","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F341582%2Fprimary%2F532e75b3c15888925f4b858db5f0e6302f21a306-268x268.webp&w=384&q=75","2405161 0000","","","https://www.imperialdade.com/catalog/product-detail/baking-pan-liner-full-size-16x24-in-quilon-paper-white-1000-case-paterson%20pacific%20parchment%20company-2405161%200000?id=341582","","","","","","Imperial Dade","","{""manufacturerCode"":""2405161 0000"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/baking-pan-liner-full-size-16x24-in-quilon-paper-white-1000-case-paterson%20pacific%20parchment%20company-2405161%200000?id=341582"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Quilon® Paper"",""Color:"":""White"",""Bakery Supply Product Type:"":""Baking Pan Liner"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Length (IN):"":""16"",""Product Size:"":""Full Size"",""Width (IN):"":""24"",""UPC-12:"":""80607121014679"",""Product Type:"":""Baking Pan Liner""}"
"","Bun Pan Rack Cover 52X80 IN Plastic 0.65MIL 50/Case","BR52X80","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F15590%2Fprimary%2Fcd38f25c599d7f771cf29c5c40ab2e2741fffe94-268x268.webp&w=384&q=75","BR52X80","","","https://www.imperialdade.com/catalog/product-detail/bun-pan-rack-cover-52x80-in-plastic-0-65mil-50-case-sigma%20plastics%20group-BR52X80?id=15590","","","","","","Imperial Dade","","{""manufacturerCode"":""BR52X80"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bun-pan-rack-cover-52x80-in-plastic-0-65mil-50-case-sigma%20plastics%20group-BR52X80?id=15590"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Bakery Supply Product Type:"":""Rack Cover"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Bakery Supply Product Usage:"":""Bun Pan"",""Length (IN):"":""52"",""Material Thickness (MIL):"":""0.65"",""Width (IN):"":""80"",""UPC-12:"":""559620001961, 837553528893"",""Product Type:"":""Rack Cover""}"
"","Cupcake Hinged Container Jumbo 4 CT Clear 158/Case","HKP524N","","4 CT","10039982040589","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F87434%2Fprimary%2Ffcd004997d1f17927c8a527aa2faf53f416f11b7-268x268.webp&w=384&q=75","HKP524N","","","https://www.imperialdade.com/catalog/product-detail/cupcake-hinged-container-jumbo-4-ct-clear-158-case-sabert-HKP524N?id=87434","","","","","","Imperial Dade","","{""manufacturerCode"":""HKP524N"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/cupcake-hinged-container-jumbo-4-ct-clear-158-case-sabert-HKP524N?id=87434"",""Color:"":""Clear"",""Bakery Supply Product Type:"":""Bakery Clamshell & Hinged Container"",""ESP Chemical:"":""False"",""Product Category:"":""Bakery Boxes & Containers"",""Bakery Supply Product Usage:"":""Cupcake"",""Product Size:"":""Jumbo"",""Product Type:"":""Bakery Clamshell & Hinged Container""}"
"","Bakery Hinged Container With Dome Lid 8.75X8.25X3.625 IN PET Clear Square 200/Case","9700000","","","00016194052763","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F76873%2Fprimary%2Fdb22fe417dd283fbc77cf1c2d9e4ff29fc1c476e-268x268.webp&w=384&q=75","0CAH09700000","","","https://www.imperialdade.com/catalog/product-detail/bakery-hinged-container-with-dome-lid-8-75x8-25x3-625-in-pet-clear-square-200-case-pactiv-0CAH09700000?id=76873","","","","","","Imperial Dade","","{""manufacturerCode"":""0CAH09700000"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bakery-hinged-container-with-dome-lid-8-75x8-25x3-625-in-pet-clear-square-200-case-pactiv-0CAH09700000?id=76873"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polyethylene Terephthalate (PET)"",""Sustainable Product:"":""Yes"",""Color:"":""Clear"",""Number of Compartments:"":""1"",""Bakery Supply Product Type:"":""Bakery Clamshell & Hinged Container"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151506"",""Product Category:"":""Bakery Boxes & Containers"",""Height (IN):"":""3.625"",""Length (IN):"":""8.75"",""Lid, Cover & Cap Type:"":""Dome"",""Product Shape:"":""Square"",""Width (IN):"":""8.25"",""UPC-12:"":""016194052763"",""Product Type:"":""Bakery Clamshell & Hinged Container""}"
"","Pan Liner Full Size 34X18 IN 50/Box","42002","","","00658128420028","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F103167%2Fprimary%2F5cdca415545b8630bc91fc1c208c92b4e25467fe-268x268.webp&w=384&q=75","42002","","","https://www.imperialdade.com/catalog/product-detail/pan-liner-full-size-34x18-in-50-box-m%26q%20packaging-42002?id=103167","","","","","","Imperial Dade","","{""manufacturerCode"":""42002"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/pan-liner-full-size-34x18-in-50-box-m%26q%20packaging-42002?id=103167"",""Bakery Supply Product Type:"":""Pan Liner"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Length (IN):"":""34"",""Pan, Sheet or Tray Size:"":""Full"",""Width (IN):"":""18"",""UPC-12:"":""658128420028, 658128425856"",""Product Type:"":""Pan Liner""}"
"","Cake Circle 10 IN Corrugated Paperboard White Round Single Wall 250/Case","10CRC","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F5260%2Fprimary%2F1aabd19261e2e32c5de3a7609bf6a6f0129dfd25-268x268.webp&w=384&q=75","Z12760-1--","","","https://www.imperialdade.com/catalog/product-detail/cake-circle-10-in-corrugated-paperboard-white-round-single-wall-250-case-vineland%20packaging-Z12760-1--?id=5260","","","","","","Imperial Dade","","{""manufacturerCode"":""Z12760-1--"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/cake-circle-10-in-corrugated-paperboard-white-round-single-wall-250-case-vineland%20packaging-Z12760-1--?id=5260"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Corrugated Paperboard"",""Sustainable Product:"":""Yes"",""Color:"":""White"",""Bakery Supply Product Type:"":""Cake Circle"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Cake Boards, Circles & Pads"",""Diameter (IN):"":""10"",""Material Features:"":""Single Wall"",""Product Shape:"":""Round"",""UPC-12:"":""844890929542, 844892092954, 850000996182"",""Product Type:"":""Cake Circle""}"
"","EnviroBake Pan Liner 16.375X24.375 IN Paper Reusable 1000/Case","030010","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F12471%2Fprimary%2Fda9d330a702f345f8b93148b7084a73fdee7b97e-268x268.webp&w=384&q=75","019705","","","https://www.imperialdade.com/catalog/product-detail/envirobake-pan-liner-16-375x24-375-in-paper-reusable-1000-case-mcnairn%20packaging-019705?id=12471","","","","","","Imperial Dade","","{""manufacturerCode"":""019705"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/envirobake-pan-liner-16-375x24-375-in-paper-reusable-1000-case-mcnairn%20packaging-019705?id=12471"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Paper"",""Bakery Supply Product Type:"":""Pan Liner"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Foodservice Global Attributes:"":""Reusable"",""Length (IN):"":""16.375"",""Width (IN):"":""24.375"",""UPC-12:"":""770238097058"",""Product Type:"":""Pan Liner""}"
"","Bun Pan Rack Cover 52X80 IN HDPE Clear Heavy Duty 0.6MIL 50/Roll","BOR5280HD","","","00654866022197","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F82533%2Fprimary%2F246cfab8b5fa591d1aaa1cd03f21fce7bb2f1fe4-268x268.webp&w=384&q=75","BOR5280","","","https://www.imperialdade.com/catalog/product-detail/bun-pan-rack-cover-52x80-in-hdpe-clear-heavy-duty-0-6mil-50-roll-lk%20packaging-BOR5280?id=82533","","","","","","Imperial Dade","","{""manufacturerCode"":""BOR5280"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bun-pan-rack-cover-52x80-in-hdpe-clear-heavy-duty-0-6mil-50-roll-lk%20packaging-BOR5280?id=82533"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""BPA Free:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""High-Density Polyethylene (HDPE)"",""Sustainable Product:"":""Yes"",""Color:"":""Clear"",""Bakery Supply Product Type:"":""Rack Cover"",""ESP Chemical:"":""False"",""UNSPSC:"":""50181709"",""Product Category:"":""Baking Pan Liners"",""Bakery Supply Product Usage:"":""Bun Pan"",""Length (IN):"":""52"",""Material Thickness (MIL):"":""0.6"",""Material Weight:"":""Heavy Duty"",""Width (IN):"":""80"",""UPC-12:"":""654866022197"",""Product Type:"":""Rack Cover""}"
