"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Syrup Espresso Bottle Pump 0.25 OZ Gold 1/Each","47542","","0.25 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53937%2Fprimary%2Fba885c990566e8bcc8b12b08d7f3a300a9bf5fdd-268x268.webp&w=384&q=75","1516","","","https://www.imperialdade.com/catalog/product-detail/syrup-espresso-bottle-pump-0-25-oz-gold-1-each-torani-1516?id=53937","","","","","","Imperial Dade","","{""manufacturerCode"":""1516"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/syrup-espresso-bottle-pump-0-25-oz-gold-1-each-torani-1516?id=53937"",""Color:"":""Gold"",""Foodservice Bottle & Lid Product Type:"":""Bottle Pump"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Foodservice Bottle & Lid Product Usage:"":""Syrup, Espresso"",""Capacity (OZ):"":""0.25"",""UPC-12:"":""089036010030"",""Product Type:"":""Bottle Pump""}"
"","Cap PP White For Bottle Ribbed 1/Each","64331CB","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F377135%2Fprimary%2F4121ff929a2e4669f84a405df6749d8adf8f5590-268x268.webp&w=384&q=75","64-331C","","","https://www.imperialdade.com/catalog/product-detail/cap-pp-white-for-bottle-ribbed-1-each-general%20bottle%20supply-64-331C?id=377135","","","","","","Imperial Dade","","{""manufacturerCode"":""64-331C"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/cap-pp-white-for-bottle-ribbed-1-each-general%20bottle%20supply-64-331C?id=377135"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""White"",""Foodservice Bottle & Lid Product Type:"":""Cap"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Lid, Cover & Cap Features:"":""Ribbed"",""Product Category:"":""Bottles, Jars & Lids"",""Product Type:"":""Cap""}"
"","Bottle 64 OZ Plastic 58GM Pinch Grip 45/Bag","64OZPINCH","","64 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F367509%2Fprimary%2Fc93a62f66504f0f25b41b8383e06ce967749b1b1-268x268.webp&w=384&q=75","386273","","","https://www.imperialdade.com/catalog/product-detail/bottle-64-oz-plastic-58gm-pinch-grip-45-bag-envases%20usa-386273?id=367509","","","","","","Imperial Dade","","{""manufacturerCode"":""386273"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-64-oz-plastic-58gm-pinch-grip-45-bag-envases%20usa-386273?id=367509"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""BPA Free:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Sustainable Product:"":""Yes"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Additional Product Features:"":""Pinch Grip"",""Product Category:"":""Bottles, Jars & Lids"",""Material Weight (Grams):"":""58"",""Capacity (OZ):"":""64"",""Product Type:"":""Bottle""}"
"","Bottle 16 OZ Plastic Square 22.5GM 160/Bag","16OZSQR","","16 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F367511%2Fprimary%2Fd8b99d1c8fb7508b19835607659239cb75f5db91-268x268.webp&w=384&q=75","386272","","","https://www.imperialdade.com/catalog/product-detail/bottle-16-oz-plastic-square-22-5gm-160-bag-envases%20usa-386272?id=367511","","","","","","Imperial Dade","","{""manufacturerCode"":""386272"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-16-oz-plastic-square-22-5gm-160-bag-envases%20usa-386272?id=367511"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""BPA Free:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Sustainable Product:"":""Yes"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Material Weight (Grams):"":""22.5"",""Product Shape:"":""Square"",""Capacity (OZ):"":""16"",""Product Type:"":""Bottle""}"
"","Bottle 32 OZ Plastic 44GM Old Style 77/Bag","32OZSQ","","32 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F367510%2Fprimary%2F98426d548c19d940bb47d44753f8a75aa97b8efa-268x268.webp&w=384&q=75","386238","","","https://www.imperialdade.com/catalog/product-detail/bottle-32-oz-plastic-44gm-old-style-77-bag-envases%20usa-386238?id=367510","","","","","","Imperial Dade","","{""manufacturerCode"":""386238"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-32-oz-plastic-44gm-old-style-77-bag-envases%20usa-386238?id=367510"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""BPA Free:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Sustainable Product:"":""Yes"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Additional Product Features:"":""Old Style"",""Product Category:"":""Bottles, Jars & Lids"",""Material Weight (Grams):"":""44"",""Capacity (OZ):"":""32"",""Product Type:"":""Bottle""}"
"","Bottle 8 OZ 1.875X6.75 IN Plastic Clear Squeeze 6/Pack","PSB08CPK","","8 OZ","10811642008586","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F56674%2Fprimary%2Fcb7afc44165e3dde8821a626b0a65d16c77afaff-268x268.webp&w=384&q=75","PSB-08C","","","https://www.imperialdade.com/catalog/product-detail/bottle-8-oz-1-875x6-75-in-plastic-clear-squeeze-6-pack-winco-PSB-08C?id=56674","","","","","","Imperial Dade","","{""manufacturerCode"":""PSB-08C"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-8-oz-1-875x6-75-in-plastic-clear-squeeze-6-pack-winco-PSB-08C?id=56674"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""BPA Free:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Sustainable Product:"":""Yes"",""Color:"":""Clear"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Diameter (IN):"":""1.875"",""Foodservice Bottle & Lid Product Features:"":""Squeeze"",""Height (IN):"":""6.75"",""Capacity (OZ):"":""8"",""UPC-12:"":""811642008589"",""Product Type:"":""Bottle""}"
"","Juice Container 16 OZ Screw Top 135/Case","1124800021","","16 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F70750%2Fprimary%2F8e64d8048970d0a84896087bba26b3128c89baba-268x268.webp&w=384&q=75","11248-00021","","","https://www.imperialdade.com/catalog/product-detail/juice-container-16-oz-screw-top-135-case-all%20american%20containers-11248-00021?id=70750","","","","","","Imperial Dade","","{""manufacturerCode"":""11248-00021"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/juice-container-16-oz-screw-top-135-case-all%20american%20containers-11248-00021?id=70750"",""Foodservice Bottle & Lid Product Type:"":""Container"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Foodservice Bottle & Lid Product Features:"":""Screw Top"",""Foodservice Bottle & Lid Product Usage:"":""Juice"",""Capacity (OZ):"":""16"",""Product Type:"":""Container""}"
"","Bottle 1.5X0.875 IN Plastic Tube 1/Each","112278","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F51355%2Fprimary%2F26326794523f8d86e8322340524598f96006a635-268x268.webp&w=384&q=75","116DU228Q","","","https://www.imperialdade.com/catalog/product-detail/bottle-1-5x0-875-in-plastic-tube-1-each-billie-ann%20plastics-116DU228Q?id=51355","","","","","","Imperial Dade","","{""manufacturerCode"":""116DU228Q"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-1-5x0-875-in-plastic-tube-1-each-billie-ann%20plastics-116DU228Q?id=51355"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Additional Product Features:"":""Tube"",""Product Category:"":""Bottles, Jars & Lids"",""Length (IN):"":""1.5"",""Width (IN):"":""0.875"",""Product Type:"":""Bottle""}"
"","Juice Bottle 16 OZ PET Clear Square 160/Case","DB16PET","","16 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F13564%2Fprimary%2Fc67a7ff01fcce650ab7beefc20dc232f0284e163-268x268.webp&w=384&q=75","IMP-PET16WH","","","https://www.imperialdade.com/catalog/product-detail/juice-bottle-16-oz-pet-clear-square-160-case-jersey%20bottle%20supply-IMP-PET16WH?id=13564","","","","","","Imperial Dade","","{""manufacturerCode"":""IMP-PET16WH"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/juice-bottle-16-oz-pet-clear-square-160-case-jersey%20bottle%20supply-IMP-PET16WH?id=13564"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polyethylene Terephthalate (PET)"",""Color:"":""Clear"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Foodservice Bottle & Lid Product Usage:"":""Juice"",""Product Shape:"":""Square"",""Capacity (OZ):"":""16"",""UPC-12:"":""906291511426"",""Product Type:"":""Bottle""}"
"","Bottle 64 OZ 38MM DBJ Finish Decanter Bagged 40/Bag","64DECANTBAG","","64 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F63770%2Fprimary%2F261f6f27f1309832382b0cb79d8e8fdff470fdb9-268x268.webp&w=384&q=75","348802","","","https://www.imperialdade.com/catalog/product-detail/bottle-64-oz-38mm-dbj-finish-decanter-bagged-40-bag-envases%20usa-348802?id=63770","","","","","","Imperial Dade","","{""manufacturerCode"":""348802"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bottle-64-oz-38mm-dbj-finish-decanter-bagged-40-bag-envases%20usa-348802?id=63770"",""No PFAS Added:"":""True"",""BPA Free:"":""True"",""Sustainable Product:"":""Yes"",""Foodservice Bottle & Lid Product Type:"":""Bottle"",""ESP Chemical:"":""False"",""UNSPSC:"":""24122000"",""Product Category:"":""Bottles, Jars & Lids"",""Container Cap Size (MM):"":""38"",""Foodservice Bottle & Lid Product Features:"":""DBJ Finish, Decanter"",""Package Type:"":""Bagged"",""Capacity (OZ):"":""64"",""Product Type:"":""Bottle""}"
