"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Canola Fry Oil 1/Case","CANFRY35","","","00078684700219","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F47641%2Fprimary%2F139064ca8e801ed72a1c349072f3ee2dc947bc23-268x268.webp&w=384&q=75","CANFRY35","","","https://www.imperialdade.com/catalog/product-detail/canola-fry-oil-1-case-healthy%20brand%20oil-CANFRY35?id=47641","","","","","","Imperial Dade","","{""manufacturerCode"":""CANFRY35"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/canola-fry-oil-1-case-healthy%20brand%20oil-CANFRY35?id=47641"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Food Product Type:"":""Canola Fry Oil"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""UPC-12:"":""018122328124"",""Product Type:"":""Canola Fry Oil""}"
"","Kewl Spring Water 16.9 FLOZ 24 Count/Case 84 Cases/Pallet","KEWL90291","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F344502%2Fprimary%2F8561f79359e8ae994d9f77892a62547e242502ed-268x268.webp&w=384&q=75","KEWL90291","","","https://www.imperialdade.com/catalog/product-detail/kewl-spring-water-16-9-floz-24-count-case-84-cases-pallet-kewl%20water-KEWL90291?id=344502","","","","","","Imperial Dade","","{""manufacturerCode"":""KEWL90291"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/kewl-spring-water-16-9-floz-24-count-case-84-cases-pallet-kewl%20water-KEWL90291?id=344502"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""16.9 FLOZ"",""Food Product Type:"":""Spring Water"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""UPC-12:"":""860002902913"",""Package Volume (FLOZ):"":""16.9"",""Product Type:"":""Spring Water""}"
"","Crystal Geyser® Water 16.9 OZ PET Bottle 35/Case","350018","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F374093%2Fprimary%2F136b63df696282507031029cb9d5b3834d66fb25-268x268.webp&w=384&q=75","35001-8","","","https://www.imperialdade.com/catalog/product-detail/crystal-geyser-water-16-9-oz-pet-bottle-35-case-cg%20roxane-35001-8?id=374093","","","","","","Imperial Dade","","{""manufacturerCode"":""35001-8"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/crystal-geyser-water-16-9-oz-pet-bottle-35-case-cg%20roxane-35001-8?id=374093"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""16.9 OZ"",""Food Product Type:"":""Water"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Additional Product Features:"":""PET Bottle"",""Product Category:"":""Food"",""UPC-12:"":""075140350018"",""Package Weight (OZ):"":""16.9"",""Product Type:"":""Water""}"
"","Drinking Water 16.9 OZ 24/Case","NDW05L24PDRCHN84","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F403030%2Fprimary%2F4c5ee299d118d0fae946e15c99f58288836a19da-268x268.webp&w=384&q=75","27541-00123","","","https://www.imperialdade.com/catalog/product-detail/drinking-water-16-9-oz-24-case-niagara%20bottling-27541-00123?id=403030","","","","","","Imperial Dade","","{""manufacturerCode"":""27541-00123"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/drinking-water-16-9-oz-24-case-niagara%20bottling-27541-00123?id=403030"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""16.9 OZ"",""Food Product Type:"":""Drinking Water"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""Package Weight (OZ):"":""16.9"",""Product Type:"":""Drinking Water""}"
"","Salad Canola Oil 35 LB 1/Case","5008957","","","00078684700202","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F374798%2Fprimary%2F5bf91a7485c846eb263363c7bca78ea87e832582-268x268.webp&w=384&q=75","5008957","","","https://www.imperialdade.com/catalog/product-detail/salad-canola-oil-35-lb-1-case-bunge%20oils-5008957?id=374798","","","","","","Imperial Dade","","{""manufacturerCode"":""5008957"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/salad-canola-oil-35-lb-1-case-bunge%20oils-5008957?id=374798"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""35 LB"",""Food Product Type:"":""Salad Canola Oil"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""UPC-12:"":""040232349720"",""Package Weight (OZ):"":""560.0"",""Product Type:"":""Salad Canola Oil""}"
"","Crystal Geyser® Spring Water 24/Case","245147","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F79926%2Fprimary%2Ff83b707b5bad1767d48596c63341d3d8a31a7458-268x268.webp&w=384&q=75","24514-7","","","https://www.imperialdade.com/catalog/product-detail/crystal-geyser-spring-water-24-case-cg%20roxane-24514-7?id=79926","","","","","","Imperial Dade","","{""manufacturerCode"":""24514-7"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/crystal-geyser-spring-water-24-case-cg%20roxane-24514-7?id=79926"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Food Product Type:"":""Spring Water"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""UPC-12:"":""075140005024, 075140245147"",""Product Type:"":""Spring Water""}"
"","Muffin Mix 1/Bag","BKJYMFMX","","","00793760100195","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F114738%2Fprimary%2Fb2338aea8d0f7a6bcb44620ca255121c782826c8-268x268.webp&w=384&q=75","6240150","","","https://www.imperialdade.com/catalog/product-detail/muffin-mix-1-bag-bake%E2%80%99n%20joy-6240150?id=114738","","","","","","Imperial Dade","","{""manufacturerCode"":""6240150"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/muffin-mix-1-bag-bake%E2%80%99n%20joy-6240150?id=114738"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Food Product Type:"":""Muffin Mix"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""Product Type:"":""Muffin Mix""}"
"","Pillsbury® Elite Yeast Donut Mix 1/Bag","130548","","","10018000305480","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F350586%2Fprimary%2F2f611e2ce89f20ab58629e90cc7e8472ad196bc1-268x268.webp&w=384&q=75","130548","","","https://www.imperialdade.com/catalog/product-detail/pillsbury-elite-yeast-donut-mix-1-bag-general%20mills-130548?id=350586","","","","","","Imperial Dade","","{""manufacturerCode"":""130548"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/pillsbury-elite-yeast-donut-mix-1-bag-general%20mills-130548?id=350586"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Food Product Type:"":""Yeast Donut Mix"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""Product Type:"":""Yeast Donut Mix""}"
"","Diet Coke® Cola Soda 12 FLOZ Diet 35/Case","11074","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F342450%2Fprimary%2Fd98f376e797197019734dbbfce35b5888f2e4edc-268x268.webp&w=384&q=75","146575","","","https://www.imperialdade.com/catalog/product-detail/diet-coke-cola-soda-12-floz-diet-35-case-the%20coca-cola%20company-146575?id=342450","","","","","","Imperial Dade","","{""manufacturerCode"":""146575"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/diet-coke-cola-soda-12-floz-diet-35-case-the%20coca-cola%20company-146575?id=342450"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""12 FLOZ"",""Food Product Type:"":""Soda"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""Flavor:"":""Cola"",""Food Product Features:"":""Diet"",""UPC-12:"":""049000058475"",""Package Volume (FLOZ):"":""12.0"",""Product Type:"":""Soda""}"
"","Pineapple Juice 46 OZ 6/Case","12532PINDM","","","10024000012532","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F377807%2Fprimary%2F9587d5b84159981ab795a89c3bc5d80860f9961e-268x268.webp&w=384&q=75","10024000012532","","","https://www.imperialdade.com/catalog/product-detail/pineapple-juice-46-oz-6-case-unipro%20foodservice-10024000012532?id=377807","","","","","","Imperial Dade","","{""manufacturerCode"":""10024000012532"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/pineapple-juice-46-oz-6-case-unipro%20foodservice-10024000012532?id=377807"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Food"",""Package Volume/Weight:"":""46 OZ"",""Food Product Type:"":""Juice"",""ESP Chemical:"":""False"",""UNSPSC:"":""50000000"",""Product Category:"":""Food"",""Flavor:"":""Pineapple"",""Package Weight (OZ):"":""46.0"",""Product Type:"":""Juice""}"
