"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Food Pan 4 IN Black PC 1/Each","18177","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53575%2Fprimary%2F75717557d0074d82042ab6d4bdfad3d0adda7031-268x268.webp&w=384&q=75","64CW110","","","https://www.imperialdade.com/catalog/product-detail/food-pan-4-in-black-pc-1-each-cambro-64CW110?id=53575","","","","","","Imperial Dade","","{""manufacturerCode"":""64CW110"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-4-in-black-pc-1-each-cambro-64CW110?id=53575"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Black"",""Food Storage & Transport Product Type:"":""Food Pan"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Length (IN):"":""4"",""UPC-12:"":""099511326846"",""Product Type:"":""Food Pan""}"
"","Bacon High Temperature Drain Drip Tray 1/4 Size Amber Rectangle With Divider 1/Each","96105","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F54103%2Fprimary%2F7b7d588188467d6746035b817e16d2ffd562d848-268x268.webp&w=384&q=75","40HPD","","","https://www.imperialdade.com/catalog/product-detail/bacon-high-temperature-drain-drip-tray-1-4-size-amber-rectangle-with-divider-1-each-cambro-40HPD?id=54103","","","","","","Imperial Dade","","{""manufacturerCode"":""40HPD"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bacon-high-temperature-drain-drip-tray-1-4-size-amber-rectangle-with-divider-1-each-cambro-40HPD?id=54103"",""Color:"":""Amber"",""Food Storage & Transport Product Type:"":""Drain Drip Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Pan, Sheet or Tray Size:"":""1/4"",""Product Shape:"":""Rectangle"",""Usage Temperature:"":""High Temperature"",""UPC-12:"":""099511329113"",""Food Storage & Transport Product Features:"":""With Divider"",""Food Pans, Drains, & Lids Product Usage:"":""Bacon"",""Product Type:"":""Drain Drip Tray""}"
"","Food Pan 1/6 Size 2.4 QT Clear PC 1/Each","35682","","2.4 QT","10099511326898","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53577%2Fprimary%2F26a24f51fda009642099c2bfb8d1836218d69011-268x268.webp&w=384&q=75","66CW135","","","https://www.imperialdade.com/catalog/product-detail/food-pan-1-6-size-2-4-qt-clear-pc-1-each-cambro-66CW135?id=53577","","","","","","Imperial Dade","","{""manufacturerCode"":""66CW135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-1-6-size-2-4-qt-clear-pc-1-each-cambro-66CW135?id=53577"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Food Pan"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Pan, Sheet or Tray Size:"":""1/6"",""Capacity (OZ):"":""76.8"",""UPC-12:"":""099511326891"",""Product Type:"":""Food Pan""}"
"","Lid Food Pan 1/6 Size Clear PC With Flip-Top Notched With Spoon Lid 1/Each","35683","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53576%2Fprimary%2Faaa2a6e897c16823c96bf71df404a51d4a2c9318-268x268.webp&w=384&q=75","60CWLN135","","","https://www.imperialdade.com/catalog/product-detail/lid-food-pan-1-6-size-clear-pc-with-flip-top-notched-with-spoon-lid-1-each-cambro-60CWLN135?id=53576","","","","","","Imperial Dade","","{""manufacturerCode"":""60CWLN135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/lid-food-pan-1-6-size-clear-pc-with-flip-top-notched-with-spoon-lid-1-each-cambro-60CWLN135?id=53576"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Lid"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Lid, Cover & Cap Features:"":""Flip-Top, Notched, With Spoon"",""Product Category:"":""Food Pans, Drains, & Lids"",""Pan, Sheet or Tray Size:"":""1/6"",""UPC-12:"":""099511336029"",""Product Type:"":""Lid""}"
"","Food Storage Container 1/6 Size 4 IN Clear PC 1/Each","81190","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F55121%2Fprimary%2Ff404bbd978254dbfc72e958f639fcaf1a51056f8-268x268.webp&w=384&q=75","64CW135","","","https://www.imperialdade.com/catalog/product-detail/food-storage-container-1-6-size-4-in-clear-pc-1-each-cambro-64CW135?id=55121","","","","","","Imperial Dade","","{""manufacturerCode"":""64CW135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-storage-container-1-6-size-4-in-clear-pc-1-each-cambro-64CW135?id=55121"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Food Storage Container"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Storage Boxes & Containers"",""Height (IN):"":""4"",""Pan, Sheet or Tray Size:"":""1/6"",""UPC-12:"":""099511326853"",""Product Type:"":""Food Storage Container""}"
"","Drain Insert 1/6 Size 6/Case","109284","","","10099511329202","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F57443%2Fprimary%2Fa88fea232911d5efac2188a6d2c8b8fe7c8663a3-268x268.webp&w=384&q=75","60CWD135","","","https://www.imperialdade.com/catalog/product-detail/drain-insert-1-6-size-6-case-cambro-60CWD135?id=57443","","","","","","Imperial Dade","","{""manufacturerCode"":""60CWD135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/drain-insert-1-6-size-6-case-cambro-60CWD135?id=57443"",""Sustainable Product:"":""Yes"",""Food Storage & Transport Product Type:"":""Drain Insert"",""National Sanitation Foundation (NSF) Certification:"":""NSF Listed"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Pan, Sheet or Tray Size:"":""1/6"",""UPC-12:"":""099511329205"",""Product Type:"":""Drain Insert""}"
"","Food Pan 1/9 Size 4 IN Clear PC 1/Each","24301","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F55118%2Fprimary%2Fddc8c53e40a9044e5192513ad7520eaa8b502a79-268x268.webp&w=384&q=75","94CW135","","","https://www.imperialdade.com/catalog/product-detail/food-pan-1-9-size-4-in-clear-pc-1-each-cambro-94CW135?id=55118","","","","","","Imperial Dade","","{""manufacturerCode"":""94CW135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-1-9-size-4-in-clear-pc-1-each-cambro-94CW135?id=55118"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Food Pan"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Height (IN):"":""4"",""Pan, Sheet or Tray Size:"":""1/9"",""UPC-12:"":""099511325603"",""Product Type:"":""Food Pan""}"
"","Camwear® Food Pan 1/9 Size 4 IN 28.8 OZ Black 1/Each","18178","","28.8 OZ","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53554%2Fprimary%2F38882ed0e43cdfb04420cf011d4fe4068f3f3d7b-268x268.webp&w=384&q=75","94CW","","","https://www.imperialdade.com/catalog/product-detail/camwear-food-pan-1-9-size-4-in-28-8-oz-black-1-each-cambro-94CW?id=53554","","","","","","Imperial Dade","","{""manufacturerCode"":""94CW"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/camwear-food-pan-1-9-size-4-in-28-8-oz-black-1-each-cambro-94CW?id=53554"",""Color:"":""Black"",""Food Storage & Transport Product Type:"":""Food Pan"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Height (IN):"":""4"",""Pan, Sheet or Tray Size:"":""1/9"",""Capacity (OZ):"":""28.8"",""UPC-12:"":""099511325597"",""Product Type:"":""Food Pan""}"
"","Carbon Pillow 1 LB 1/Each","CARBONPILLOW","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F74343%2Fprimary%2Ff388fb4c17485891cfa05ba7be3e87fbd199d685-268x268.webp&w=384&q=75","1LB CARBON PILLOW","","","https://www.imperialdade.com/catalog/product-detail/carbon-pillow-1-lb-1-each-lobster%20life%20systems-1LB%20CARBON%20PILLOW?id=74343","","","","","","Imperial Dade","","{""manufacturerCode"":""1LB CARBON PILLOW"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/carbon-pillow-1-lb-1-each-lobster%20life%20systems-1LB%20CARBON%20PILLOW?id=74343"",""No PFAS Added:"":""True"",""Package Volume/Weight:"":""1 LB"",""Food Storage & Transport Product Type:"":""Carbon Pillow"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Storage & Transport"",""Package Weight (OZ):"":""16.0"",""Product Type:"":""Carbon Pillow""}"
"","Food Pan 1/6 Size Clear PC 1/Each","84058","","","10099511327017","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53552%2Fprimary%2Fb194f967fcd8a76b892bc7abad3da987e89f7a87-268x268.webp&w=384&q=75","60CWC135","","","https://www.imperialdade.com/catalog/product-detail/food-pan-1-6-size-clear-pc-1-each-cambro-60CWC135?id=53552","","","","","","Imperial Dade","","{""manufacturerCode"":""60CWC135"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/food-pan-1-6-size-clear-pc-1-each-cambro-60CWC135?id=53552"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Polycarbonate (PC)"",""Color:"":""Clear"",""Food Storage & Transport Product Type:"":""Food Pan"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102100"",""Product Category:"":""Food Pans, Drains, & Lids"",""Pan, Sheet or Tray Size:"":""1/6"",""UPC-12:"":""099511327010"",""Product Type:"":""Food Pan""}"
