"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Victoria Bay Shopper Bag Medium (MED) 10X6.75X12 IN Paper #81 Kraft With Rope Handle Closure 250/Case","BISTRO","","","10840064605196","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcms%2Fmedia-lib%2Ficons%2Fdefault-thumbnail.png&w=384&q=75","BISTRO","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-shopper-bag-medium-med-10x6-75x12-in-paper-81-kraft-with-rope-handle-closure-250-case-victoria%20bay%20products-BISTRO?id=4112","","","","","","Imperial Dade","","{""manufacturerCode"":""BISTRO"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-shopper-bag-medium-med-10x6-75x12-in-paper-81-kraft-with-rope-handle-closure-250-case-victoria%20bay%20products-BISTRO?id=4112"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""6.75"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""12"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag & Box Closure Style:"":""Rope Handle"",""Bag Width (IN):"":""10"",""Foodservice Bag Basis Weight/GSM:"":""#81"",""Foodservice Bag Product Usage:"":""Shopper"",""Product Size:"":""Medium (MED)"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 5.91X3.78X11.02 IN Paper #6 Kraft 500/Bundle","VB6SOB","","","10840064615652","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363821%2Fprimary%2F0464a9cdfb314e61a969dc44c5bfaf3ca56375d4-268x268.webp&w=384&q=75","VB6SOB","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-5-91x3-78x11-02-in-paper-6-kraft-500-bundle-victoria%20bay%20products-VB6SOB?id=363821","","","","","","Imperial Dade","","{""manufacturerCode"":""VB6SOB"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-5-91x3-78x11-02-in-paper-6-kraft-500-bundle-victoria%20bay%20products-VB6SOB?id=363821"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""3.78"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""11.02"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""5.91"",""Foodservice Bag Basis Weight/GSM:"":""#6"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 4.88X3.27X10 IN Paper #4 Kraft 500/Bundle","VB4SOB","","","10840064615638","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363819%2Fprimary%2Fa9cf2da8d9f293405d3e6e9bceb441275532588f-268x268.webp&w=384&q=75","VB4SOB","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-4-88x3-27x10-in-paper-4-kraft-500-bundle-victoria%20bay%20products-VB4SOB?id=363819","","","","","","Imperial Dade","","{""manufacturerCode"":""VB4SOB"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-4-88x3-27x10-in-paper-4-kraft-500-bundle-victoria%20bay%20products-VB4SOB?id=363819"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""3.27"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""10"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""4.88"",""Foodservice Bag Basis Weight/GSM:"":""#4"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 6.26X4.02X12.32 IN Paper #8 Kraft 500/Bundle","VB8SOB","","","10840064615669","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363822%2Fprimary%2Fcc045387fb6e2a2da25190ed08b22775c5bfbe79-268x268.webp&w=384&q=75","VB8SOB","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-6-26x4-02x12-32-in-paper-8-kraft-500-bundle-victoria%20bay%20products-VB8SOB?id=363822","","","","","","Imperial Dade","","{""manufacturerCode"":""VB8SOB"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-6-26x4-02x12-32-in-paper-8-kraft-500-bundle-victoria%20bay%20products-VB8SOB?id=363822"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""4.02"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""12.32"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""6.26"",""Foodservice Bag Basis Weight/GSM:"":""#8"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 8X3X15 IN Plastic 0.5MIL Clear 1000/Case","VB8315","","","10840064609811","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F90909%2Fprimary%2F88ab6fb5612a43fe4ba03fd34e11a063b33b62e4-268x268.webp&w=384&q=75","VB8315","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-8x3x15-in-plastic-0-5mil-clear-1000-case-victoria%20bay%20products-VB8315?id=90909","","","","","","Imperial Dade","","{""manufacturerCode"":""VB8315"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-8x3x15-in-plastic-0-5mil-clear-1000-case-victoria%20bay%20products-VB8315?id=90909"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Color:"":""Clear"",""Gusset (IN):"":""3"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""15"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""8"",""Material Thickness (MIL):"":""0.5"",""UPC-12:"":""840064609814"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 6.89X4.53X13.78 IN Paper #12 Kraft 500/Bundle","VB12SOB","","","10840064615683","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363824%2Fprimary%2Fa274bfeae566c839acda7edf7902ec6761916bcd-268x268.webp&w=384&q=75","VB12SOB","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-6-89x4-53x13-78-in-paper-12-kraft-500-bundle-victoria%20bay%20products-VB12SOB?id=363824","","","","","","Imperial Dade","","{""manufacturerCode"":""VB12SOB"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-6-89x4-53x13-78-in-paper-12-kraft-500-bundle-victoria%20bay%20products-VB12SOB?id=363824"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""4.53"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""13.78"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""6.89"",""Foodservice Bag Basis Weight/GSM:"":""#12"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 4.88X3.27X10 IN Paper #4 White 500/Bundle","VB4SOBW","","","10840064615775","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363833%2Fprimary%2F902af461cea7159a0c0d4ceaccbf238d99364e1d-268x268.webp&w=384&q=75","VB4SOBW","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-4-88x3-27x10-in-paper-4-white-500-bundle-victoria%20bay%20products-VB4SOBW?id=363833","","","","","","Imperial Dade","","{""manufacturerCode"":""VB4SOBW"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-4-88x3-27x10-in-paper-4-white-500-bundle-victoria%20bay%20products-VB4SOBW?id=363833"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""White"",""Gusset (IN):"":""3.27"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""10"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""4.88"",""Foodservice Bag Basis Weight/GSM:"":""#4"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 8.27X5.39X16.14 IN Paper #20 Kraft 500/Bundle","VB20SOB","","","10840064615706","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F363826%2Fprimary%2F560e9e2d30ce7369a4d7fdf5b143db02ea023a6d-268x268.webp&w=384&q=75","VB20SOB","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-8-27x5-39x16-14-in-paper-20-kraft-500-bundle-victoria%20bay%20products-VB20SOB?id=363826","","","","","","Imperial Dade","","{""manufacturerCode"":""VB20SOB"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-8-27x5-39x16-14-in-paper-20-kraft-500-bundle-victoria%20bay%20products-VB20SOB?id=363826"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""5.39"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""16.14"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""8.27"",""Foodservice Bag Basis Weight/GSM:"":""#20"",""Product Type:"":""Bag""}"
"","Victoria Bay Bag 1/6 BBL 12X7X17 IN 57 LB Paper Kraft 500/Bundle","VB1657","","","10840064619704","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F358941%2Fprimary%2F79936e4b1a27be27625198fe6cbabac84f45ff45-268x268.webp&w=384&q=75","VB1657","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-1-6-bbl-12x7x17-in-57-lb-paper-kraft-500-bundle-victoria%20bay%20products-VB1657?id=358941","","","","","","Imperial Dade","","{""manufacturerCode"":""VB1657"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-bag-1-6-bbl-12x7x17-in-57-lb-paper-kraft-500-bundle-victoria%20bay%20products-VB1657?id=358941"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""Kraft"",""Gusset (IN):"":""7"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""17"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""12"",""Foodservice Bag Size:"":""1/6 BBL"",""Foodservice Bag Weight (LB):"":""57"",""Product Type:"":""Bag""}"
"","Bag 16X11X39 IN 30 GAL Paper Coated 50/Bundle","30GALCOATED","","30 GAL","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F27004%2Fprimary%2F7ebe3a4cce01f65e62e818fe926c751659d92e0b-268x268.webp&w=384&q=75","30GALCOATED","","","https://www.imperialdade.com/catalog/product-detail/bag-16x11x39-in-30-gal-paper-coated-50-bundle-ace%20bag%20%26%20burlap%20co.-30GALCOATED?id=27004","","","","","","Imperial Dade","","{""manufacturerCode"":""30GALCOATED"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/bag-16x11x39-in-30-gal-paper-coated-50-bundle-ace%20bag%20%26%20burlap%20co.-30GALCOATED?id=27004"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Gusset (IN):"":""11"",""Foodservice Bag Product Type:"":""Bag"",""Bag Length (IN):"":""39"",""ESP Chemical:"":""False"",""UNSPSC:"":""24111500"",""Product Category:"":""Foodservice Bags"",""Bag Width (IN):"":""16"",""Material Features:"":""Coated"",""Capacity (OZ):"":""3840"",""UPC-12:"":""195893169535"",""Product Type:"":""Bag""}"
