"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","9L Meat Tray 9.25X12.31X1.19 IN Polystyrene Foam White Rectangle Heavy 250/Bundle","9LWFM","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F39243%2Fprimary%2F448a97bf0a369d063b2456d889037f08fba52623-268x268.webp&w=384&q=75","100072252","","","https://www.imperialdade.com/catalog/product-detail/9l-meat-tray-9-25x12-31x1-19-in-polystyrene-foam-white-rectangle-heavy-250-bundle-npx%20one-100072252?id=39243","","","","","","Imperial Dade","","{""manufacturerCode"":""100072252"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/9l-meat-tray-9-25x12-31x1-19-in-polystyrene-foam-white-rectangle-heavy-250-bundle-npx%20one-100072252?id=39243"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""White"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""1.19"",""Length (IN):"":""9.25"",""Material Weight:"":""Heavy"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Product Shape:"":""Rectangle"",""Width (IN):"":""12.31"",""Product Type:"":""Tray""}"
"","9SHD Meat Tray 9.25X12.31X0.75 IN Polystyrene Foam White Heavy 200/Case","9SHDFM","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F92846%2Fprimary%2F8f72a7f08d91d2c951510244f0a4712f69aecc50-268x268.webp&w=384&q=75","100920065","","","https://www.imperialdade.com/catalog/product-detail/9shd-meat-tray-9-25x12-31x0-75-in-polystyrene-foam-white-heavy-200-case-npx%20one-100920065?id=92846","","","","","","Imperial Dade","","{""manufacturerCode"":""100920065"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/9shd-meat-tray-9-25x12-31x0-75-in-polystyrene-foam-white-heavy-200-case-npx%20one-100920065?id=92846"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""White"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""0.75"",""Length (IN):"":""9.25"",""Material Weight:"":""Heavy"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Width (IN):"":""12.31"",""UPC-12:"":""738392200653"",""Product Type:"":""Tray""}"
"","Freezer Paper Roll 18IN X1000FT 40#/5 White Standard 1/Roll","18FZ","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F14870%2Fprimary%2F6bf6c3bceb74d175af5f6d51df2489af680c54d4-268x268.webp&w=384&q=75","C85405180","","","https://www.imperialdade.com/catalog/product-detail/freezer-paper-roll-18in-x1000ft-40-5-white-standard-1-roll-delta%20paper-C85405180?id=14870","","","","","","Imperial Dade","","{""manufacturerCode"":""C85405180"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/freezer-paper-roll-18in-x1000ft-40-5-white-standard-1-roll-delta%20paper-C85405180?id=14870"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""White"",""Foodservice Packaging Product Type:"":""Freezer Paper Roll"",""ESP Chemical:"":""False"",""UNSPSC:"":""14121808"",""Product Category:"":""Freezer Paper"",""Foodservice Packaging Product Basis Weight:"":""40#/5"",""Material Features:"":""Standard"",""Roll Length (FT):"":""1000"",""Roll Width (IN):"":""18"",""UPC-12:"":""000401810000, 735153038135, 735153056917"",""Product Type:"":""Freezer Paper Roll""}"
"","4S Supermarket Tray 9.125X7.125X0.65 IN 1 Compartment Polystyrene Foam White Rectangle 500/Case","DSTF104S","","","00721725740049","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F37928%2Fprimary%2F2ae52c17edcaa715b1def3eb186fbf35dbc22401-268x268.webp&w=384&q=75","0TF104S00000","","","https://www.imperialdade.com/catalog/product-detail/4s-supermarket-tray-9-125x7-125x0-65-in-1-compartment-polystyrene-foam-white-rectangle-500-case-pactiv-0TF104S00000?id=37928","","","","","","Imperial Dade","","{""manufacturerCode"":""0TF104S00000"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/4s-supermarket-tray-9-125x7-125x0-65-in-1-compartment-polystyrene-foam-white-rectangle-500-case-pactiv-0TF104S00000?id=37928"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""White"",""Number of Compartments:"":""1"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""0.65"",""Length (IN):"":""9.125"",""Meat & Produce Pad & Tray Usage:"":""Supermarket"",""Product Shape:"":""Rectangle"",""Width (IN):"":""7.125"",""UPC-12:"":""721725740049"",""Product Type:"":""Tray""}"
"","42 Meat Tray 8.63X6.31X2.39 IN Polystyrene Foam Deep White Rectangle 250/Case","42FM","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F20856%2Fprimary%2F52fbe4a66735b284e878f0354980d6abebc65b25-268x268.webp&w=384&q=75","100072250","","","https://www.imperialdade.com/catalog/product-detail/42-meat-tray-8-63x6-31x2-39-in-polystyrene-foam-deep-white-rectangle-250-case-npx%20one-100072250?id=20856","","","","","","Imperial Dade","","{""manufacturerCode"":""100072250"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/42-meat-tray-8-63x6-31x2-39-in-polystyrene-foam-deep-white-rectangle-250-case-npx%20one-100072250?id=20856"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""White"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""2.39"",""Length (IN):"":""8.63"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Product Depth:"":""Deep"",""Product Shape:"":""Rectangle"",""Width (IN):"":""6.31"",""UPC-12:"":""738392722506"",""Product Type:"":""Tray""}"
"","1S Meat Tray 5.25X5.25X0.5 IN Polystyrene Foam Shallow White Square Heavy 1000/Case","1SFM","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F18926%2Fprimary%2F37895c6dcc20a4228b3118e4984e06fab7657901-268x268.webp&w=384&q=75","100072163","","","https://www.imperialdade.com/catalog/product-detail/1s-meat-tray-5-25x5-25x0-5-in-polystyrene-foam-shallow-white-square-heavy-1000-case-npx%20one-100072163?id=18926","","","","","","Imperial Dade","","{""manufacturerCode"":""100072163"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/1s-meat-tray-5-25x5-25x0-5-in-polystyrene-foam-shallow-white-square-heavy-1000-case-npx%20one-100072163?id=18926"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""White"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""0.5"",""Length (IN):"":""5.25"",""Material Weight:"":""Heavy"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Product Depth:"":""Shallow"",""Product Shape:"":""Square"",""Width (IN):"":""5.25"",""UPC-12:"":""069199245005, 738392100861, 738392721639"",""Product Type:"":""Tray""}"
"","Super Soaker Meat Pad 4X6 IN Black White 2000/Case","SA50B","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53443%2Fprimary%2Fcbeba4d27596eea0c4b4ecbebc889c62007c89f5-268x268.webp&w=384&q=75","5246-0002","","","https://www.imperialdade.com/catalog/product-detail/super-soaker-meat-pad-4x6-in-black-white-2000-case-unistar%20plastics-5246-0002?id=53443","","","","","","Imperial Dade","","{""manufacturerCode"":""5246-0002"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/super-soaker-meat-pad-4x6-in-black-white-2000-case-unistar%20plastics-5246-0002?id=53443"",""Color:"":""Black, White"",""Meat & Produce Pad & Tray Type:"":""Pad"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Length (IN):"":""4"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Width (IN):"":""6"",""UPC-12:"":""678315100021"",""Product Type:"":""Pad""}"
"","Cutter 5.75X1.5 IN Carbon Steel Blue Recessed 1/Each","KCJ1SSWXB","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F372639%2Fprimary%2Fe70c04ccd7a5966bf23aa00813204c2a251d6402-268x268.webp&w=384&q=75","KCJ-2B","","","https://www.imperialdade.com/catalog/product-detail/cutter-5-75x1-5-in-carbon-steel-blue-recessed-1-each-klever%20innovations-KCJ-2B?id=372639","","","","","","Imperial Dade","","{""manufacturerCode"":""KCJ-2B"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/cutter-5-75x1-5-in-carbon-steel-blue-recessed-1-each-klever%20innovations-KCJ-2B?id=372639"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Carbon Steel"",""Color:"":""Blue"",""Foodservice Packaging Product Type:"":""Cutter"",""ESP Chemical:"":""False"",""UNSPSC:"":""23153000"",""Additional Product Features:"":""Recessed"",""Product Category:"":""Cutters & Dispensers"",""Length (IN):"":""5.75"",""Width (IN):"":""1.5"",""Product Type:"":""Cutter""}"
"","ClingClassic Cling Film Cutter & Roll 18IN X2000FT Plastic 35 Gauge Clear 1/Roll","30550400","","","10028407000048","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F93004%2Fprimary%2Fa659f18c53392c3863cc089d224df415fb24ad86-268x268.webp&w=384&q=75","1504415","","","https://www.imperialdade.com/catalog/product-detail/clingclassic-cling-film-cutter-roll-18in-x2000ft-plastic-35-gauge-clear-1-roll-berry%20global-1504415?id=93004","","","","","","Imperial Dade","","{""manufacturerCode"":""1504415"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/clingclassic-cling-film-cutter-roll-18in-x2000ft-plastic-35-gauge-clear-1-roll-berry%20global-1504415?id=93004"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Color:"":""Clear"",""Foodservice Packaging Product Type:"":""Cling Film Cutter & Roll"",""ESP Chemical:"":""False"",""UNSPSC:"":""48102109"",""Product Category:"":""Plastic Food Wrap Sheets & Rolls"",""Material Thickness (Gauge):"":""35"",""Roll Length (FT):"":""2000"",""Roll Width (IN):"":""18"",""UPC-12:"":""0028407000041"",""Product Type:"":""Cling Film Cutter & Roll""}"
"","Dyne-A-Pak 20S Meat Tray 8.5X6.5X0.625 IN Polystyrene Foam Black 500/Case","D20SBLACK","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F75097%2Fprimary%2Fdbf8b31128d0f2b47280b7e1e76cdc883a1e7988-268x268.webp&w=384&q=75","20S","","","https://www.imperialdade.com/catalog/product-detail/dyne-a-pak-20s-meat-tray-8-5x6-5x0-625-in-polystyrene-foam-black-500-case-proampac-20S?id=75097","","","","","","Imperial Dade","","{""manufacturerCode"":""20S"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/dyne-a-pak-20s-meat-tray-8-5x6-5x0-625-in-polystyrene-foam-black-500-case-proampac-20S?id=75097"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Check Locally"",""Material:"":""Polystyrene Foam"",""Color:"":""Black"",""Meat & Produce Pad & Tray Type:"":""Tray"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101915"",""Product Category:"":""Meat & Produce Pads & Trays"",""Height (IN):"":""0.625"",""Length (IN):"":""8.5"",""Meat & Produce Pad & Tray Usage:"":""Meat"",""Width (IN):"":""6.5"",""UPC-12:"":""069199832809"",""Product Type:"":""Tray""}"
