"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Item Date Use By Food Rotation Label 2X3 IN White Rectangle Dissolvable 250CT 1/Each","DSLBX23R","","","30018291992097","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F27240%2Fprimary%2Fbbcb91d472e19044fa268acb9da399228121af9e-268x268.webp&w=384&q=75","DSLBX23R","","","https://www.imperialdade.com/catalog/product-detail/item-date-use-by-food-rotation-label-2x3-in-white-rectangle-dissolvable-250ct-1-each-ncco%20-%20national%20checking%20co-DSLBX23R?id=27240","","","","","","Imperial Dade","","{""manufacturerCode"":""DSLBX23R"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/item-date-use-by-food-rotation-label-2x3-in-white-rectangle-dissolvable-250ct-1-each-ncco%20-%20national%20checking%20co-DSLBX23R?id=27240"",""Color:"":""White"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Count:"":""250"",""Food & Supermarket Label Product Features:"":""Dissolvable"",""Food & Supermarket Label Product Usage:"":""Item Date Use By Food Rotation"",""Length (IN):"":""2"",""Product Shape:"":""Rectangle"",""Width (IN):"":""3"",""UPC-12:"":""018291992096"",""Product Type:"":""Label""}"
"","Fl428 D/B Scale Label 7 IN 16/Case","926610FL","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F118317%2Fprimary%2Fcd05565452501aed6bd60540db7620dd8c1f1d5f-268x268.webp&w=384&q=75","FL428","","","https://www.imperialdade.com/catalog/product-detail/fl428-d-b-scale-label-7-in-16-case-specialty%20printing-FL428?id=118317","","","","","","Imperial Dade","","{""manufacturerCode"":""FL428"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fl428-d-b-scale-label-7-in-16-case-specialty%20printing-FL428?id=118317"",""No PFAS Added:"":""True"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Usage:"":""D/B Scale"",""Label Style Number:"":""Fl428"",""Length (IN):"":""7"",""Product Type:"":""Label""}"
"","DissolveMark® Item Date Use By Label 2X2 IN White Square Dissolvable 250/Roll","IT112438","","","00083491304246","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F91121%2Fprimary%2F8884e3c11edbdb0fec6cb684f5a1fc351f774335-268x268.webp&w=384&q=75","IT112438","","","https://www.imperialdade.com/catalog/product-detail/dissolvemark-item-date-use-by-label-2x2-in-white-square-dissolvable-250-roll-daymark%20safety%20systems-IT112438?id=91121","","","","","","Imperial Dade","","{""manufacturerCode"":""IT112438"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/dissolvemark-item-date-use-by-label-2x2-in-white-square-dissolvable-250-roll-daymark%20safety%20systems-IT112438?id=91121"",""Color:"":""White"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Features:"":""Dissolvable"",""Food & Supermarket Label Product Usage:"":""Item Date Use By"",""Length (IN):"":""2"",""Product Shape:"":""Square"",""Width (IN):"":""2"",""UPC-12:"":""083491304246"",""Product Type:"":""Label""}"
"","Label 2.76X5.79 IN Continuous Lined 30/Case","LABEL700MM147","","","55000004521556","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F70647%2Fprimary%2Ff317e3cd4d6467287dea13e8ec0ba2a310fa852f-268x268.webp&w=384&q=75","503004000100010203","","","https://www.imperialdade.com/catalog/product-detail/label-2-76x5-79-in-continuous-lined-30-case-bizerba-503004000100010203?id=70647","","","","","","Imperial Dade","","{""manufacturerCode"":""503004000100010203"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/label-2-76x5-79-in-continuous-lined-30-case-bizerba-503004000100010203?id=70647"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Features:"":""Continuous, Lined"",""Length (IN):"":""2.76"",""Width (IN):"":""5.79"",""Product Type:"":""Label""}"
"","Paid Label 0.625X1.25 IN Red Oval Dayglo 1000/Roll","LG536","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F61533%2Fprimary%2Fe8ee02a22200697402b843d1e6e7d10729bb22ec-268x268.webp&w=384&q=75","12315","","","https://www.imperialdade.com/catalog/product-detail/paid-label-0-625x1-25-in-red-oval-dayglo-1000-roll-bollin%20label%20systems-12315?id=61533","","","","","","Imperial Dade","","{""manufacturerCode"":""12315"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/paid-label-0-625x1-25-in-red-oval-dayglo-1000-roll-bollin%20label%20systems-12315?id=61533"",""No PFAS Added:"":""True"",""Color:"":""Red"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Features:"":""Dayglo"",""Food & Supermarket Label Product Usage:"":""Paid"",""Length (IN):"":""0.625"",""Product Shape:"":""Oval"",""Width (IN):"":""1.25"",""UPC-12:"":""841943109166"",""Product Type:"":""Label""}"
"","ToughMark Item Date Use By Bilingual Label 2X2 IN White Square 500 Count/Roll 1 Rolls/Case","IT114238","","","00083491323308","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F22611%2Fprimary%2F047afe5ee89f8742e41822343614af46c04cfdea-268x268.webp&w=384&q=75","IT114238","","","https://www.imperialdade.com/catalog/product-detail/toughmark-item-date-use-by-bilingual-label-2x2-in-white-square-500-count-roll-1-rolls-case-daymark%20safety%20systems-IT114238?id=22611","","","","","","Imperial Dade","","{""manufacturerCode"":""IT114238"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/toughmark-item-date-use-by-bilingual-label-2x2-in-white-square-500-count-roll-1-rolls-case-daymark%20safety%20systems-IT114238?id=22611"",""Color:"":""White"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Usage:"":""Item Date Use By Bilingual"",""Length (IN):"":""2"",""Product Shape:"":""Square"",""Width (IN):"":""2"",""UPC-12:"":""083491323308"",""Product Type:"":""Label""}"
"","USDA Choice Label Shield 500/Roll","US775","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F60966%2Fprimary%2F287a085ddb90ba539320145f22c1fc82b9472434-268x268.webp&w=384&q=75","US-775","","","https://www.imperialdade.com/catalog/product-detail/usda-choice-label-shield-500-roll-epsen%20hillmer%20graphics%20company-US-775?id=60966","","","","","","Imperial Dade","","{""manufacturerCode"":""US-775"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/usda-choice-label-shield-500-roll-epsen%20hillmer%20graphics%20company-US-775?id=60966"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Usage:"":""USDA Choice"",""Product Shape:"":""Shield"",""Product Type:"":""Label""}"
"","Monarch Universal Blank 1131 Label White 8/Pack","27260","","","20028028006402","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53929%2Fprimary%2Fd98cc75227a44cdab80026e2ec1b07377998f0dd-268x268.webp&w=384&q=75","000239","","","https://www.imperialdade.com/catalog/product-detail/monarch-universal-blank-1131-label-white-8-pack-price%20mark%20sales-000239?id=53929","","","","","","Imperial Dade","","{""manufacturerCode"":""000239"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/monarch-universal-blank-1131-label-white-8-pack-price%20mark%20sales-000239?id=53929"",""Color:"":""White"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Usage:"":""Universal Blank 1131"",""UPC-12:"":""028028006408"",""Product Type:"":""Label""}"
"","Item Date Use By Food Rotation Label 2X3 IN White Rectangle Dissolvable 250/Roll","DSL23R","","","00018291991518","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F27234%2Fprimary%2Fa69caeeb40a3626038e2812d8a2460930bc5580a-268x268.webp&w=384&q=75","DSL23R","","","https://www.imperialdade.com/catalog/product-detail/item-date-use-by-food-rotation-label-2x3-in-white-rectangle-dissolvable-250-roll-ncco%20-%20national%20checking%20co-DSL23R?id=27234","","","","","","Imperial Dade","","{""manufacturerCode"":""DSL23R"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/item-date-use-by-food-rotation-label-2x3-in-white-rectangle-dissolvable-250-roll-ncco%20-%20national%20checking%20co-DSL23R?id=27234"",""Color:"":""White"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Features:"":""Dissolvable"",""Food & Supermarket Label Product Usage:"":""Item Date Use By Food Rotation"",""Length (IN):"":""2"",""Product Shape:"":""Rectangle"",""Width (IN):"":""3"",""UPC-12:"":""018291991518"",""Product Type:"":""Label""}"
"","Paid Thank You Label 0.625X1.25 IN 1000/Roll","LAB12159","","","50841943107709","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F75464%2Fprimary%2Fe1567da4dc5f86d79999ea69b56411e70f2679f5-268x268.webp&w=384&q=75","12159","","","https://www.imperialdade.com/catalog/product-detail/paid-thank-you-label-0-625x1-25-in-1000-roll-bollin%20label%20systems-12159?id=75464","","","","","","Imperial Dade","","{""manufacturerCode"":""12159"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/paid-thank-you-label-0-625x1-25-in-1000-roll-bollin%20label%20systems-12159?id=75464"",""No PFAS Added:"":""True"",""Food & Supermarket Label Product Type:"":""Label"",""ESP Chemical:"":""False"",""UNSPSC:"":""55121600"",""Product Category:"":""Food & Supermarket Labels"",""Food & Supermarket Label Product Usage:"":""Paid Thank You"",""Length (IN):"":""0.625"",""Width (IN):"":""1.25"",""UPC-12:"":""841943107704"",""Product Type:"":""Label""}"
