"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Victoria Bay Dinner Napkins 15X17 IN White Virgin Paper 2PLY 1/8 Fold 3000/Case","VB2PLYDN","","","10895415004692","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F261720%2Fprimary%2F26d7f03ea2744089ea53e3c6bd7c53953056bcdf-268x268.webp&w=384&q=75","VB2PLYDN","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-dinner-napkins-15x17-in-white-virgin-paper-2ply-1-8-fold-3000-case-victoria%20bay%20products-VB2PLYDN?id=261720","","","","","","Imperial Dade","","{""manufacturerCode"":""VB2PLYDN"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-dinner-napkins-15x17-in-white-virgin-paper-2ply-1-8-fold-3000-case-victoria%20bay%20products-VB2PLYDN?id=261720"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Virgin Paper"",""Sustainable Product:"":""Yes"",""Color:"":""White"",""Napkin Product Type:"":""Dinner Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""2"",""Product Category:"":""Napkins"",""Fold:"":""1/8 Fold"",""Unfolded Length (IN):"":""15"",""Unfolded Width (IN):"":""17"",""UPC-12:"":""895415004695"",""Product Type:"":""Dinner Napkins""}"
"","Tork Xpressnap® Dispenser Napkins 8.5X13 IN 4.25X6.5 IN Natural Paper Interfold Embossed 500 Count/Pack 12 Packs/Case","DX906E","","","10073286616170","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F1117%2Fprimary%2F4b5ec98917a02878ece1fea275415f2d2d0d637c-268x268.webp&w=384&q=75","DX906E","","","https://www.imperialdade.com/catalog/product-detail/tork-xpressnap-dispenser-napkins-8-5x13-in-4-25x6-5-in-natural-paper-interfold-embossed-500-count-pack-12-packs-case-essity-DX906E?id=1117","","","","","","Imperial Dade","","{""manufacturerCode"":""DX906E"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/tork-xpressnap-dispenser-napkins-8-5x13-in-4-25x6-5-in-natural-paper-interfold-embossed-500-count-pack-12-packs-case-essity-DX906E?id=1117"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Sustainable Product:"":""Yes"",""Color:"":""Natural"",""Folded Width (IN):"":""6.5"",""Forest Stewardship Council (FSC) Certification:"":""True"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Greensafe:"":""True"",""UL ECOLOGO Certification:"":""UL 175 - Sanitary Paper Products"",""Biodegradable Products Institute (BPI) Certification:"":""True"",""Green Seal Product Certification:"":""GS-01 - Sanitary Paper Products"",""Product Category:"":""Napkins"",""Compatible Dispenser System:"":""N4"",""Fold:"":""Interfold"",""Folded Length (IN):"":""4.25"",""Material Features:"":""Embossed"",""Napkin Features:"":""Refill"",""Unfolded Length (IN):"":""8.5"",""Unfolded Width (IN):"":""13"",""UPC-12:"":""73286616173"",""Product Type:"":""Dispenser Napkins""}"
"","Victoria Bay Beverage Napkins 9X9 IN White Paper 1PLY 4000/Case","VBBEVNAPK","","","10895415004517","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F69335%2Fprimary%2F9660f778d91930f67a2fb50cce793ba57c91c220-268x268.webp&w=384&q=75","VBBEVNAPK","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-beverage-napkins-9x9-in-white-paper-1ply-4000-case-victoria%20bay%20products-VBBEVNAPK?id=69335","","","","","","Imperial Dade","","{""manufacturerCode"":""VBBEVNAPK"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-beverage-napkins-9x9-in-white-paper-1ply-4000-case-victoria%20bay%20products-VBBEVNAPK?id=69335"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""White"",""Napkin Product Type:"":""Beverage Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""1"",""Product Category:"":""Napkins"",""Length (IN):"":""9"",""Width (IN):"":""9"",""UPC-12:"":""895415004510"",""Product Type:"":""Beverage Napkins""}"
"","Victoria Bay Dispenser Napkins 6.5X8 IN White 2PLY Interfold 500 Count/Pack 12 Packs/Case 6000 Count/Case","VBIFNWW","","","10840064608487","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F261744%2Fprimary%2F34d225bfecdfc9772d2cd27fd1f328cafdbc6abd-268x268.webp&w=384&q=75","VBIFNWW","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6-5x8-in-white-2ply-interfold-500-count-pack-12-packs-case-6000-count-case-victoria%20bay%20products-VBIFNWW?id=261744","","","","","","Imperial Dade","","{""manufacturerCode"":""VBIFNWW"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6-5x8-in-white-2ply-interfold-500-count-pack-12-packs-case-6000-count-case-victoria%20bay%20products-VBIFNWW?id=261744"",""Color:"":""White"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""2"",""Product Category:"":""Napkins"",""Fold:"":""Interfold"",""Unfolded Length (IN):"":""6.5"",""Unfolded Width (IN):"":""8"",""UPC-12:"":""840064608480"",""Product Type:"":""Dispenser Napkins""}"
"","Victoria Bay Dispenser Napkins 6.5X8 IN Kraft 2PLY Interfold 500 Count/Pack 12 Packs/Case 6000 Count/Case","VBIFNK","","","10840064608470","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F261743%2Fprimary%2Ff01498b8b88f8a3f919ab866e09dad0b7e30a06c-268x268.webp&w=384&q=75","VBIFNK","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6-5x8-in-kraft-2ply-interfold-500-count-pack-12-packs-case-6000-count-case-victoria%20bay%20products-VBIFNK?id=261743","","","","","","Imperial Dade","","{""manufacturerCode"":""VBIFNK"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6-5x8-in-kraft-2ply-interfold-500-count-pack-12-packs-case-6000-count-case-victoria%20bay%20products-VBIFNK?id=261743"",""Color:"":""Kraft"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""2"",""Product Category:"":""Napkins"",""Fold:"":""Interfold"",""Unfolded Length (IN):"":""6.5"",""Unfolded Width (IN):"":""8"",""UPC-12:"":""840064608473"",""Product Type:"":""Dispenser Napkins""}"
"","Victoria Bay Beverage Napkins 10X10 IN 5X5 IN Black Virgin Paper 2PLY 1/4 Fold 250 Count/Pack 4 Packs/Case","VBBN1210B","","","10840064620793","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F367030%2Fprimary%2Fbc2ecccecab81b6f2fa1c205cf2bebf20fdcd891-268x268.webp&w=384&q=75","VBBN1210B","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-beverage-napkins-10x10-in-5x5-in-black-virgin-paper-2ply-1-4-fold-250-count-pack-4-packs-case-victoria%20bay%20products-VBBN1210B?id=367030","","","","","","Imperial Dade","","{""manufacturerCode"":""VBBN1210B"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-beverage-napkins-10x10-in-5x5-in-black-virgin-paper-2ply-1-4-fold-250-count-pack-4-packs-case-victoria%20bay%20products-VBBN1210B?id=367030"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Virgin Paper"",""Sustainable Product:"":""Yes"",""Color:"":""Black"",""Folded Width (IN):"":""5"",""Napkin Product Type:"":""Beverage Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""2"",""Product Category:"":""Napkins"",""Fold:"":""1/4 Fold"",""Folded Length (IN):"":""5"",""Product Shape:"":""Square"",""Unfolded Length (IN):"":""10"",""Unfolded Width (IN):"":""10"",""Product Type:"":""Beverage Napkins""}"
"","Victoria Bay Luncheon Napkins 12X12 IN White Paper 1PLY 1/4 Fold 6000/Case","LNAP12500","","","10895415000113","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F13533%2Fprimary%2Fc1c32d538c22b984a127c7b1e99e540e65b361ef-268x268.webp&w=384&q=75","LNAP12500","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-luncheon-napkins-12x12-in-white-paper-1ply-1-4-fold-6000-case-victoria%20bay%20products-LNAP12500?id=13533","","","","","","Imperial Dade","","{""manufacturerCode"":""LNAP12500"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-luncheon-napkins-12x12-in-white-paper-1ply-1-4-fold-6000-case-victoria%20bay%20products-LNAP12500?id=13533"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Color:"":""White"",""Napkin Product Type:"":""Luncheon Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""1"",""Product Category:"":""Napkins"",""Fold:"":""1/4 Fold"",""Unfolded Length (IN):"":""12"",""Unfolded Width (IN):"":""12"",""UPC-12:"":""895415000116"",""Product Type:"":""Luncheon Napkins""}"
"","Tork Xpressnap® Dispenser Napkins 8.5X13 IN 4.25X6.5 IN White Paper Interfold Refill Embossed 2000 Count/Case","DX900","","","10073286615777","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F1116%2Fprimary%2F9ff8e46568ca8d5f247f78cf699f40c6017f71c8-268x268.webp&w=384&q=75","DX900","","","https://www.imperialdade.com/catalog/product-detail/tork-xpressnap-dispenser-napkins-8-5x13-in-4-25x6-5-in-white-paper-interfold-refill-embossed-2000-count-case-essity-DX900?id=1116","","","","","","Imperial Dade","","{""manufacturerCode"":""DX900"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/tork-xpressnap-dispenser-napkins-8-5x13-in-4-25x6-5-in-white-paper-interfold-refill-embossed-2000-count-case-essity-DX900?id=1116"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Sustainable Product:"":""Yes"",""Color:"":""White"",""Folded Width (IN):"":""6.5"",""Forest Stewardship Council (FSC) Certification:"":""True"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Greensafe:"":""True"",""UL ECOLOGO Certification:"":""UL 175 - Sanitary Paper Products"",""Biodegradable Products Institute (BPI) Certification:"":""True"",""Product Category:"":""Napkins"",""Compatible Dispenser System:"":""N4"",""Fold:"":""Interfold"",""Folded Length (IN):"":""4.25"",""Material Features:"":""Embossed"",""Napkin Features:"":""Refill"",""Unfolded Length (IN):"":""8.5"",""Unfolded Width (IN):"":""13"",""UPC-12:"":""73286615770"",""Product Type:"":""Dispenser Napkins""}"
"","Victoria Bay Dispenser Napkins 6X13 IN White 1PLY Tall Fold 500 Count/Pack 2 Packs/Case 10000 Count/Case","VBTFN","","","10840064611432","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F261747%2Fprimary%2F3010324091deea1c3d684c82155654d7addf0363-268x268.webp&w=384&q=75","VBTFN","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6x13-in-white-1ply-tall-fold-500-count-pack-2-packs-case-10000-count-case-victoria%20bay%20products-VBTFN?id=261747","","","","","","Imperial Dade","","{""manufacturerCode"":""VBTFN"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-dispenser-napkins-6x13-in-white-1ply-tall-fold-500-count-pack-2-packs-case-10000-count-case-victoria%20bay%20products-VBTFN?id=261747"",""Color:"":""White"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""Ply:"":""1"",""Product Category:"":""Napkins"",""Fold:"":""Tall Fold"",""Unfolded Length (IN):"":""6"",""Unfolded Width (IN):"":""13"",""Product Type:"":""Dispenser Napkins""}"
"","ServOne Dispenser Napkins 8.5X12.6 IN Kraft Interfold Twin Pack 6016/Case","2411","","","10067220604118","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F12058%2Fprimary%2F117aedf2745e3450710b8c073fcc28d15e994748-268x268.webp&w=384&q=75","T411","","","https://www.imperialdade.com/catalog/product-detail/servone-dispenser-napkins-8-5x12-6-in-kraft-interfold-twin-pack-6016-case-cascades-T411?id=12058","","","","","","Imperial Dade","","{""manufacturerCode"":""T411"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/servone-dispenser-napkins-8-5x12-6-in-kraft-interfold-twin-pack-6016-case-cascades-T411?id=12058"",""Sustainable Product:"":""Yes"",""Color:"":""Kraft"",""Forest Stewardship Council (FSC) Certification:"":""True"",""Napkin Product Type:"":""Dispenser Napkins"",""ESP Chemical:"":""False"",""UNSPSC:"":""14111705"",""UL ECOLOGO Certification:"":""UL 175 - Sanitary Paper Products"",""Product Category:"":""Napkins"",""Fold:"":""Interfold"",""Package Type:"":""Twin Pack"",""Unfolded Length (IN):"":""8.5"",""Unfolded Width (IN):"":""12.6"",""Product Type:"":""Dispenser Napkins""}"
