"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Fryer Filter Envelope 14X22.25 IN Non-Woven Paper 1.5 Inch Hole 100 Count/Pack 1 Packs/Case 100 Count/Case","FE1422W","","","00072288109959","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F19504%2Fprimary%2F254d1074e687ba05ce0b6ace2fff686336b3bcf0-268x268.webp&w=384&q=75","FE1422W","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-envelope-14x22-25-in-non-woven-paper-1-5-inch-hole-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-FE1422W?id=19504","","","","","","Imperial Dade","","{""manufacturerCode"":""FE1422W"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-envelope-14x22-25-in-non-woven-paper-1-5-inch-hole-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-FE1422W?id=19504"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Non-Woven Paper"",""Sustainable Product:"":""Yes"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Envelope"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""14"",""Width (IN):"":""22.25"",""Restaurant Kitchen Equipment Product Features:"":""1.5 Inch Hole"",""Product Type:"":""Fryer Filter Envelope""}"
"","Fryer Filter Envelope 13X20 IN Non-Woven Paper 1.5 Inch Hole 100 Count/Pack 1 Packs/Case 100 Count/Case","HP1320100","","","00072288110139","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F12267%2Fprimary%2F26ba533b1abfa1eef81d7008028e425300244e25-268x268.webp&w=384&q=75","HP1320-100","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-envelope-13x20-in-non-woven-paper-1-5-inch-hole-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-HP1320-100?id=12267","","","","","","Imperial Dade","","{""manufacturerCode"":""HP1320-100"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-envelope-13x20-in-non-woven-paper-1-5-inch-hole-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-HP1320-100?id=12267"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Non-Woven Paper"",""Sustainable Product:"":""Yes"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Envelope"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""13"",""Width (IN):"":""20"",""UPC-12:"":""072288110139"",""Restaurant Kitchen Equipment Product Features:"":""1.5 Inch Hole"",""Product Type:"":""Fryer Filter Envelope""}"
"","Fryer Filter Sheet 11.25X19.12 IN Paper 30/Case","FRYERFILTER","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F74510%2Fprimary%2Fb6f5ab4f4450f757f712bd610f1b061bb4416355-268x268.webp&w=384&q=75","FRYERFILTER","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-11-25x19-12-in-paper-30-case-henny%20penny-FRYERFILTER?id=74510","","","","","","Imperial Dade","","{""manufacturerCode"":""FRYERFILTER"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-11-25x19-12-in-paper-30-case-henny%20penny-FRYERFILTER?id=74510"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Sheet"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""11.25"",""Width (IN):"":""19.12"",""Product Type:"":""Fryer Filter Sheet""}"
"","Claire Food Grade Silicone 11 OZ 1/Each","C948","","11 OZ","10041911009482","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F35129%2Fprimary%2F6d54b783043b3ce2564dffca759fb21dcf77f537-268x268.webp&w=384&q=75","CL948","","","https://www.imperialdade.com/catalog/product-detail/claire-food-grade-silicone-11-oz-1-each-plz%20corp.-CL948?id=35129","","","","","","Imperial Dade","","{""manufacturerCode"":""CL948"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/claire-food-grade-silicone-11-oz-1-each-plz%20corp.-CL948?id=35129"",""Restaurant Kitchen Equipment Product Type:"":""Food Grade Silicone"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101800"",""Product Category:"":""Restaurant Kitchen Equipment"",""Capacity (OZ):"":""11"",""UPC-12:"":""713014119483"",""Product Type:"":""Food Grade Silicone""}"
"","Fryer Filter Sheet 25.5X16 IN 100 Count/Pack 1 Packs/Case 100 Count/Case","FS1625","","","00072288115165","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F63522%2Fprimary%2F4b2f160387847fcb32c8bc0ebcf99bcf7b26bdf9-268x268.webp&w=384&q=75","FS1625","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-25-5x16-in-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-FS1625?id=63522","","","","","","Imperial Dade","","{""manufacturerCode"":""FS1625"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-25-5x16-in-100-count-pack-1-packs-case-100-count-case-acr%20(amercareroyal)-FS1625?id=63522"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Sheet"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""25.5"",""Width (IN):"":""16"",""Product Type:"":""Fryer Filter Sheet""}"
"","Fryer Filter Sheet Round Fryer 15.7X21.58 IN Paper Flat 10/Pack","FS1521G","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F111909%2Fprimary%2F49b4aa53b53bf34c9802275ab1a21677f021499f-268x268.webp&w=384&q=75","FS1521G","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-round-fryer-15-7x21-58-in-paper-flat-10-pack-oil%20solutions%20group-FS1521G?id=111909","","","","","","Imperial Dade","","{""manufacturerCode"":""FS1521G"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-round-fryer-15-7x21-58-in-paper-flat-10-pack-oil%20solutions%20group-FS1521G?id=111909"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Sheet"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""15.7"",""Width (IN):"":""21.58"",""Restaurant Kitchen Equipment Product Features:"":""Flat"",""Product Type:"":""Fryer Filter Sheet""}"
"","Fryer Filter Pad 11X19 IN Heavy Duty 30/Case","71707","","","06630461209052","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F96728%2Fprimary%2F5f4053f0f87bcd96a11ed23acf44d0ba719a89ac-268x268.webp&w=384&q=75","12090","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-pad-11x19-in-heavy-duty-30-case-henny%20penny-12090?id=96728","","","","","","Imperial Dade","","{""manufacturerCode"":""12090"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-pad-11x19-in-heavy-duty-30-case-henny%20penny-12090?id=96728"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Pad"",""ESP Chemical:"":""False"",""UNSPSC:"":""44120000"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""11"",""Material Weight:"":""Heavy Duty"",""Width (IN):"":""19"",""UPC-12:"":""663046120905"",""Product Type:"":""Fryer Filter Pad""}"
"","Fryer Filter Sheet Paper 100/Box","EZ-CF560","","","10051098002008","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcms%2Fmedia-lib%2Ficons%2Fdefault-thumbnail.png&w=384&q=75","D2416S4","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-paper-100-box-hp%20sales%20of%20new%20jersey%C2%A0%26%20new%20york-D2416S4?id=14559","","","","","","Imperial Dade","","{""manufacturerCode"":""D2416S4"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-paper-100-box-hp%20sales%20of%20new%20jersey%C2%A0%26%20new%20york-D2416S4?id=14559"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Sheet"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""UPC-12:"":""661799275255"",""Product Type:"":""Fryer Filter Sheet""}"
"","Fryer Filter Sheet 20.5X18.5 IN Paper With Hole 100/Case","D1820E5","","","10051098002367","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F176905%2Fprimary%2Fbb3a0210ee5ba92e44e99b43d9c0103c1667bbeb-268x268.webp&w=384&q=75","D1820E5","","","https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-20-5x18-5-in-paper-with-hole-100-case-cellucap-D1820E5?id=176905","","","","","","Imperial Dade","","{""manufacturerCode"":""D1820E5"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/fryer-filter-sheet-20-5x18-5-in-paper-with-hole-100-case-cellucap-D1820E5?id=176905"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Paper"",""Restaurant Kitchen Equipment Product Type:"":""Fryer Filter Sheet"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Additional Product Features:"":""With Hole"",""Product Category:"":""Commercial Fryers & Accessories"",""Length (IN):"":""20.5"",""Width (IN):"":""18.5"",""UPC-12:"":""400015247313"",""Product Type:"":""Fryer Filter Sheet""}"
"","Charcoal Fryer Filter 12.375X20X2 IN 1/Each","EZ-30248","","","00906291270651","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcms%2Fmedia-lib%2Ficons%2Fdefault-thumbnail.png&w=384&q=75","G30248","","","https://www.imperialdade.com/catalog/product-detail/charcoal-fryer-filter-12-375x20x2-in-1-each-hp%20sales%20of%20new%20jersey%C2%A0%26%20new%20york-G30248?id=9253","","","","","","Imperial Dade","","{""manufacturerCode"":""G30248"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/charcoal-fryer-filter-12-375x20x2-in-1-each-hp%20sales%20of%20new%20jersey%C2%A0%26%20new%20york-G30248?id=9253"",""Restaurant Kitchen Equipment Product Type:"":""Charcoal Fryer Filter"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101509"",""Product Category:"":""Commercial Fryers & Accessories"",""Height (IN):"":""2"",""Length (IN):"":""12.375"",""Width (IN):"":""20"",""UPC-12:"":""661799275231, 906291270644"",""Product Type:"":""Charcoal Fryer Filter""}"
