"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Victoria Bay Food Knot Pick 4 IN Bamboo 1000/Box","R803","","","10840064606957","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F4470%2Fprimary%2F1f80ed4f8657246cfd6c6923302e4a6eb5e4cf88-268x268.webp&w=384&q=75","R803","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-food-knot-pick-4-in-bamboo-1000-box-victoria%20bay%20products-R803?id=4470","","","","","","Imperial Dade","","{""manufacturerCode"":""R803"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-food-knot-pick-4-in-bamboo-1000-box-victoria%20bay%20products-R803?id=4470"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Bamboo"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Knot Pick"",""ESP Chemical:"":""False"",""UNSPSC:"":""53131507"",""Product Category:"":""Toothpicks"",""Foodservice Pick & Skewer Product Usage:"":""Food"",""Length (IN):"":""4"",""Product Type:"":""Knot Pick""}"
"","Paddle Pick 4.5 IN Bamboo 100/Pack","BAMP45","","","10727875095654","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F375437%2Fprimary%2Fcc327e40ef1b0e1a9fcd752c7ce95304f927748b-268x268.webp&w=384&q=75","BAMP45","","","https://www.imperialdade.com/catalog/product-detail/paddle-pick-4-5-in-bamboo-100-pack-tablecraft%20products-BAMP45?id=375437","","","","","","Imperial Dade","","{""manufacturerCode"":""BAMP45"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/paddle-pick-4-5-in-bamboo-100-pack-tablecraft%20products-BAMP45?id=375437"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Bamboo"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Paddle Pick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Length (IN):"":""4.5"",""UPC-12:"":""727875095657"",""Product Type:"":""Paddle Pick""}"
"","Skewer 8 IN Bamboo 100/Bag","WSK08","","","10811642007480","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F375000%2Fprimary%2Fe759e634eacfe824d852cf054ad93807e8b43bd2-268x268.webp&w=384&q=75","WSK-08","","","https://www.imperialdade.com/catalog/product-detail/skewer-8-in-bamboo-100-bag-winco-WSK-08?id=375000","","","","","","Imperial Dade","","{""manufacturerCode"":""WSK-08"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/skewer-8-in-bamboo-100-bag-winco-WSK-08?id=375000"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Bamboo"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Skewer"",""ESP Chemical:"":""False"",""Product Category:"":""Skewers"",""Length (IN):"":""8"",""UPC-12:"":""811642007483"",""Product Type:"":""Skewer""}"
"","Victoria Bay Knot Pick 3.5 IN Bamboo 100 Count/Pack 40 Packs/Case 4000 Count/Case","VBBBK350","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F374899%2Fprimary%2F65ede0ac5bbef02cbb9593695bfee3ea03b9f83a-268x268.webp&w=384&q=75","VBBBK350","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-knot-pick-3-5-in-bamboo-100-count-pack-40-packs-case-4000-count-case-victoria%20bay%20products-VBBBK350?id=374899","","","","","","Imperial Dade","","{""manufacturerCode"":""VBBBK350"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-knot-pick-3-5-in-bamboo-100-count-pack-40-packs-case-4000-count-case-victoria%20bay%20products-VBBBK350?id=374899"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Check Locally"",""Material:"":""Bamboo"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Knot Pick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Length (IN):"":""3.5"",""Product Type:"":""Knot Pick""}"
"","Victoria Bay Club Frill Pick 4.5 IN Wood 1000 Count/Pack 10 Packs/Case 10000 Count/Case","VBCLUBF","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F374581%2Fprimary%2F9b15fca6bfa7edede126fe2462895985e092b065-268x268.webp&w=384&q=75","VBCLUBF","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-club-frill-pick-4-5-in-wood-1000-count-pack-10-packs-case-10000-count-case-victoria%20bay%20products-VBCLUBF?id=374581","","","","","","Imperial Dade","","{""manufacturerCode"":""VBCLUBF"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-club-frill-pick-4-5-in-wood-1000-count-pack-10-packs-case-10000-count-case-victoria%20bay%20products-VBCLUBF?id=374581"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Club Frill Pick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Length (IN):"":""4.5"",""Product Type:"":""Club Frill Pick""}"
"","Shishkabob Skewer 10 IN Wood Round Natural 1000/Box","R818","","","00072288110757","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F4791%2Fprimary%2F73d785015e17f0b76b94a82b392c859ecc9b2809-268x268.webp&w=384&q=75","R818","","","https://www.imperialdade.com/catalog/product-detail/shishkabob-skewer-10-in-wood-round-natural-1000-box-acr%20(amercareroyal)-R818?id=4791","","","","","","Imperial Dade","","{""manufacturerCode"":""R818"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/shishkabob-skewer-10-in-wood-round-natural-1000-box-acr%20(amercareroyal)-R818?id=4791"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Color:"":""Natural"",""Foodservice Pick & Skewer Product Type:"":""Skewer"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151600"",""Product Category:"":""Skewers"",""Foodservice Pick & Skewer Product Usage:"":""Shishkabob"",""Length (IN):"":""10"",""Product Shape:"":""Round"",""UPC-12:"":""072288110757"",""Product Type:"":""Skewer""}"
"","Victoria Bay Toothpick Wood Wrapped 10000 Count/Pack 12 Packs/Case 12000 Count/Case","VBWTP","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F375160%2Fprimary%2F8c165825b3a807ac0e1097b6cfe7e637f6ae3d32-268x268.webp&w=384&q=75","VBWTP","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-toothpick-wood-wrapped-10000-count-pack-12-packs-case-12000-count-case-victoria%20bay%20products-VBWTP?id=375160","","","","","","Imperial Dade","","{""manufacturerCode"":""VBWTP"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-toothpick-wood-wrapped-10000-count-pack-12-packs-case-12000-count-case-victoria%20bay%20products-VBWTP?id=375160"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Toothpick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Wrapped:"":""Wrapped"",""Product Type:"":""Toothpick""}"
"","Victoria Bay Sandwich Pick 3.5 IN Wood 750 Count/Pack 12 Packs/Case 9000 Count/Case","VBSPICK","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F374898%2Fprimary%2Fb76348d1aba91e5dccbdcc7dd8bf1756fae0d5d6-268x268.webp&w=384&q=75","VBSPICK","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-sandwich-pick-3-5-in-wood-750-count-pack-12-packs-case-9000-count-case-victoria%20bay%20products-VBSPICK?id=374898","","","","","","Imperial Dade","","{""manufacturerCode"":""VBSPICK"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-sandwich-pick-3-5-in-wood-750-count-pack-12-packs-case-9000-count-case-victoria%20bay%20products-VBSPICK?id=374898"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Pick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Foodservice Pick & Skewer Product Usage:"":""Sandwich"",""Length (IN):"":""3.5"",""Product Type:"":""Pick""}"
"","Victoria Bay Toothpick Wood Mint Wrapped 12000/Case","VBWMTP","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F375159%2Fprimary%2F73898c4c1511676b74045d31eb76d1bd3bf3885b-268x268.webp&w=384&q=75","VBWMTP","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-toothpick-wood-mint-wrapped-12000-case-victoria%20bay%20products-VBWMTP?id=375159","","","","","","Imperial Dade","","{""manufacturerCode"":""VBWMTP"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-toothpick-wood-mint-wrapped-12000-case-victoria%20bay%20products-VBWMTP?id=375159"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Toothpick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Flavor:"":""Mint"",""Wrapped:"":""Wrapped"",""Product Type:"":""Toothpick""}"
"","Victoria Bay Motel Toothpick Wood Unwrapped 800 Count/Pack 24 Packs/Case 2000 Count/Case","VBUWTP","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F377500%2Fprimary%2Fcbe6072ad1790b9c4cfb4d1cfacc83e99fb2eef3-268x268.webp&w=384&q=75","VBUWTP","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-motel-toothpick-wood-unwrapped-800-count-pack-24-packs-case-2000-count-case-victoria%20bay%20products-VBUWTP?id=377500","","","","","","Imperial Dade","","{""manufacturerCode"":""VBUWTP"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-motel-toothpick-wood-unwrapped-800-count-pack-24-packs-case-2000-count-case-victoria%20bay%20products-VBUWTP?id=377500"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Wood"",""Sustainable Product:"":""Yes"",""Foodservice Pick & Skewer Product Type:"":""Toothpick"",""ESP Chemical:"":""False"",""Product Category:"":""Toothpicks"",""Foodservice Pick & Skewer Product Usage:"":""Motel"",""Wrapped:"":""Unwrapped"",""Product Type:"":""Toothpick""}"
