"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Register Ribbon Red Black For ERC 30/34/38 6/Box","243395CRI","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F81091%2Fprimary%2F4ec4309677e2087b861a2595448487e8a0bd4d08-268x268.webp&w=384&q=75","2433-95","","","https://www.imperialdade.com/catalog/product-detail/register-ribbon-red-black-for-erc-30-34-38-6-box-cri...plus-2433-95?id=81091","","","","","","Imperial Dade","","{""manufacturerCode"":""2433-95"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/register-ribbon-red-black-for-erc-30-34-38-6-box-cri...plus-2433-95?id=81091"",""Color:"":""Red, Black"",""Smallwares Product Type:"":""Register Ribbon"",""ESP Chemical:"":""False"",""UNSPSC:"":""48100000"",""Additional Product Features:"":""For ERC 30/34/38"",""Product Category:"":""Restaurant Staff Supplies"",""UPC-12:"":""845307237366"",""Product Type:"":""Register Ribbon""}"
"","Stem Wick Chafing Fuel 6-HR 24/Case","10102","","","10076642101020","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F34983%2Fprimary%2F7805832aa6e7042fdec2eb8dcb2c8880a47055a5-268x268.webp&w=384&q=75","10102","","","https://www.imperialdade.com/catalog/product-detail/stem-wick-chafing-fuel-6-hr-24-case-sterno-10102?id=34983","","","","","","Imperial Dade","","{""manufacturerCode"":""10102"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/stem-wick-chafing-fuel-6-hr-24-case-sterno-10102?id=34983"",""Smallwares Product Type:"":""Chafing Fuel"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151810"",""Product Category:"":""Chafing Dishes & Accessories"",""Burn Time (HR):"":""6"",""Product Type:"":""Chafing Fuel""}"
"","Oven Mitt 17 IN Terry Cloth Steam Barrier 1/Pair","18169","","","55000007612695","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53730%2Fprimary%2F0c9b629d6d238f31460b9a001ace6b3396073d5d-268x268.webp&w=384&q=75","TTSBOM7BE","","","https://www.imperialdade.com/catalog/product-detail/oven-mitt-17-in-terry-cloth-steam-barrier-1-pair-ritz-TTSBOM7BE?id=53730","","","","","","Imperial Dade","","{""manufacturerCode"":""TTSBOM7BE"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/oven-mitt-17-in-terry-cloth-steam-barrier-1-pair-ritz-TTSBOM7BE?id=53730"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Terry Cloth"",""Smallwares Product Type:"":""Oven Mitt"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151600"",""Additional Product Features:"":""Steam Barrier"",""Product Category:"":""Kitchen Tools & Utensils"",""Length (IN):"":""17"",""UPC-12:"":""071752121077"",""Product Type:"":""Oven Mitt""}"
"","Register Tape Roll 3.12IN X230FT Paper White Thermal 50/Case","318628","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcms%2Fmedia-lib%2Ficons%2Fdefault-thumbnail.png&w=384&q=75","312230T-PF","","","https://www.imperialdade.com/catalog/product-detail/register-tape-roll-3-12in-x230ft-paper-white-thermal-50-case-heartland%20label%20printers-312230T-PF?id=71782","","","","","","Imperial Dade","","{""manufacturerCode"":""312230T-PF"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/register-tape-roll-3-12in-x230ft-paper-white-thermal-50-case-heartland%20label%20printers-312230T-PF?id=71782"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""BPA Free:"":""True"",""Recyclable:"":""No"",""Material:"":""Paper"",""Sustainable Product:"":""Yes"",""Color:"":""White"",""Smallwares Product Type:"":""Register Tape Roll"",""ESP Chemical:"":""False"",""UNSPSC:"":""48100000"",""Product Category:"":""Restaurant Staff Supplies"",""Roll Length (FT):"":""230"",""Roll Width (IN):"":""3.12"",""Smallwares Product Features:"":""Thermal"",""Product Type:"":""Register Tape Roll""}"
"","Methanol Chafing Fuel 8 OZ 2-HR 72/Case","F800","","","85763615005013","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F6296%2Fprimary%2Fb6a42c17506762badee43d1e1c5ea1a20095c9c6-268x268.webp&w=384&q=75","F800/F732","","","https://www.imperialdade.com/catalog/product-detail/methanol-chafing-fuel-8-oz-2-hr-72-case-fancyheat-F800%2FF732?id=6296","","","","","","Imperial Dade","","{""manufacturerCode"":""F800/F732"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/methanol-chafing-fuel-8-oz-2-hr-72-case-fancyheat-F800%2FF732?id=6296"",""Package Volume/Weight:"":""8 OZ"",""Smallwares Product Type:"":""Chafing Fuel"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151810"",""Product Category:"":""Chafing Dishes & Accessories"",""Burn Time (HR):"":""2"",""Chafing Dishes & Accessories Fuel Type:"":""Methanol"",""UPC-12:"":""685100178004"",""Package Weight (OZ):"":""8.0"",""Product Type:"":""Chafing Fuel""}"
"","Oven Mitt 17 IN Cotton 1/Each","OMF17","","","10811642015164","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F26873%2Fprimary%2F6da2959368162f8f7fee151f55e5b6b0de550732-268x268.webp&w=384&q=75","OMF-17","","","https://www.imperialdade.com/catalog/product-detail/oven-mitt-17-in-cotton-1-each-winco-OMF-17?id=26873","","","","","","Imperial Dade","","{""manufacturerCode"":""OMF-17"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/oven-mitt-17-in-cotton-1-each-winco-OMF-17?id=26873"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Cotton"",""Sustainable Product:"":""Yes"",""Smallwares Product Type:"":""Oven Mitt"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151600"",""Product Category:"":""Kitchen Tools & Utensils"",""Length (IN):"":""17"",""UPC-12:"":""842169117683"",""Product Type:"":""Oven Mitt""}"
"","Coffee Machine Funnel Assembly Plastic Black 1/Each","110573","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F56597%2Fprimary%2F0024224e805ba9bf109571935cbe653a6c62218e-268x268.webp&w=384&q=75","1102-00350-BK","","","https://www.imperialdade.com/catalog/product-detail/coffee-machine-funnel-assembly-plastic-black-1-each-fetco-1102-00350-BK?id=56597","","","","","","Imperial Dade","","{""manufacturerCode"":""1102-00350-BK"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/coffee-machine-funnel-assembly-plastic-black-1-each-fetco-1102-00350-BK?id=56597"",""Material:"":""N/A, Plastic"",""Color:"":""Black"",""Smallwares Product Type:"":""Funnel Assembly"",""ESP Chemical:"":""False"",""UNSPSC:"":""48101700"",""Product Category:"":""Beverage Service Supplies"",""Smallwares Product Usage:"":""Coffee Machine"",""UPC-12:"":""680193717000"",""Product Type:"":""Funnel Assembly""}"
"","Register Ribbon Black Red For Epson ERC 30/34/38 6/Pack","4017521","","","00842312114132","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F13513%2Fprimary%2F1f4f264b4d88f67b1615cbd3f7fbb16ba7da0931-268x268.webp&w=384&q=75","9416-1436","","","https://www.imperialdade.com/catalog/product-detail/register-ribbon-black-red-for-epson-erc-30-34-38-6-pack-iconex-9416-1436?id=13513","","","","","","Imperial Dade","","{""manufacturerCode"":""9416-1436"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/register-ribbon-black-red-for-epson-erc-30-34-38-6-pack-iconex-9416-1436?id=13513"",""Color:"":""Black, Red"",""Smallwares Product Type:"":""Register Ribbon"",""ESP Chemical:"":""False"",""UNSPSC:"":""48100000"",""Additional Product Features:"":""For Epson ERC 30/34/38"",""Product Category:"":""Restaurant Staff Supplies"",""UPC-12:"":""011461123559, 011461572524, 896970002126"",""Product Type:"":""Register Ribbon""}"
"","Coffee Filter 14X5 IN Paper 2/Case","511452T","","","10071287870003","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F106217%2Fprimary%2Ff6bcf9942cb5ddcdb5adc6c9e4b194416c8d9e7d-268x268.webp&w=384&q=75","51-1452T","","","https://www.imperialdade.com/catalog/product-detail/coffee-filter-14x5-in-paper-2-case-rockline-51-1452T?id=106217","","","","","","Imperial Dade","","{""manufacturerCode"":""51-1452T"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/coffee-filter-14x5-in-paper-2-case-rockline-51-1452T?id=106217"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""No PFAS Added:"":""True"",""Recyclable:"":""No"",""Material:"":""Paper"",""Smallwares Product Type:"":""Filter"",""ESP Chemical:"":""False"",""UNSPSC:"":""23181801"",""Product Category:"":""Coffee Filters"",""Diameter (IN):"":""14"",""Height (IN):"":""5"",""Smallwares Product Usage:"":""Coffee"",""Product Type:"":""Filter""}"
"","San Jamar Oven Mitt 15 IN Puppet Style Flame Resistant 1/Each","83457","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F53574%2Fprimary%2Fdad31fbf076fdd7317ca9e441e44df66eeb1cd21-268x268.webp&w=384&q=75","810PM15","","","https://www.imperialdade.com/catalog/product-detail/san-jamar-oven-mitt-15-in-puppet-style-flame-resistant-1-each-cfs%20brands-810PM15?id=53574","","","","","","Imperial Dade","","{""manufacturerCode"":""810PM15"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/san-jamar-oven-mitt-15-in-puppet-style-flame-resistant-1-each-cfs%20brands-810PM15?id=53574"",""No PFAS Added:"":""True"",""Smallwares Product Type:"":""Oven Mitt"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151600"",""Additional Product Features:"":""Puppet Style, Flame Resistant"",""Product Category:"":""Kitchen Tools & Utensils"",""Length (IN):"":""15"",""UPC-12:"":""724215066858"",""Product Type:"":""Oven Mitt""}"
