"description","name","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image","manufacturer_sku","ordering_unit","is_broken_case","content_url","brand","level 1","level 2","level 3","manufacturer_name","distributor_name","unitPrice","extra_data"
"","Victoria Bay Giant Straw 10.25 IN PP Red Paper Wrapped 300 Count/Pack 4 Packs/Case 1200 Count/Case","DSTGW4R","","","10840064600122","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F19455%2Fprimary%2F82d44e1f1149854d229a57f5c8483b203d1ca8f1-268x268.webp&w=384&q=75","DSTGW4R","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-giant-straw-10-25-in-pp-red-paper-wrapped-300-count-pack-4-packs-case-1200-count-case-victoria%20bay%20products-DSTGW4R?id=19455","","","","","","Imperial Dade","","{""manufacturerCode"":""DSTGW4R"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-giant-straw-10-25-in-pp-red-paper-wrapped-300-count-pack-4-packs-case-1200-count-case-victoria%20bay%20products-DSTGW4R?id=19455"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Red"",""Straw & Drink Stirrer Product Type:"":""Giant Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""10.25"",""Wrapped:"":""Paper Wrapped"",""UPC-12:"":""840064600125"",""Product Type:"":""Giant Straw""}"
"","Jumbo Straw 7.75 IN Clear Wrapped 500/Box","STRAWPP734BOX","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F375359%2Fprimary%2F7d1d245c5b25202501732d3468fc204d54413a7e-268x268.webp&w=384&q=75","STRAW PP- 7-3/4 BOX","","","https://www.imperialdade.com/catalog/product-detail/jumbo-straw-7-75-in-clear-wrapped-500-box-royal%20interpack-STRAW%20PP-%207-3%2F4%20BOX?id=375359","","","","","","Imperial Dade","","{""manufacturerCode"":""STRAW PP- 7-3/4 BOX"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/jumbo-straw-7-75-in-clear-wrapped-500-box-royal%20interpack-STRAW%20PP-%207-3%2F4%20BOX?id=375359"",""Color:"":""Clear"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151500"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Wrapped"",""UPC-12:"":""657467359716"",""Product Type:"":""Jumbo Straw""}"
"","Phade® Giant Straw 0.284X8.5 IN PHA Teal Paper Wrapped 300 Count/Pack 4 Packs/Case 1200 Count/Case","511169","","","10024698111692","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F101495%2Fprimary%2F4b54595cf2ce7756eb130a37551dabb8e771badb-268x268.webp&w=384&q=75","511169","","","https://www.imperialdade.com/catalog/product-detail/phade-giant-straw-0-284x8-5-in-pha-teal-paper-wrapped-300-count-pack-4-packs-case-1200-count-case-wincup-511169?id=101495","","","","","","Imperial Dade","","{""manufacturerCode"":""511169"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/phade-giant-straw-0-284x8-5-in-pha-teal-paper-wrapped-300-count-pack-4-packs-case-1200-count-case-wincup-511169?id=101495"",""Compostable:"":""Commercially Compostable"",""Rapidly Renewable Resource:"":""Rapidly Renewable Resource"",""Recyclable:"":""No"",""Material:"":""Polyhydroxyalkanoates (PHA)"",""Sustainable Product:"":""Yes"",""Color:"":""Teal"",""Straw & Drink Stirrer Product Type:"":""Giant Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Diameter (IN):"":""0.284"",""Length (IN):"":""8.5"",""Wrapped:"":""Paper Wrapped"",""Product Type:"":""Giant Straw""}"
"","Victoria Bay Cocktail Stirrer 5 IN Plastic Black Unwrapped Hollow 1000 Count/Pack 10 Packs/Case 10000 Count/Case","101BK","","","10895415012710","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F3998%2Fprimary%2F47f4135066fe33624b28673fd0f56d3ccf79927e-268x268.webp&w=384&q=75","101BK","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-cocktail-stirrer-5-in-plastic-black-unwrapped-hollow-1000-count-pack-10-packs-case-10000-count-case-victoria%20bay%20products-101BK?id=3998","","","","","","Imperial Dade","","{""manufacturerCode"":""101BK"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-cocktail-stirrer-5-in-plastic-black-unwrapped-hollow-1000-count-pack-10-packs-case-10000-count-case-victoria%20bay%20products-101BK?id=3998"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Polypropylene (PP)"",""Color:"":""Black"",""Straw & Drink Stirrer Product Type:"":""Cocktail Stirrer"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""5"",""Straw & Drink Stirrer Product Features:"":""Hollow"",""Wrapped:"":""Unwrapped"",""UPC-12:"":""895415012713"",""Product Type:"":""Cocktail Stirrer""}"
"","Victoria Bay Jumbo Straw 7.75 IN PP Translucent Wrapped 500 Count/Pack 4 Packs/Case 2000 Count/Case","8JST4","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F4317%2Fprimary%2F9d18bb07a9abc4e538031df5f91a0f8e2ccf5c20-268x268.webp&w=384&q=75","8JST4","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-translucent-wrapped-500-count-pack-4-packs-case-2000-count-case-victoria%20bay%20products-8JST4?id=4317","","","","","","Imperial Dade","","{""manufacturerCode"":""8JST4"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-translucent-wrapped-500-count-pack-4-packs-case-2000-count-case-victoria%20bay%20products-8JST4?id=4317"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Translucent"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Wrapped"",""Product Type:"":""Jumbo Straw""}"
"","Victoria Bay Jumbo Straw 7.75 IN PP Black Wrapped 500 Count/Pack 4 Packs/Case 2000 Count/Case","DSJW4","","","10840064601556","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F23036%2Fprimary%2F93710fd2f2bc638998526f5fc6a326b4de116299-268x268.webp&w=384&q=75","DSJW4","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-black-wrapped-500-count-pack-4-packs-case-2000-count-case-victoria%20bay%20products-DSJW4?id=23036","","","","","","Imperial Dade","","{""manufacturerCode"":""DSJW4"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-black-wrapped-500-count-pack-4-packs-case-2000-count-case-victoria%20bay%20products-DSJW4?id=23036"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Black"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Diameter (MM):"":""5.6"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Wrapped"",""UPC-12:"":""840064601559"",""Product Type:"":""Jumbo Straw""}"
"","Victoria Bay Jumbo Straw 7.75 IN Plastic Black Wrapped 5000/Case","697","","","20895415006976","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F71151%2Fprimary%2F45b3a1477ec595277598c912470bb5106d3d7433-268x268.webp&w=384&q=75","697","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-plastic-black-wrapped-5000-case-victoria%20bay%20products-697?id=71151","","","","","","Imperial Dade","","{""manufacturerCode"":""697"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-plastic-black-wrapped-5000-case-victoria%20bay%20products-697?id=71151"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Color:"":""Black"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Wrapped"",""UPC-12:"":""895415006972"",""Product Type:"":""Jumbo Straw""}"
"","Victoria Bay Jumbo Straw 7.75 IN Plastic Translucent Wrapped 12000/Case","694","","","20895415006945","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F71150%2Fprimary%2F9a5b6a4032177f1517bcdaa94cf088d68252660c-268x268.webp&w=384&q=75","694","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-plastic-translucent-wrapped-12000-case-victoria%20bay%20products-694?id=71150","","","","","","Imperial Dade","","{""manufacturerCode"":""694"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-plastic-translucent-wrapped-12000-case-victoria%20bay%20products-694?id=71150"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Color:"":""Translucent"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Wrapped"",""UPC-12:"":""895415006941"",""Product Type:"":""Jumbo Straw""}"
"","Victoria Bay Jumbo Straw 7.75 IN PP Black Unwrapped 400 Count/Pack 25 Packs/Case 10000 Count/Case","460BKSTRAW","","","","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F22206%2Fprimary%2F3b24b0c83a2a6221c893578e78b46710f01ba067-268x268.webp&w=384&q=75","460BKSTRAW","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-black-unwrapped-400-count-pack-25-packs-case-10000-count-case-victoria%20bay%20products-460BKSTRAW?id=22206","","","","","","Imperial Dade","","{""manufacturerCode"":""460BKSTRAW"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-jumbo-straw-7-75-in-pp-black-unwrapped-400-count-pack-25-packs-case-10000-count-case-victoria%20bay%20products-460BKSTRAW?id=22206"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""Recyclable In Most Areas"",""Material:"":""Polypropylene (PP)"",""Color:"":""Black"",""Straw & Drink Stirrer Product Type:"":""Jumbo Straw"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151507"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""7.75"",""Wrapped:"":""Unwrapped"",""Product Type:"":""Jumbo Straw""}"
"","Victoria Bay Stirrer 8 IN Plastic Red Wrapped Hollow 3000/Case","VBS8WR","","","10840064617878","","","","https://www.imperialdade.com/_next/image?url=https%3A%2F%2Fs3.amazonaws.com%2Fimperialdade.com%2Fapps%2Fcatalog%2Fdigital-assets%2F346953%2Fprimary%2Fc7aebcb8a37ee3b3729e8c19843e1e17b38ffab9-268x268.webp&w=384&q=75","VBS8WR","","","https://www.imperialdade.com/catalog/product-detail/victoria-bay-stirrer-8-in-plastic-red-wrapped-hollow-3000-case-victoria%20bay%20products-VBS8WR?id=346953","","","","","","Imperial Dade","","{""manufacturerCode"":""VBS8WR"",""productUrl"":""https://www.imperialdade.com/catalog/product-detail/victoria-bay-stirrer-8-in-plastic-red-wrapped-hollow-3000-case-victoria%20bay%20products-VBS8WR?id=346953"",""Compostable:"":""No"",""Rapidly Renewable Resource:"":""No"",""Recyclable:"":""No"",""Material:"":""Plastic"",""Color:"":""Red"",""Straw & Drink Stirrer Product Type:"":""Stirrer"",""ESP Chemical:"":""False"",""UNSPSC:"":""52151500"",""Product Category:"":""Straws & Drink Stirrers"",""Length (IN):"":""8"",""Straw & Drink Stirrer Product Features:"":""Hollow"",""Wrapped:"":""Wrapped"",""Product Type:"":""Stirrer""}"
