"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushroom and Truffle Arancini","24-10006A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7355/thumb600x600/236041945/wild-mushroom-arancini1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/wild-mushroom-arancini/","A delicious blend of wild mushrooms, truffle oil, fresh thyme, onions, garlic, chives, parmesan cheese, cream and seasonings hand rolled into balls and breaded with seasoned Panko breading.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg, Milk"",""case count"":"""",""categories"":""Breaded""}"
"Vegan Quinoa Falafel","22-10307A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9894/thumb600x600/2078533209/Quinoa-Falafel.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/quinoa-falafel/","A delicious combination of quinoa, garbanzo beans, green peas and spices.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Short Rib Croquettes","27-75105",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9889/thumb600x600/251890593/Short-Rib-Croquettes.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/short-rib-croquettes/","A tasty mixture of beef short ribs, mashed potatoes, herbs and seasonings hand rolled in panko bread crumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Sesame Breaded Chicken Skewers","02-760004",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5929/thumb600x600/1774808071/sesamechicken-skewers3.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/sesame-breaded-chicken-on-skewer/","Seasoned tenders of chicken lightly battered and hand rolled into mixture of sesame seeds and panko bread crumbs on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Sesame Breaded Chicken","01-10320",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5928/thumb600x600/4035586057/Sesame_Breaded_Chicken1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/sesame-breaded-chicken/","Seasoned tenders of chicken lightly battered and hand rolled into mixture of sesame seeds and panko bread crumbs",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Potato and Cheddar Croquettes","04-10005",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9888/thumb600x600/1857970065/Potato-and-Cheddar-Croquettes.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/potato-and-cheddar-croquettes/","Mashed potatoes with cheddar cheese and seasonings hand rolled in panko bread crumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Egg, Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Pecan Crusted Chicken Skewers","02-760006",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8161/thumb600x600/641578345/pecancrustedchickenskewer2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pecan-crusted-chicken-skewers-8161/","Seasoned tenders of chicken breast lightly battered and hand rolled into a mixture of Pecans and Panko bread crumbs on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg, Nut"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Parmesan Arancini Balls","22-10103",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5934/thumb600x600/2394772430/Parmesan_Arrancini_Balls1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/parmesan-arancini-balls/","A Classic Italian risotto with mozzarella cheese and parmesan cheese hand rolled into balls and breaded with seasoned panko breading",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Paella Arancini","Breaded",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/0/7068/thumb600x600/1565273478/gluten-free-paella-croquettes.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/gluten-free-paella-croquette/","Shrimp and chorizo slowly cooked into Arborio rice with bell peppers, onions, thyme, parsley and saffron. Hand breaded in Panko bread crumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Shell Fish, Egg, Milk, Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Orange Wasabi Crusted Shrimp","27-75107",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5926/thumb600x600/2108063800/16-20_Orange_Wasabi_Crusted_Shrimp1.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/orange-wasabi-crusted-shrimp/","Butterflied 16/20 tail on shrimp, marinated with orange juice, ginger and wasabi, pulled through a seasoned beer tempura batter, then breaded with panko-wasabi mix laced with orange zest.",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Olive Manchego Bites","04-10004",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9887/thumb600x600/2327398704/Olive-Manchego-Bites.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/olive-manchego-bites/","A tasty combination of chopped Kalamata olives mixed with Manchego cheese, cream cheese, parmesan cheese, bell peppers, herbs and seasonings. Hand rolled in panko bread crumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Egg, Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Macaroni & Cheese Balls","13-10400",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5936/thumb600x600/267936490/Macaroni_And_Cheese_Balls1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/macaroni-cheese-balls/","A Classic Macaroni and Cheese Balls with aged cheddar cheese sauce, parmesan cheese and spices hand breaded in panko bread crumbs",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Lobster Mac and Cheese Balls","01-10312",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9890/thumb600x600/4274324703/Lobster-Mac-and-Cheese-Balls.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-mac-and-cheese-balls/","A delicious combination of diced lobster, Ditalini pasta, cheddar cheese, parmesan cheese, American swiss cheese, heavy cream, lemon juice and seasoning hand rolled in panko bread crumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Egg, Soy, Shellfish"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Lobster Corn Dogs","01-10300",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6062/thumb600x600/3155517786/Lobster_Corn_Dogs1.png",,"1.3oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-corn-dogs/","Delicious sweet lobster meat combined with tarragon, heavy cream, seasonings, hand formed on a wooden skewer and pulled through a seasoned corn meal batter.",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Egg, Milk, Soy"",""case count"":"" 100"",""categories"":""Breaded""}"
"Island Crusted Chicken Skewers","01-10310A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8163/thumb600x600/3447647753/islandcrustedchickenskewer2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/island-crusted-chicken-skewer/","Tender strips of chicken breast marinated in lemon grass, ginger and coconut milk, breaded with a mix of panko, Macadamia nuts, banana chips and coconut threads on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg, Nut"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Breaded""}"
"Island Crusted Chicken","01-10310",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5927/thumb600x600/3595033275/Island_Crusted_Chicken2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/island-crusted-chicken/","Thick chicken breast strips marinated in lemon grass, ginger and coconut milk, breaded with a mix of panko, Macadamia nuts, banana chips and coconut threads",,"{""allergenInfo"":""Allergen info: Wheat, Nuts, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Herb Breaded Artichoke Heart with Goat cheese","01-10000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5933/thumb600x600/3694289816/Herb_Breaded_Artichoke_Heart_With_Goat_Cheese1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/herb-breaded-artichoke-heart-with-goat-cheese/","Delicious artichoke hearts filled with goat cheese and breaded in mixture of Italian bread crumbs and parmesan cheese",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Coconut Shrimp Skewers","27-10104",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5925/thumb600x600/4186935528/torpedococonutshrimpskewer2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/coconut-shrimp-skewers/","16/20 tail on shrimp, marinated in ginger and coconut milk, pulled through a seasoned beer tempura batter, then breaded with 30% panko and 70% sweet coconut threads on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Shell Fish, Nut, Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Coconut Shrimp","27-75100",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5924/thumb600x600/2414470505/Coconut_Shrimp2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/coconut-shrimp/","Butterflied 16/20 tail on shrimp, marinated in ginger and coconut milk, pulled through a seasoned beer tempura batter, then breaded with 30% panko and 70% sweet coconut threads.",,"{""allergenInfo"":""Allergen info: Shell Fish, Nut, Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
"Coconut Breaded Scallops","26-10102",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9893/thumb600x600/296264986/Coconut-Breaded-Scallops.png",,"20-30",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/coconut-breaded-scallops/","Fresh large scallops seasoned and breaded in sweet coconut flakes and panko breadcrumbs mixture.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Soy, Shellfish, Tree Nut"",""case count"":"" 100"",""categories"":""Breaded""}"
"Coconut Breaded Chicken Skewers","02-760005",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5931/thumb600x600/2153393961/coconutchickenskewer3.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/coconut-breaded-chicken-skewers/","Seasoned tenders of chicken lightly battered and hand rolled into mixture of sweet coconut and panko bread crumbs on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Wheat, Nuts, Soy, Egg"",""case count"":"" 100"",""categories"":""Breaded""}"
