"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Walnut Chicken and Peach","32-10206",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6602/thumb600x600/344510177/Walnut-Chicken-and-Peach.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/walnut-chicken-and-peach/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Viennese Beef Salad","32-10069",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6604/thumb600x600/2659347419/Viennese-Beef-Salad.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/viennese-beef-salad/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Vegetable Summer Roll","35-11005",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6606/thumb600x600/1513002343/Vegetable-Summer-Roll.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-summer-roll/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Turkey Breast and Prosciutto with Sage Pinwheel","TBPSAGELPINWHEEL",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/8/6872/thumb600x600/3654370422/Turkey_And_Prosciutto_Pinwheel_With_Sage_On_Walnut_Raisin_Bread1.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/turkey-breast-and-prosciutto-with-sage-pinwheel/","Made Fresh Daily. Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Tomato Bruschetta","32-10012",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6608/thumb600x600/2016316421/Tomato-Bruschetta.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tomato-bruschetta/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Thai Chicken Summer Roll","35-11011",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6610/thumb600x600/3191827755/Thai-Chicken-Summer-Roll.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-chicken-summer-roll/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Tall Shrimp with Pesto Cream","32-10054",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6612/thumb600x600/3932806879/Tall-Shrimp-with-Pesto-Cream.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tall-shrimp-with-pesto-cream/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Sun Dried Tomato Bruschetta","SDTB",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6614/thumb600x600/1906478187/Sun-Dried-Tomato-Bruschetta.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/sun-dried-tomato-bruschetta/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Southwest Chicken","32-10208",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6616/thumb600x600/2783291168/Southwest-Chicken.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/southwest-chicken/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
"Smoked Trout with Dill Cream","32-10062",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/6/6618/thumb600x600/3305815238/Smoked-Trout-with-Dill-Cream.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/smoked-trout-with-dill-cream/","Customize to your specifications.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Canapes""}"
