"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Stuffed Chicken Breast with Prosciutto, Goat Cheese and Spinach","PROSCIUTTO",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7729/thumb600x600/3316603197/Stuffed-chicken-breast-prosciutto-goat-cheese-and-spinach1.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/stuffed-chicken-breast-with-prosciutto-goat-cheese-and-spinach/","Chicken breast stuffed with prosciutto, goat cheese, cream cheese, spinach, garlic, salt and pepper. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Stuffed Chicken Breast Mediterranean","MEDITERRANEAN",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7726/thumb600x600/1338819645/Stuffed-Chicken-breast-Mediterranean1.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/stuffed-chicken-breast-mediterranean/","Chicken breast stuffed with artichokes, spinach, sundried tomatoes, feta cheese, kalamata olives, onions, garlic, salt and pepper. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Stuffed chicken breast Italian","ITALIAN",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7721/thumb600x600/4279090541/Stuffed-chicken-breast-Italian-.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/stuffed-chicken-breast-italian/","Chicken breast stuffed with mushrooms, tomatoes, black olives, mozzarella cheese, basil, garlic, onions, salt and pepper. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Stuffed Chicken Breast Florentine","FLORENTINE",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7718/thumb600x600/3208751688/Stuffed-Chicken-Breast-Florentine1.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/stuffed-chicken-breast-florentine/","Chicken breast stuffed with fresh spinach, feta cheese, nutmeg, onions, garlic, salt and pepper. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Stuffed Chicken Breast","STUFFCHICKENBREAST",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/4/6496/thumb600x600/2851029277/8oz_Chicken_Breast_Stuffed-food.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/stuffed-chicken-breast/","We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Entrée, Stuffed Chicken Breast""}"
"Chicken Wild Mushroom","BREADEDCHICKENWM",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8917/thumb600x600/1929000388/culinary-specialities-2021-03-05-72.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-wild-mushroom/","Moist chicken breast filled with a delicouse mixture of Shiitake, Portobello and Bottom mushrooms, mozzarella and fresh thyme, rolled and coated in crispy breadcrumbs. Pre-browned and ready to heat. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk, Soy"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Chicken Supreme","BREADEDCHICKENSUP",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8916/thumb600x600/1900439825/culinary-specialities-2021-03-05-67.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-supreme/","Moist chicken breast filled with smoked ham, aged swiss cheese and mushrooms, rolled and coated in crispy breadcrumbs. Pre-browned and ready to heat. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk, Soy"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Chicken Kiev","BREADEDCHICKENKIEV",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8915/thumb600x600/3114722913/culinary-specialities-2021-03-05-62.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-kiev/","A delicious combination of ground chicken breast filled with butter and fresh chives, rolled and coated in crispy breadcrumbs. Pre-browned and ready to heat. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk, Soy"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Chicken Florentine","BREADEDCHICKENF",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8913/thumb600x600/3400675855/culinary-specialities-2021-03-05-56.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-florentine/","A delicious combination of creamed spinach, aged swiss cheese and ground moist chicken breast, rolled and coated in crispy breadcrumbs. Pre-browned and ready to heat. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk, Soy"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
"Chicken Cordon Bleu","BREADEDCHICKENCB",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8914/thumb600x600/1173538735/culinary-specialities-2021-03-05-50.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-cordon-bleu/","A tasty combination of smoked ham, aged swiss cheese and ground moist chicken breast, rolled and coated in crispy breadcrumbs. Pre-browned and ready to heat. We offer different sizes and can be customized to your choice of stuffing.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk, Soy"",""case count"":"""",""categories"":""Stuffed Chicken Breast""}"
