"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Vegetable Empanadas","07-10014",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6025/thumb600x600/3682425159/Vegetable_Empanadas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-empanadas/","Mixture of zucchini, yellow squash, eggplant, mushrooms, bell peppers, corn and chipotle peppers wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":"" Empanada""}"
"Vegan Apple Cinnamon Empanada","APPLE_CINNAMON_EMPANADA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7845/thumb600x600/4173227673/vegan-apple-cinnamon-empanada.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegan-apple-cinnamon-empanada/","A delicious combination of apples, All spice, cinnamon and brown sugar wrapped in empanada dough.",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":""New for 2024, Empanada""}"
"Spinach and Swiss Cheese Empanada","07-10015",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7568/thumb600x600/3653801255/Spinach-Cheese-Empanadas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/spinach-and-swiss-cheese-empanada/","Mixture of fresh spinach, swiss cheese, onions, bell peppers, garlic and seasonings wrapped in empanada dough.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 100"",""categories"":"" Empanada""}"
"Smoked Brisket Picadillo Empanada","SMOKED_BRISKET",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7851/thumb600x600/660990172/smoked-brisket-empanadas.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/smoked-brisket-empanada/","A delicious combination of slowly smoked beef brisket, bell peppers, onions, jalapenos, cilantro, garlic, lime juice and seasonings wrapped in empanada dough.",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":""New for 2024, Empanada""}"
"Shrimp Empanada","07-10007",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7319/thumb600x600/997872493/shrimp-empanada1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-empanada/","A blend of shrimp, Monterey Jack cheese, bell peppers, onions, cilantro, garlic and spices wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"""",""categories"":"" Empanada""}"
"Pork Empanadas","07-10009",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6022/thumb600x600/3470942560/Pork_Empanadas2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pork-empanadas/","Mixture of slow roasted pork, monterey Jack, bell peppers, jalapenos, tomatoes and cilantro wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":"" Empanada""}"
"Pineapple Raisin Coconut Empanada","07-11000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7324/thumb600x600/3766262044/pineapple-raisin-coconut-empanada1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pineapple-raisin-coconut-empanada/","A delicious combination of pineapple, raisins, shredded coconut, cream cheese cinnamon and butter wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"""",""categories"":""New for 2024, Empanada""}"
"Passila Chile Con Crema Empanada","PASSILA_EMPANADA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7712/thumb600x600/614694957/Pasilla-Chile-con-crema-empanada1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/passila-chile-con-crema-empanada/","A delicious combination of Passila chile, roasted corn, mozzarella cheese, jack cheese, onions, sour cream and spices wrapped in empanada dough.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 100"",""categories"":""New for 2024, Empanada""}"
"Lobster Empanada","07-10012",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7316/thumb600x600/3297321305/lobster-empanada1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-empanada/","A blend of diced lobster, bell peppers, onions, cream cheese, cilantro, garlic, jalapenos, lime juice and spices wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Shell Fish"",""case count"":"""",""categories"":"" Empanada""}"
"Lamb and Feta Empanada","07-10003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7313/thumb600x600/1206376614/lamb-and-feta-empanada1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lamb-and-feta-empanada/","Mixture of shredded lamb, feta cheese, onions, bell peppers, cilantro, garlic and spices wrapped in empanada dough",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"""",""categories"":"" Empanada""}"
