"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Vegetable Dolma","VEGETABLE_DOLMA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7919/thumb600x600/3352493975/vegetable-dolma.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-dolma/","A delicious combination of rice, zuchinni, yellow squash, bell peppers, mushrooms, garlic, thyme, oregano and seasonings wrapped in Grape leaves.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":""New for 2024, Indian, Gluten Free""}"
"Vegetable Brochettes","02-10700",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5972/thumb600x600/3914604015/vegetablebrochette4.png",,"1.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-brochette/","Fresh zucchini, squash, cherry tomato, red bell pepper and red onion on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 50"",""categories"":""Gluten Free, Brochette""}"
"Vegan Eggplant Rollatini 3oz","ROLLATINI",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7543/thumb600x600/73632530/3oz-Eggplant-rollatini1.png",,"3oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/eggplant-rollatini-3oz/","Marinated roasted eggplant slices filled with delicious combination of zucchini, yellow squash, onions, tomatoes, garlic, herbs and seasonings.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 50"",""categories"":""New for 2024, Gluten Free, Vegan/Vegetarian""}"
"Thai Chicken Satay","02-10310",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5965/thumb600x600/489032877/thaichickensate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-chicken-skewer/","Marineted chicken breast in Thai seasonings on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":""Gluten Free, Satay""}"
"Thai Beef Satay","02-10600",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5962/thumb600x600/207734289/thaibeefsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-beef-skewers/","Marinated beef sirloin in Thai seasonings on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":""Gluten Free, Satay""}"
"Tandoori Chicken Satay","02-10300A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5966/thumb600x600/759550063/tandoorichickensate2.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tandoori-chicken-skewer/","Marinated chicken breast in Tandoori and yogurt on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":""Indian, Gluten Free, Satay""}"
"Sweet Corn with Roasted Green Chile and Cheddar Cheese","107-30000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6049/thumb600x600/1310117052/Sweet_Corn_With_Roasted_Green_Chile_and_Cheddar_Cheese1.png",,"2.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/sweet-corn-with-roasted-green-chile-and-cheddar-cheese/","Traditional corn masa stuffed with green chiles and cheddar cheese. Hand folded in a corn husk",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 60"",""categories"":""Gluten Free, Tamale""}"
"Shrimp Satay","02-10603",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5967/thumb600x600/1703998535/shrimpsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-sate/","Jumbo 16-20 size shrimp on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Shell Fish, Soy"",""case count"":"" 100"",""categories"":""Gluten Free, Satay""}"
"Shrimp & Scallop Brochettes","02-10602",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5971/thumb600x600/3303190059/shrimpandscallopbrochette2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-scallop-brochette/","Duet of shrimp and Baby Bay scallops on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Shell Fish, Soy"",""case count"":"" 100"",""categories"":""Gluten Free, Brochette""}"
"Roasted Green Chile with Smoked Gouda Cheese","101-10000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6046/thumb600x600/864927559/Roasted_Green_Chile_With_Smoked_Gouda_Cheese1.png",,"2.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/roasted-green-chile-with-smoked-gouda-cheese/","Traditional corn masa stuffed with smoked gouda and green chiles. Hand folded in a corn husk",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 60"",""categories"":""Gluten Free, Tamale""}"
"Portobello Mushroom Patties","12-10400",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7310/thumb600x600/4083535605/portobello-mushroom-slider1.jpg",,"50/2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/portobello-mushroom-patties/","A delicious combination of portobello mushrooms, potatoes, onions, garlic, pasley, and seasonings hand formed into a patty.",,"{""allergenInfo"":""Allergen info: Egg, Soy"",""case count"":"""",""categories"":""Gluten Free, Slider Patties""}"
"Pork Carnitas with Green Chile and Mexican Oregano","104-21000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6045/thumb600x600/3622462637/Pork_Carnitas_With_Green_Chile_and_Mexican_Oregano1.png",,"2.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pork-carnitas-with-green-chile-and-mexican-oregano/","Traditional corn masa stuffed with marinated shredded pork, onions, green chiles, jalapenos, diced tomatoes, oregano, cilantro and spices. Hand folded in a corn husk",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 60"",""categories"":""Gluten Free, Tamale""}"
"Mushrooms stuffed with Chorizo","14-10202",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5954/thumb600x600/3595513951/Mushrooms-stuffed-with-Chorizo-2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushrooms-stuffed-with-chorizo/","Extra large mushroom caps stuffed with traditional mexican chorizo, monterey jack cheese and cilantro",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Spinach and Feta","14-10003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5949/thumb600x600/2053141373/Mushroom_Stuffed_wSpinach_and_Feta2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-spinach-and-feta/","Extra large mushroom caps stuffed with spinach and feta cheese",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Ratatouille","14-10203A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5953/thumb600x600/584552936/Mushrooms-stuffed-with-Ratatouille.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-ratatouille/","Extra large mushroom caps stuffed with a delicious combination of zucchini, yellow squash, eggplant, bell peppers, parmesan cheese, oregano and thyme",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Italian Sausage","14-75160",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5952/thumb600x600/960772057/Mushroom_Stuffed_wItalian_Sausage1.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-italian-sausage/","Extra large mushroom caps stuffed with spiced italian sausage",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Boursin","14-10203",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5951/thumb600x600/952975577/Mushroom_Stuffed_wBoursin2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-boursin/","Extra large mushroom caps stuffed with boursin cheese",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Lamb Patties","12-10119",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7304/thumb600x600/740742527/lamb-slider1.jpg",,"50/2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lamb-patties/","Ground lamb mixed with seasonings hand formed into a patty.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"""",""categories"":""Gluten Free, Slider Patties""}"
"Lamb Dolma","LAMB",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7922/thumb600x600/634738647/lamb-dolma.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lamb-dolma/","A delicious combination of ground lamb, rice, onions, mint, dill, garlic and seasonings wrapped in Grape leaves.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":""New for 2024, Indian, Gluten Free""}"
"Kobe Beef Patties","12-10120",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7301/thumb600x600/409702540/kobe-beef-slider1.jpg",,"50/2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/kobe-beef-patties/","American kobe beef combined with onions, garlic, salt and pepper. Hand formed into a patty.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"""",""categories"":""Gluten Free, Slider Patties""}"
"Grilled Chicken with Anaheim Green Chile and Cilantro","121-19000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6044/thumb600x600/633340004/Grilled_Chicken_With_Anaheim_Green_Chili_and_Cilantro1.png",,"2.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/grilled-chicken-with-anaheim-green-chile-and-cilantro/","Traditional corn masa stuffed with shredded chicken, tomatillos, onions, green chiles, garlic, cilantro and spices. Hand folded in a corn husk",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 60"",""categories"":""Gluten Free, Tamale""}"
"Green Corn with Sweet Yellow Corn","125-27000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6048/thumb600x600/481349062/Green_Corn_With_Sweet_Yellow_Corn1.png",,"2.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/green-corn-with-sweet-yellow-corn/","Traditional sweet yellow corn tamales. Hand folded in a corn husk",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 60"",""categories"":""Gluten Free, Tamale""}"
"Gluten Free Chicken and Feta Cheese Quesadillas","Quesadilla",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/0/7086/thumb600x600/497713245/gluten-free-chicken-feta-roasted-peppers-quesadilla.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/gluten-free-chicken-and-feta-cheese-quesadillas/","A spiced blend of shredded chicken, feta cheese, roasted red peppers, jalapeno peppers and cilantro in a gluten free tortilla",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":""New for 2024, Gluten Free, Quesadilla""}"
"Citrus Marinated Bacon Wrapped Scallops","CITRUS_SCALLOPS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7910/thumb600x600/2640627400/citrus-marinated-bacon-wrapped-scallops.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/citrus-marinated-bacon-wrapped-scallops/","Large 20-30 size scallops marinated in Yuzu, orange juice, lemon juice, cilantro and spices wrapped in a strip of lean bacon. Served on a wooden pick.",,"{""allergenInfo"":""Allergen info: Shell Fish, Soy"",""case count"":"" 100"",""categories"":""New for 2024, Gluten Free, Specialty""}"
