"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushroom & Goat Cheese Lumpia","11-10100",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5996/thumb600x600/935125210/Wild_Mushroom_and_Goat_Cheese_Lumpia2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/wild-mushroom-goat-cheese-lumpia/","A delicious combination of mushroom duxelle mixed with goat cheese, garlic, onion, thyme and parsley hand wrapped in our authentic lumpia wrapper.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Vegetable Lumpia","11-75205",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5997/thumb600x600/3066877260/cs16_Cropped.png",,"1.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-lumpia/","All the delicious flavors of Napa cabbage, shiitake mushrooms, celery, carrots and onions hand wrapped in our authentic spring roll wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Thai Vegetable Lumpia","11-10402",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5998/thumb600x600/240475336/Thai_Vegetable_Lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-vegetable-lumpia/","A delicious combination of cabbage, Black mushrooms, rice noodles, carrots, Thai chiles, jalapenos, bean sprouts, bamboo shoots, sweet chili sauce, basil, cilantro and mint hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Thai Shrimp Lumpia","11-75175",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5994/thumb600x600/3460111093/Thai_shrimp_lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-shrimp-lumpia/","Marinated diced Shrimp combined with water chestnuts, black mushrooms, broccoli, carrots, basil, cilantro, sweet chili sauce, rice noodles, bean sprouts hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Sweet Plantain Lumpia","11-10310A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7230/thumb600x600/3508665877/sweet-plantain-lumpia1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/sweet-plantain-lumpia/","A delicious combination of Plantains, cream cheese, sugar and cinnamon hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"""",""categories"":""Lumpia""}"
"Southwestern Chorizo Lumpia","11-10301",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5988/thumb600x600/1541593631/Southwestern_Chorizo_Lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/southwestern-chorizo-lumpia/","Tradition Mexican pork chorizo, monterey jack, black beans, corn, bell peppers and cilantro hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Southwestern Chicken Lumpia","11-10300",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7580/thumb600x600/4112950586/Southwestern-Chicken-Lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/southwestern-chicken-lumpia/","A tasty combination of diced chicken breast, black beans, cheddar cheese, Monterey Jack cheese, bell peppers, corn, jalapenos, onions, cilantro and spices. Hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Smoked Gouda Lumpia","11-10215",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7583/thumb600x600/3252202813/Smoked-Gouda-Lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/smoked-gouda-lumpia/","A delicious combination of smoked gouda cheese and creame cheese hand wrapped in our authentic lumpia wrapper.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Lumpia""}"
"Shrimp Egg Roll","11-10401",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5993/thumb600x600/2321952225/shrimp_lumpia1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-lumpia/","Marinated diced shrimp combined with broccoli, carrots, bean sprouts, garlic and sweet chili sauce hand wrapped in our authentic egg roll wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Pepperoni Pizza Lumpia","11-10004",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5989/thumb600x600/1766617285/Pepperoni_Pizza_Egg_Rolls1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pepperoni-pizza-egg-rolls/","Pepperoni, mozzarella cheese, oregano and parsley hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Lumpia""}"
"Pad Thai Shrimp Lumpia","27-10006",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9892/thumb600x600/3331751543/Pad-Thai-Shrimp-Lumpia.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pad-thai-shrimp-lumpia/","A delicious combination of stir-fried sweet shrimp, glass noodles, eggs, green cabbage, carrots, peanut sauce, Sriracha sauce, green onions, fresh mint, cilantro, and seasonings hand wrapped in our authentic lumpia wrapper.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Egg, Soy, Sesame Seeds, Nut, Shellfish"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Lumpia""}"
"Lobster Lumpia","11-10003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7224/thumb600x600/3628031802/lobster-lumpia1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-lumpia/","A blend of diced lobster, carrots, zucchini, yellow squash, celery, onions, cilantro, garlic, soy sauce and spices hand wrapped in our authentic lumpia wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Shell Fish, Milk, Egg"",""case count"":"""",""categories"":""Lumpia""}"
