"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushrooms in Phyllo Triangle","17-10014",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5958/thumb600x600/812279597/Wild_Mushrooms_in_Phyllo_Triangle1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/wild-mushrooms-in-phyllo-triangle/","A delicious combination of wild mushrooms, onions, parsley and garlic. Hand folded into a phyllo triangle",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 144"",""categories"":""Phyllo""}"
"Tiropita","17-10004",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5957/thumb600x600/1480570160/Tiropita1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tiropita/","Combination of feta cheese, cream cheese and sun dried tomatoes. Hand folded into a phyllo triangle",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 144"",""categories"":""Phyllo""}"
"Spanakopita","17-10011",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5956/thumb600x600/3197949337/Spanakopita1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/spanakopita/","A delicious combination of spinach, feta cheese, dill, onions and garlic. Hand folded into a phyllo triangle",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 144"",""categories"":""Phyllo""}"
"Southwestern Chicken in Phyllo Triangle","17-10103",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5955/thumb600x600/3415292790/Southwestern_Chicken_In_Phyllo_Triangle1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/southwestern-chicken-in-phyllo-triangle/","Tender pieces of chicken mixed with black beans, bell Peppers, corn, jalapenos, onions, cilantro and Adobo. Hand folded into a phyllo triangle",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 144"",""categories"":""Phyllo""}"
"Santa Fe Chicken Phyllo Purse","04-10010",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/9/9903/thumb600x600/998882303/Santa-Fe-Chicken-Phyllo-Purse.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/santa-fe-chicken-phyllo-purse/","A delicious combination of braised chicken, Poblano peppers, bell peppers, Jalapeno peppers, tomatoes, onions, garlic and seasonings hand folded into a phyllo purse.",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Phyllo""}"
"Moroccan Beef Phyllo Cigar","17-10009",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/7/7706/thumb600x600/473193351/Moroccan-beef-phyllo-cigar1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/moroccan-beef-phyllo-cigar/","Mixture of marinated beef, tomato sauce, onions, garlic, cumin, coriander, raisins, paprika, cinnamon, saffron, cayenne, salt and pepper. Hand folded into a phyllo cigar.",,"{""allergenInfo"":""Allergen info: Wheat"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Phyllo""}"
"Goat Cheese and Honey in Phyllo Triangle","17-10008",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/9/9904/thumb600x600/727924561/Goat-Cheese-and-Honey-in-Phyllo-Triangle.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/goat-cheese-and-honey-in-phyllo-triangle/","A creamy blend of goat cheese and honey, hand wrapped into a phyllo triangle.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 100"",""categories"":""Phyllo""}"
"Fig and Mascarpone Phyllo Purse","17-10023A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7295/thumb600x600/3252656168/fig-and-marscapone-phyllo-purse1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/fig-and-mascarpone-phyllo-purse/","Sweet and savory combination of figs and Mascarpone cheese wrapped in a light buttery phyllo purse.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"""",""categories"":""Phyllo""}"
"Feta and Sundried Tomato in Phyllo Purse","17-10019A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7515/thumb600x600/4235892318/Feta-Sundried-Tomato-in-Phyllo-Purse1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/feta-and-sundried-tomato-in-phyllo-purse/","A tasty combination of Feta cheese, cream cheese, sundried tomatoes, garlic, herbs and spices. Hand folded into a phyllo purse.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Phyllo""}"
"Duck and Truffled Mascarpone Cheese Phyllo Cigar","DCTMCPHYLLO",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/8/6875/thumb600x600/1113174734/Truffle_Duck_Confit_With_Mascarpone_Cheese_Phyllo_Cigar1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/duck-confit-and-truffled-mascarpone-cheese-phyllo-cigar/","A combination of duck and truffled mascarpone cheese. Hand folded into a phyllo cigar.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"""",""categories"":""Categories: New for 2024, Phyllo""}"
