"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushroom","PIZZAWM",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8972/thumb600x600/4056445967/03-entree-pizza-wild-mushroom-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-wild-mushroom/","Fresh Shiitake, Portobello and Bottom mushrooms with goat cheese and caramelized onions over white cream sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Shrimp Scampi","PIZZASC",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8983/thumb600x600/4018650537/13-entree-pizza-shrimp-scampi-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-shrimp-scampi/","Sweet marinated large shrimp with fresh garlic, parsley, oregano and mozzarella cheese over lemon white cream sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Shellfish, Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Shrimp Diavolo","PIZZASD",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8984/thumb600x600/3011847797/14-entree-pizza-shrimp-diavolo-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-shrimp-diavolo/","Spicy marinated large shrimp, fresh cherry tomatoes, red onions, fresh basil and mozzarella cheese over spicy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Shellfish, Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Pesto Chicken","PIZZAPC",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8981/thumb600x600/757783695/12-entree-pizza-pesto-chicken-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-pesto-chicken/","Roasted chicken with Pesto sauce, fresh basil, cherry tomatoes and mozzarella cheese on white cream sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Mediterranean","PIZZAME",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8974/thumb600x600/1697661251/05-entree-pizza-mediterranean-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-mediterranean/","Artichoke hearts, Kalamata olives, fresh cherry tomatoes, red onions, mozzarella and Feta cheese over tangy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Margarita","PIZZAMA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8971/thumb600x600/3927577837/02-entree-pizza-margarita-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-margarita/","Classic combination of fresh mozzarella, tomatoes and fresh basil with tangy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Loaded Meat","PIZZALM",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8978/thumb600x600/2690906315/09-entree-pizza-loaded-meat-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-loaded-meat/","Generously loaded with Italian sausage, pepperoni and ham with mozzarella on tangy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Korean Short Rib","PIZZAKSR",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8986/thumb600x600/2310870590/15-entree-pizza-korean-short-rib-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-korean-short-rib/","Braised short ribs, fresh green onions, carrots, red onions and mozzarella cheese over hoisin sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Italian Salami","PIZZAIS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8976/thumb600x600/3098278472/07-entree-pizza-italian-salami-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-italian-salami/","Italian salami, fresh cherry tomatoes, green olives and mozzarella on tangy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
"Hawaiian","PIZZAHA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/9/8977/thumb600x600/3848729027/08-entree-pizza-hawaiian-02.png",,"8",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/entree-pizza-hawaiian/","Ham, pineapple and fresh red bell peppers layered with mozzarella over tangy tomato sauce. Prepared with rustic dough and fresh toppings. Bake to a crisp, golden finish in under 15 minutes. Different sizes available.",,"{""allergenInfo"":""Allergen info: Wheat, Milk, Soy"",""case count"":"" 12"",""categories"":""Pizza""}"
