"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Vegetable Pot Stickers","19-75170",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6003/thumb600x600/3727392325/Vegetable_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-pot-stickers/","A traditional flavor combination of cabbage, carrots, spinach and Vermicelli wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":""Pot Stickers""}"
"Tall Shrimp Dumpling","tall_shrimp_dumpling",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7367/thumb600x600/1199592522/tall-shrimp-dumpling1.jpg",,"100/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tall-shrimp-dumpling/","21-25 shrimp seasoned with spices wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Shell Fish, Egg"",""case count"":"""",""categories"":""Pot Stickers, Specialty""}"
"Shrimp Pot Stickers","19-10200",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6001/thumb600x600/634550137/Shrimp_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-pot-stickers/","A delicious blend of diced shrimp, shiitake mushrooms, carrots, Napa cabbage, bamboo shoots, basil, cilantro and green onions wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Egg"",""case count"":"" 100"",""categories"":""Pot Stickers""}"
"Portobello and Goat Cheese Pot Stickers","19-75182",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/8/5887/thumb600x600/722719979/Portobello_and_Goat_Cheese_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/portobello-and-goat-cheese-pot-stickers/","Chopped, sautéed portobello mushrooms with goat cheese and fresh herbs in a Gyoza wrapper. Can be steamed, sautéed or baked.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk"",""case count"":"" 100"",""categories"":""American Dim Sum, Pot Stickers""}"
"Pork Pot Stickers","19-10100",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6000/thumb600x600/445193208/Pork_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pork-pot-stickers/","Seasoned minced pork combined with cabbage, green onions and ginger wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy"",""case count"":"" 100"",""categories"":""Pot Stickers""}"
"Lobster Pot Stickers","19-10310",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6002/thumb600x600/2272513566/Lobster_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-pot-stickers/","Delicious sweet lobster meat, cabbage, carrots, scallions and ginger wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":""Pot Stickers""}"
"Lamb Ragout Pot Stickers","19-75181",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/8/5883/thumb600x600/2137119459/Lamb_Ragout_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lamb-ragout-pot-stickers/","Marinated lamb, gradually braised to perfection and enhanced with Kalamata olives, feta, basil and sun dried tomatoes for an exceptional flavor. It is handcrafted into a pot sticker and ready for you to steam, fry or bake.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Milk"",""case count"":"" 100"",""categories"":""American Dim Sum, Pot Stickers""}"
"Ginger Chili Beef Pot Stickers","19-10505",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7286/thumb600x600/773421115/ginger-chili-beef-pot-stickers1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/ginger-chili-beef-pot-stickers/","A unique combination of marinated beef, sweet chili sauce, ginger, rice vinegar, cilantro, garlic and spices. It is handcrafted into a pot sticker and ready for you to steam or fry.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"""",""categories"":""Pot Stickers""}"
"Edamame Pot Stickers","19-75190",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7289/thumb600x600/4017289783/edamame-pot-stickers1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/edamame-pot-stickers/","A blend of Edamame, onions, carrots, parsley, garlic and spices. It is handcrafted into a pot sticker and ready for you to steam or fry.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"""",""categories"":""Pot Stickers""}"
"Duck and Pear Pot Stickers","14-75155A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/8/5886/thumb600x600/21156470/Duck_Confit_and_Pear_Pot_Stickers1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/duck-confit-and-pear-pot-stickers/","Combination of Duck, finely chopped pears and chives. It is handcrafted into a pot sticker and ready for you to steam or fry.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Soy"",""case count"":"" 100"",""categories"":""American Dim Sum, Pot Stickers""}"
