"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushroom En Croute","08-10013",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5947/thumb600x600/837658869/Wild_Mushroom_En_Croute2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/wild-mushroom-en-croute/","Hand cut pieces of fresh portobello mushrooms, shiitake mushrooms, crimini mushrooms, sauteed with garlic, parsley and spices wrapped in a puff pastry",,"{""allergenInfo"":""Allergen info: Wheat, Egg"",""case count"":"" 100"",""categories"":""Puff Pastry""}"
"Vegetable Turnovers","08-10002",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7352/thumb600x600/3987040695/vegetable-turnovers-0.5oz1.jpg",,"100/0.5oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-turnovers/","Mixture of zucchini, eggplant, bell peppers, yellow squash, onions, garlic, oregano, thyme and spices hand wrapped in a puff pastry",,"{""allergenInfo"":""Allergen info: Wheat, Soy"",""case count"":"""",""categories"":""Puff Pastry""}"
"Turkey Breast and Cranberry Chutney in Puff Pastry","",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/8/6869/thumb600x600/636225488/Turkey_Breast_And_Cranberry_Chutney_In_Puff_Pastry1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/turkey-breast-and-cranberry-chutney-in-puff-pastry/","A tender piece of turkey breast paired with a delicious cranberry chutney wrapped in a puff pastry.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"""",""categories"":""Puff Pastry""}"
"Truffled Mushroom and Ricotta Cheese Puffs","TRUFFLED_MUSHROOM",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7862/thumb600x600/3091800027/truffle-mushroom-and-ricotta-in-puff-pastry.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/truffled-mushroom-and-ricotta-cheese-en-croute/","Wild mushrooms, truffle oil, ricotta cheese and herbs wrapped in puff pastry dough.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 50"",""categories"":""Categories: New for 2024, Puff Pastry""}"
"Smoked Chicken and Leek Turnovers","08-75102",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7349/thumb600x600/3998094356/smoked-chicken-and-leek-turnovers1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/smoked-chicken-and-leek-turnovers/","A delicious mixture of smoked chicken, creamy leeks, garlic and spices hand wrapped in a puff pastry",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"""",""categories"":""Puff Pastry""}"
"Salmon and Mushroom Duxelle in Puff Pastry","08-10104",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5945/thumb600x600/2364371019/Salmon_and_Mushroom_Duxelle_in_Puff_Pastry1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/salmon-and-mushroom-duxelle-in-puff-pastry/","A flaky piece of salmon paired with a delicious mushroom Duxelle wrapped in a puff pastry",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg, Fish"",""case count"":"" 100"",""categories"":""Puff Pastry""}"
"Reuben En Croute","08-10204",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7346/thumb600x600/3616692580/ruben-en-croute1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/reuben-en-croute/","A delicious combination of Corned Beef, sauerkraut, swiss cheese and Thousand Island dressing hand wrapped in a puff pastry",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"""",""categories"":""Puff Pastry""}"
"Portobello Mushroom and Fontina En Croute","08-10014",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7550/thumb600x600/3761123221/Portobello-Mushroom-and-Fontina-En-Croute1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/portobello-mushroom-and-fontina-en-croute/","A delicious mixture of Portobello mushrooms, Fontina cheese and seasonings wrapped in puff pastry.",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 100"",""categories"":""Puff Pastry""}"
"Pigs in a Blanket","08-10203",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5948/thumb600x600/3837192842/pigs-in-a-blanket1.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pigs-in-a-blanket/","All beef franks wrapped in a flaky puff pastry.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":""Puff Pastry""}"
"Parmesan and Herb Cheese Twists","TWISTS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7865/thumb600x600/4026135804/cheese-straws.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/parmesan-and-herb-cheese-twists/","Puff pastry dough seasoned with parmesan cheese, thyme, parsley, paprika and salt.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"""",""categories"":""Puff Pastry""}"
