"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Wild Mushroom and Brie Quesadilla","20-10006",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7571/thumb600x600/1240482560/Wild-Mushroom-Brie-Quesadillas1.png",,"1pz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/wild-mushroom-and-brie-quesadilla/","A delicious mixture of Portobello, Shiitake and white mushrooms with brie cheese, roasted red peppers, garlic and spices in a flour tortilla.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Vegan Butternut Squash and Cheese Quesadilla","BUTTERNUT_SQUASH_QUESADILLA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7907/thumb600x600/1554745747/vegan-butternut-squash-cheese-quesadilla.jpg",,"1pz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegan-butternut-squash-and-cheese-quesadilla/","A tasty combination of butternut squash, vegan mozzarella cheese, cilantro, red onions, lime juice, chili powder and seasonigs wrapped in a flour tortilla.",,"{""allergenInfo"":""Allergen info: Wheat, Soy"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Quesadilla""}"
"Tequila Lime Grilled Chicken Quesadillas","20-10100A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6027/thumb600x600/4194772317/Tequila_Lime_Grilled_Chicken_Quesadillas2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tequila-lime-grilled-chicken-quesadillas/","A Spiced blend of shredded chicken, tequila, lime juice, cheddar cheese, monterey jack, jalapenos, bell peppers and cilantro in a flour tortilla",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Shrimp Quesadillas","20-10200",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6029/thumb600x600/2966315040/Shrimp_Quesadillas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-quesadillas/","A spiced blend of shrimp, monterey jack, cheddar cheese, bell peppers, jalapenos and cilantro in a flour tortilla",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Pork Quesadillas","20-10005",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6028/thumb600x600/1587821702/Pork_Quesadillas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pork-quesadillas/","A spiced blend of pork carnitas, monterey jack, bell peppers, jalapenos and cilantro in a flour tortilla",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Orange Chipotle Beef Quesadillas","20-10002A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7574/thumb600x600/22268194/Orange-Chipotle-Beef-Quesadillas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/orange-chipotle-beef-quesadillas/","A tasty blend of slow cooked beef, cheddar cheese, monterey jack cheese, orange, chipotle, cilantro, bell peppers, onions garlic and spices in a flour tortilla.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Quesadilla""}"
"Gluten Free Chicken and Feta Cheese Quesadillas","Quesadilla",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/0/7086/thumb600x600/497713245/gluten-free-chicken-feta-roasted-peppers-quesadilla.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/gluten-free-chicken-and-feta-cheese-quesadillas/","A spiced blend of shredded chicken, feta cheese, roasted red peppers, jalapeno peppers and cilantro in a gluten free tortilla",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Gluten Free, Quesadilla""}"
"Crab Quesadilla","CRAB_QUESADILLA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7904/thumb600x600/751949376/crab-quesadillas.jpg",,"1pz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/crab-quesadilla/","A delicious mixture of sweet Blue crab meat, cheddar cheese, Monterey jack cheese, cilantro, jalapenos, garlic and spices wrapped in a flour tortilla.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Shell Fish"",""case count"":"" 100"",""categories"":""Categories: New for 2024, Quesadilla""}"
"Chicken Quesadillas","20-10100",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6026/thumb600x600/2255913438/Chicken_Quesadillas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-quesadillas/","A Spiced blend of shredded chicken, cheddar cheese, monterey jack, jalapenos, bell peppers and cilantro in a flour tortilla",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Chicken Quesadilla Cornucopia","20-10205",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7254/thumb600x600/4186845897/chicken-quesadilla-cornucopia1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-quesadilla-cornucopia/","A blend of shredded chicken, cheddar cheese, Monterey Jack cheese, onions, jalapenos, bell peppers, cilantro, cream cheese a flour tortilla trumpet.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"""",""categories"":""Quesadilla""}"
"Cheese and Pepper Quesadillas","20-10000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6030/thumb600x600/499778257/Cheese_And_Pepper_Quesadillas1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/cheese-and-pepper-quesadillas/","a spiced blend of cheddar cheese, monterey jack, bell peppers, jalapenos and cilantro in a flour tortilla",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
"Carne Asada and Jack Cheese Quesadilla","CARNE_ASADA_QUESADILLA",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/9/7901/thumb600x600/2809443144/carne-asada-onion-jack-cheese-quesadilla.jpg",,"1pz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/carne-asada-and-jack-cheese-quesadilla/","A tasty combination of beef, Monterey jack cheese, onions, garlic and spices wrapped in a flour tortilla.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk"",""case count"":"" 100"",""categories"":""Quesadilla""}"
