"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Thai Chicken Satay","02-10310",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5965/thumb600x600/489032877/thaichickensate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-chicken-skewer/","Marineted chicken breast in Thai seasonings on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Thai Beef Satay","02-10600",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5962/thumb600x600/207734289/thaibeefsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/thai-beef-skewers/","Marinated beef sirloin in Thai seasonings on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Teriyaki Glazed Beef and Scallion Skewer","02-760003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7510/thumb600x600/3167463100/teriyakiglazedbeef2.png",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/teriyaki-glazed-beef-and-scallion-skewer/","A tender piece of beef sirloin rolled with green onions and glazed with teriyaki sauce on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Wheat, Soy"",""case count"":"" 100/1oz."",""categories"":""Category: Satay""}"
"Tandoori Chicken Satay","02-10300A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5966/thumb600x600/759550063/tandoorichickensate2.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/tandoori-chicken-skewer/","Marinated chicken breast in Tandoori and yogurt on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":"" Indian, Gluten Free, Satay""}"
"Shrimp Satay","02-10603",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5967/thumb600x600/1703998535/shrimpsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-sate/","Jumbo 16-20 size shrimp on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Shell Fish, Soy"",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Pork Loin Satay","02-10402",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8149/thumb600x600/666468791/porkloinsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/pork-loin-sate/","A tender piece of pork loin on a 7″ paddle skewer.",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Peri-Peri Chicken Skewer","21-10001",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9898/thumb600x600/625462245/Peri-Peri-Chicken-Skewer.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/peri-peri-chicken-skewer/","A tender piece of chicken breast marinated in Peri Peri sauce on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Chimichurri Beef Satay","02-80001",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8143/thumb600x600/1174842806/chimmichurribeefsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chimichurri-beef-sate/","A tender piece of beef sirloin marinated in Chimichurri on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Chicken Thigh Meat Satay","02-10605",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5964/thumb600x600/1168610368/chickenthighmeatsate4.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-dark-meat-skewers/","A tender piece of chicken thigh meat on a 7″ paddle skewer",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Chicken Satay","02-75125",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5963/thumb600x600/338695020/chickensate2.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-sate-strips/","A tender piece of chicken breast on a 7″ paddle skewer.",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Chicken Saltimbocca Skewer","02-10304",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8140/thumb600x600/1664130743/chickensaltimbocca2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-saltimbocca/","A tender piece of chicken breast stuffed with prosciutto and sage on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Chicken Cubed Satay","02-10306",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8158/thumb600x600/3888679600/chickensatecube.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-cubed-sate/","Tender pieces of chicken breast on a 7″ paddle skewer.",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Chicken Chilito Skewer","04-10203",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9895/thumb600x600/2227576154/Chicken-Chilito-Skewer.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-chilito-skewer/","A tender of piece of chicken breast rolled with Pepper Jack cheese, cream cheese, bell peppers, Jalapeno peppers and seasonings on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Char-Siu Pork Belly Satay","CHAR_SIU_PORK",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7898/thumb600x600/2559829496/char-siu-pork-belly.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/char-siu-pork-belly-sate/","Marinated Pork Belly in Char Siu sauce on a wodden skewer.",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" New for 2024, Asian, Satay""}"
"Char-Siu Chicken Satay","CHAR_SIU_CHICKEN",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7895/thumb600x600/950929533/charsiusate2.jpg",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/char-siu-chicken-sate/","Marinated chicken breast in Char Siu sauce on a 7″ paddle skewer",,"{""allergenInfo"":""Allergen info: Soy"",""case count"":"" 100"",""categories"":"" New for 2024, Asian, Satay""}"
"Caribbean Jerk Chicken Satay","02-10308",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8152/thumb600x600/1466363300/carribeanjerkchicken2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/caribbean-jerk-chicken-sate-8152/","A tender piece of chicken breast seasoned with Caribbean Jerk on a 7″ paddle skewer",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Beef Satay","02-75115",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5961/thumb600x600/3072864119/beefsate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/beef-sate-strips/","A tender piece of beef sirloin on a 7″ paddle skewer",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" Gluten Free, Satay""}"
"Beef Cubed Satay","02-10201",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8137/thumb600x600/3473265841/beefsatecube2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/beef-cubed-sate/","Tender pieces of beef sirloin on a 7″ paddle skewer.",,"{""allergenInfo"":"""",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Beef Chilito Skewer","04-10105",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/9/8/9896/thumb600x600/1540401802/Beef-Chilito-Skewer.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/beef-chilito-skewer/","A tender of piece of beef sirloin rolled with Pepper Jack cheese, cream cheese, bell peppers, Jalapeno peppers and seasonings on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
"Basil Pesto Chicken Satay","02-75126",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/8/1/8146/thumb600x600/728697458/basilpestosate2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/basil-pesto-chicken-sate/","A tender piece of chicken breast marinated in basil pesto on a 7″ paddle skewer.",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 100"",""categories"":"" New for 2024, Satay""}"
