"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Mushrooms stuffed with Chorizo","14-10202",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5954/thumb600x600/3595513951/Mushrooms-stuffed-with-Chorizo-2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushrooms-stuffed-with-chorizo/","Extra large mushroom caps stuffed with traditional mexican chorizo, monterey jack cheese and cilantro",,"{""allergenInfo"":""Allergen info: Wheat, Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Spinach and Feta","14-10003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5949/thumb1200x1200/2053141373/Mushroom_Stuffed_wSpinach_and_Feta2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-spinach-and-feta/","Extra large mushroom caps stuffed with spinach and feta cheese",,"{""allergenInfo"":""Allergen info: Soy, Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Ratatouille","14-10203A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5953/thumb600x600/584552936/Mushrooms-stuffed-with-Ratatouille.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-ratatouille/","Extra large mushroom caps stuffed with a delicious combination of zucchini, yellow squash, eggplant, bell peppers, parmesan cheese, oregano and thyme",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Italian Sausage","14-75160",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5952/thumb600x600/960772057/Mushroom_Stuffed_wItalian_Sausage1.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-italian-sausage/","Extra large mushroom caps stuffed with spiced italian sausage",,"{""allergenInfo"":""Allergen info: None"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Mushroom stuffed with Crab","14-10200",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5950/thumb600x600/141886887/Mushroom_Stuffed_wCrab2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-crab/","Extra large mushroom caps stuffed with succulent fresh crab meat",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Egg"",""case count"":"" 70"",""categories"":"" Stuffed Mushrooms""}"
"Mushroom stuffed with Boursin","14-10203",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/5/9/5951/thumb600x600/952975577/Mushroom_Stuffed_wBoursin2.png",,"1.2oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/mushroom-stuffed-with-boursin/","Extra large mushroom caps stuffed with boursin cheese",,"{""allergenInfo"":""Allergen info: Milk"",""case count"":"" 70"",""categories"":""Gluten Free, Stuffed Mushrooms""}"
"Breaded Italian Sausage Mushrooms","04-10101",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7888/thumb600x600/293347005/italian-sausage-breaded-mushroom.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/breaded-italian-sausage-mushrooms/","Extra large mushroom caps stuffed with italian sausage and breaded in Panko breadcrumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 70"",""categories"":""New for 2024, Stuffed Mushrooms""}"
"Breaded Chicken and Pepper Jack Mushrooms","04-10100",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7891/thumb600x600/2111548960/chicken-pepperjack-breaded-mushroom.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/breaded-chicken-and-pepper-jack-mushrooms/","Extra large mushroom caps stuffed with seasoned ground chicken and pepper jack cheese, breaded in Panko breadcrumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 70"",""categories"":""New for 2024, Stuffed Mushrooms""}"
"Breaded Cheese Pizza Mushrooms","04-10015",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7894/thumb600x600/2321907553/cheese-pizza-breaded-mushroom.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/breaded-cheese-pizza-mushrooms/","Extra large mushroom caps stuffed with mozzarella cheese and parmesan cheese breaded in Panko breadcrumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 70"",""categories"":""New for 2024, Stuffed Mushrooms""}"
"Breaded Boursin Cheese Mushrooms","14-10204",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/8/7885/thumb600x600/1011967512/boursin-cheese-breaded-mushroom.jpg",,"",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/breaded-boursin-cheese-mushrooms/","Extra large mushroom caps stuffed with Boursin cheese and breaded in Panko breadcrumbs.",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Milk, Egg"",""case count"":"" 70"",""categories"":""New for 2024, Stuffed Mushrooms""}"
