"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Vegetable Won-Ton","31-10003",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6008/thumb600x600/2019549069/Vegetable_Won_Ton1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/vegetable-won-ton/","A traditional flavor combination of cabbage, carrots, green onions, bell peppers, zucchini, yellow squash and bean sprouts hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Shrimp Won-Ton","WONTON",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7565/thumb600x600/2886209414/Shrimp-Wontons1.png",,"1oz",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/shrimp-won-ton/","A delicious combination of shrimp, cabbage, shiitake mushrooms, ginger, scallions, garlic, cilantro, sesame oil and spices hand wrapped in a wonton wrapper.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Soy, Shell Fish"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Lobster Won-Ton","31-10001",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6007/thumb600x600/3191970566/Lobster_Won_Ton1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/lobster-won-ton/","Delicious sweet lobster meat, bean sprouts, cabbage, carrots, scallions and ginger hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Egg, Milk"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Firecracker Shrimp wrapped in Wonton","firecracker_shrimp_wonton",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7364/thumb600x600/3231210694/firecracker-shrimp-wonton1.jpg",,"100/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/firecracker-shrimp-wrapped-in-wonton/","16-20 shrimp marinated in a sweet and spicy Boursin and wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Shell Fish, Milk, Egg"",""case count"":"""",""categories"":""Categories: Specialty, Wonton""}"
"Firecracker Shrimp Won-Ton","10-10103A",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/5/7562/thumb600x600/1957247776/Firecracker-Shrimp-Wontons1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/firecracker-shrimp-won-ton/","A delicious combination of shrimp, water chestnuts, boursin cheese, sweet chili sauce, thai seasoning, garlic and spices hand wrapped in a wonton wrapper.",,"{""allergenInfo"":""Allergen info: Wheat, Egg, Soy, Milk, Shell Fish"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Duck Won-Ton","31-10101",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7283/thumb600x600/1316349625/duck-wonton1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/duck-won-ton/","A delicious combination of duck, cabbage, broccoli, carrots, green onions, sweet chili sauce hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"""",""categories"":"" Wonton""}"
"Crab Won-ton","31-10000",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6006/thumb600x600/3771006385/Crab_Won_Ton1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/crab-won-ton/","Succulent crab meat, cream cheese, sweet chili sauce and scallions hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Soy, Milk, Egg"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Crab Rangoon","15-20002",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6004/thumb600x600/3602035368/crabrangoon2.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/crab-rangoon/","A delicious blend of surimi, cream cheese, scallions and garlic hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Shell Fish, Wheat, Milk, Soy, Egg"",""case count"":"" 100"",""categories"":""Categories: Rangoon, Wonton""}"
"Chicken Won-Ton","31-10200",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/6/0/6005/thumb600x600/1189904026/Chicken_Won_Ton1.png",,"1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-won-ton/","Combination of chicken, cabbage, shiitake mushrooms, ginger, scallions, cilantro and garlic hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"" 100"",""categories"":"" Wonton""}"
"Beef Won-Ton","31-10201",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7207/thumb600x600/3865590746/beef-wonton1.jpg",,"100/1oz.",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/beef-won-ton/","A delicious combination of shredded beef, bell peppers, sweet chili sauce, onions, mint, basil, cilantro hand wrapped in a wonton wrapper",,"{""allergenInfo"":""Allergen info: Wheat, Soy, Egg"",""case count"":"""",""categories"":"" Wonton""}"
