name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,Group,Level 1 Category,Level 2 Category,Level 3 Category
CADDY BAR 6 COMPARTMENT BLK,Bar Caddy.,Plastic,,1000167,1eed8207-f109-4fd7-ae26-ea11532d35dd,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000167.JPG,,www.don.com/product/1000167,,,,Winco,Bar Supplies,Bar Smallwares,Dispensers,Condiment Holders,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
SHAKER SET 16 OZ 3 PC SS,Shaker Set.,Stainless Steel,,1000169,8702faa0-1b3b-48ed-95e0-7a92e9ae783e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000169.JPG,,www.don.com/product/1000169,,,,Winco,Bar Supplies,Bar Smallwares,Strainers_Shakers,All Strainers_Shakers,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
"LINER SHELF 12"" SQR VERSA MAT CLR VINYL",Shelf Liner.,Vinyl,,1000300,75148712-2cad-4c6a-b1d6-dee6998371b4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000300.JPG,,www.don.com/product/1000300,,,,Cfs Brands LLC,Bar Supplies,Bar Smallwares,Matting,Pouring_Bar Mats,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
POURER PLASTIC CHRONE BLACK,Medium Fast Speed Pourer.,Plastic,,1000407,80788385-5b90-459a-8eb0-e5db5060f79a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000407.JPG,,www.don.com/product/1000407,,,,Spill-Stop Manufacturing,Bar Supplies,Bar Smallwares,Liquor Pourers,Speed Pourers,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
SPOUT POURPLUS F/STORE N POUR WHT,Spout.,Polyethylene,,1000580,2b7455e2-0366-44c9-aeac-a8bfe5cbe17f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000580.JPG,,www.don.com/product/1000580,,,,Cfs Brands LLC,Bar Supplies,Bar Smallwares,Dispensers,Store N Pour System,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
CONT ONLY REPLACEMENT 1 QT WHT,Container.,Polyethylene,,1000581,baae9dba-2245-4d44-ab95-02db5b4b2a21,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000581.JPG,,www.don.com/product/1000581,,,,Cfs Brands LLC,Bar Supplies,Bar Smallwares,Dispensers,Store N Pour System,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
POURER TAPERED BLACK COLLAR,Medium Speed Pourer.,Brass,,1000641,77fa6b9d-6cf9-4904-8a2e-6b9aebdc091f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000641.JPG,,www.don.com/product/1000641,,,,Spill-Stop Manufacturing,Bar Supplies,Bar Smallwares,Liquor Pourers,Speed Pourers,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
"MAT BAR 3-1/4 X 27"" RUBBER BLK",Bar Mat.,Rubber,,1001107,81f9eaaa-b0b7-4ba4-b46b-acfd674e0bad,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001107.JPG,,www.don.com/product/1001107,,,,American Metalcraft,Bar Supplies,Bar Smallwares,Matting,Pouring_Bar Mats,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
"SPOON TWISTED 11"" RED KNOB SS",Bar Spoon - Red Tip.,Stainless Steel,,1002354,fb451f8e-f3a4-43ff-892f-7fd9867249ca,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002354.JPG,,www.don.com/product/1002354,,,,American Metalcraft,Bar Supplies,Bar Smallwares,Mixing Spoons_Muddlers,All Bar Spoons_Muddlers,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
STRAINER BAR 4 PRONG SS,Strainer.,Stainless Steel,,1002355,a176ca41-3223-41b7-a276-91491e8dbfcf,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002355.JPG,,www.don.com/product/1002355,,,,American Metalcraft,Bar Supplies,Bar Smallwares,Strainers_Shakers,All Strainers_Shakers,,,Edward don,,,,Non-Food,Supplies & Equipment,Tabletop Dining & Bar,Bar Supplies
