"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CHAFER FOOD PAN FULL SZ RECT","Food Pan.","Stainless Steel","","1000147","1164894e-f1c0-4250-9f38-4c293cc251b7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000147.JPG","","www.don.com/product/1000147","","","","American Metalcraft","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"PAN FOOD CHAFER RND SS","Food Pan.","Stainless Steel","","1000148","d0f1f34f-a196-4082-b3f0-2b9a9a8a8ad7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000148.JPG","","www.don.com/product/1000148","","","","American Metalcraft","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"PAN 4.2 QT RND CHAFER SS","Food Pan.","Stainless Steel","","1000158","c7d8ea70-b0ae-4150-95ba-266e19f7dd39","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000158.JPG","","www.don.com/product/1000158","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"PAN WATER 9 QT RECT SS","Water Pan.","Stainless Steel","","1000159","004cd4dd-5e4f-48ae-b653-510853a83f0a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000159.JPG","","www.don.com/product/1000159","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"URN COFFEE 20 QT 12X12X26""","Coffee Urn.","Stainless Steel","","1000346","98432a5b-fdcc-4084-b7c0-cac724b20d41","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000346.JPG","","www.don.com/product/1000346","","","","Steelite International","Buffet Service","Chafers_Urns","Steelite","WNK Chafers_Urns","","","Edward don","",""
"MARMITE PETITE 4 QT MILLENNIUM SS","Soup Chafer.","Stainless Steel","","1000435","fa6b9b17-5721-4ece-9d24-5e8010e425c4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000435.JPG","","www.don.com/product/1000435","","","","Steelite International","Buffet Service","Chafers_Urns","HABER","Chafers_Urns","","","Edward don","",""
"MARMITE PETITE 6 QT MILLENNIUM SS","Soup Chafer.","Stainless Steel","","1000437","b65446d1-2bbc-4438-85e4-d46aa1c7ea71","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000437.JPG","","www.don.com/product/1000437","","","","Steelite International","Buffet Service","Chafers_Urns","HABER","Chafers_Urns","","","Edward don","",""
"CUP URN 4 QT GRADUATED 18/8 SS","Urn Cup.","Stainless Steel","","1000494","6a6c6574-5d5c-412c-b954-6cceef3fece2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000494.JPG","","www.don.com/product/1000494","","","","Admiral Craft Equipment","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"COVER CHAFER 12X20X7"" HI DOME","Chafer Cover Dom.","Polycarbonate","","1001001","2a515513-f846-4492-ac31-cd0231077e7e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001001.JPG","","www.don.com/product/1001001","","","","Cal-Mil Plastic Products","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"PAN DISPLAY 21-1/2X13 PLAIN SS","Display Pan.","Stainless Steel","","1001834","ac577725-7d04-4568-81a5-fcfc44f4cb9c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001834.JPG","","www.don.com/product/1001834","","","","Bon Chef","Buffet Service","Chafers_Urns","Bon Chef","Miscellaneous","","","Edward don","",""
"DISH CHAFING 35 OZ SLV PLT","Chafing Dish.","18/10 Stainless Steel","","1001902","e0b66265-1445-4b1c-adf3-be43a3c06142","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001902.JPG","","www.don.com/product/1001902","","","","Bauscherhepp","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"COVER HANDLE F/CHAFER 46070","Cover Handle f/New York Chafer.","Stainless Steel","","1001975","c1c2b112-4e27-4dd1-a208-a4f9f00af3a1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001975.JPG","","www.don.com/product/1001975","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"COVER HANDLE FOR CHAFER 46080","Handle Cover f/New York Chafer.","Stainless Steel","","1001976","575935b5-a4f7-4081-861b-429d428cefe1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001976.JPG","","www.don.com/product/1001976","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"COVER HANDLE ASSEMBLY F/CHAFER","Handle Cover Assembly for Chaf.","Stainless Steel","","1001977","5f2f70e1-7b1c-4455-ac3a-d83d5ee15c22","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001977.JPG","","www.don.com/product/1001977","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"HINGE BRASS","Hinge Brass.","Brass","","1001981","cd52f5a3-55d5-43bc-a147-7822b0a6d857","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001981.JPG","","www.don.com/product/1001981","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Chafer_Urn Accessories","All Chafer_Urn Accessories","","","Edward don","",""
"TUREEN SOUP PETITE MERMITE CHRO","Soup Tureen.","Stainless Steel","","1002841","a2993217-90f1-40bf-89f9-913b24da7201","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002841.JPG","","www.don.com/product/1002841","","","","Bon Chef","Buffet Service","Chafers_Urns","Bon Chef","Petite","","","Edward don","",""
"PAN FOOD 6 QT SS INTRIGUE","Food Pan.","18/0 Stainless Steel","","1003153","9f6d0481-5860-45a5-add8-001e32501545","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003153.JPG","","www.don.com/product/1003153","","","","The Vollrath Company LLC","Buffet Service","Chafers_Urns","Vollrath","Intrigue","","","Edward don","",""
