"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"STAND CHOPSTICKS FOLDING 12""","Chopsticks Stand. Simple, Asian-inspired stand holds a variety of bowls and platters. Black metal stand folds for easy storage and transport.","Cast Aluminum","","1000535","4d891bab-20cb-49a5-a189-a047fcce1841","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000535.JPG","","www.don.com/product/1000535","","","","G.E.T","Buffet Service","Display Accessories","Stands","Other","","","Edward don","",""
"BOWL SHELL 15X14X3 CAST ALUM MARBLE WHT","Salad Bowl.","Cast Aluminum","","1000538","3a2e234a-944f-4c69-a654-8078d0c1b529","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000538.JPG","","www.don.com/product/1000538","","","","G.E.T","Buffet Service","Display Accessories","Stands","Other","","","Edward don","",""
"BASKET TRNSFRM 21X13X5-1/2"" RECT MTL BLK","Buffet Display Basket.","Metal","","1000562","63add2e8-372f-42bc-b94a-bdec0ac9f50d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000562.JPG","","www.don.com/product/1000562","","","","Tablecraft Products - Food Servi","Buffet Service","Display Accessories","Baskets","Metal","","","Edward don","",""
"BASKET TRNSFRM 24X12X6"" OBL METAL BLK","Serving Basket.","Metal","","1000563","f216ff80-611c-44a5-99d6-c81097c3bc42","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000563.JPG","","www.don.com/product/1000563","","","","Tablecraft Products - Food Servi","Buffet Service","Display Accessories","Baskets","Metal","","","Edward don","",""
"COVER FOR 2 TIER STAND SPACE SAVOR","Cover.","Acrylic","","1001525","8c845069-5a5d-41c2-8f80-600d8a6982ed","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001525.JPG","","www.don.com/product/1001525","","","","Cal-Mil Plastic Products","Buffet Service","Display Accessories","Stands","Acrylic","","","Edward don","",""
"STAND PLATTER 3TIER BLK WR IRON","Platter Stand.","Wrought Iron","","1002295","81703386-df0a-4cd9-8e6a-878bd714b087","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002295.JPG","","www.don.com/product/1002295","","","","American Metalcraft","Buffet Service","Display Accessories","Stands","Other","","","Edward don","",""
"STAND CONDIMENT 16X15 SS","Condiment Display Stand.","Stainless Steel","","1002824","e7329380-07e2-424d-841e-34352bcae0d7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002824.JPG","","www.don.com/product/1002824","","","","Bon Chef","Buffet Service","Display Accessories","Stands","Chrome_Steel","","","Edward don","",""
"STAND CONDIMENT 15X13 SS","Condiment Display Stand.","Stainless Steel","","1002825","f526c54f-ad3f-4924-8790-c43b965b1e81","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002825.JPG","","www.don.com/product/1002825","","","","Bon Chef","Buffet Service","Display Accessories","Stands","Chrome_Steel","","","Edward don","",""
"STAND MENU 3"" BASIC","Menu Stand.","18/10 Stainless Steel","","1003157","3944d135-a294-41e1-bac1-26ed43737536","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003157.JPG","","www.don.com/product/1003157","","","","Bauscherhepp","Buffet Service","Display Accessories","Holders","Sign","","","Edward don","",""
"STAND TALL SIDE 16X15 ALUM BLK","Tall Stand.","Aluminum Alloy","","1003235","ad3d42cf-6c00-483a-9142-2484c74ed324","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003235.JPG","","www.don.com/product/1003235","","","","Bon Chef","Buffet Service","Display Accessories","Stands","Chrome_Steel","","","Edward don","",""
