"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"BOWL SLANT KALEIDOSCOPE 58 OZ","Bowl.","Glass","","1000019","f1352a91-02d2-4150-aa8c-da0dc9047f5e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000019.JPG","","www.don.com/product/1000019","","","","Front Of The House","Buffet Service","Salad Service","Bowls","Glass Bowls","","","Edward don","",""
"BOWL 22 OZ SLANT KALEIDOSCOPE","Bowl.","Glass","","1000020","f245f067-2ddd-4f21-81aa-49c9c17a4eec","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000020.JPG","","www.don.com/product/1000020","","","","Front Of The House","Buffet Service","Salad Service","Bowls","Glass Bowls","","","Edward don","",""
"BOWL 2 QT CAST ALUM PEWTER GLO","Bowl.","Cast Aluminum","","1000075","512a73dc-3254-4661-892e-b74b93392a31","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000075.JPG","","www.don.com/product/1000075","","","","Bon Chef","Buffet Service","Salad Service","Bowls","Metal Bowls","","","Edward don","",""
"BOWL RND 12"" CAST ALUM BLK","Buffet Bowl.","Cast Aluminum","","1000530","eb7cdbeb-2438-4121-b4b3-f3de5f5a1081","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000530.JPG","","www.don.com/product/1000530","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL 50-3/4OZ SQR CAST ALUM BLK","Buffet Bowl. Colorful resin-coated cast aluminum bowls can be placed directly on ice, on cold tables, and in deli cases, and will maintain proper serving temperature for an extended period of time. Bowls are dishwasher safe, resistant to scratching, chipping, peeling, and tarnishing, and are available in a variety of colors, shapes and sizes. Sizes of risers in set #1041746 (L x W x H): 12"" x 8"" x 4"", 18"" x 8"" x 6"" and 24"" x 8"" x 8"". Sizes of risers in set #1041745 (L x W x H): 12"" x 12"" x 4"", 18"" x 12"" x 6"" and 24"" x 12"" x 8"".","Cast Aluminum","","1000531","68b885ed-37f8-489b-84d6-27d10117f57e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000531.JPG","","www.don.com/product/1000531","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL BOAT 32X6X3"" CAST ALUM MARBLE WHT","Bowl.","Cast Aluminum","","1000532","49f3bacb-14be-44c4-a19f-ca982b3e2511","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000532.JPG","","www.don.com/product/1000532","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL BOAT 28X9X5 CAST ALUM BLK","Bowl.","Cast Aluminum","","1000533","e17f5b1f-6822-41dc-8225-faa6bdc0ffc2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000533.JPG","","www.don.com/product/1000533","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL 81 OZ CAST ALUM BLK","Buffet Bowl.","Cast Aluminum","","1000539","3c5dfb25-c5ae-48fd-8f83-ac0181e7fc83","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000539.JPG","","www.don.com/product/1000539","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL 121-3/4OZ CAST ALUM BLK","Buffet Bowl.","Cast Aluminum","","1000540","e7c6e36e-de47-4607-a5bb-8e15a53258ef","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000540.JPG","","www.don.com/product/1000540","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
"BOWL 372OZ 13-1/2"" CASTALUM BLK","Buffet Bowl.","Cast Aluminum","","1000541","dbd2ad8a-3342-4500-b642-bfaf06897312","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000541.JPG","","www.don.com/product/1000541","","","","G.E.T","Buffet Service","Salad Service","Bugambilia","Bowl","","","Edward don","",""
