name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,group,Level 1 Category,Level 2 Category,Level 3 Category
FRAGRANCE REFILL TEA LILLY W/BATTERY,Fragrancerefill.,,,1174472,0e027520-4389-4a21-b3db-2209507731c9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1174472.JPG,,www.don.com/product/1174472,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRAGRANCE REFILL ALPINE W/BATTERY,Fragrancerefill.,,,1174473,abd9005f-1849-4ea4-9c68-39fc81d70a34,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1174473.JPG,,www.don.com/product/1174473,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
ODOR ABSORB FRIDGE-N-FREEZER ARM&HAMMER,Baking Soda Deodorizer.,,,1185779,5b2f0874-df97-41fc-a7dd-0007c6e3afb4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1185779.JPG,,www.don.com/product/1185779,,,,Rj Schinner - Np & Pc,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
DEODORIZER DUMPSTER ARM & HAMMER,Trash Deodorizer.,,,1185780,297e41cc-d31a-4cd9-a829-99b0c237490f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1185780.JPG,,www.don.com/product/1185780,,,,Rj Schinner - Np & Pc,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
DEODORIZER AIR FRESHENER ARM & HAMMER,Air Freshener.,,,1185781,efb0f670-dfee-4c09-ac06-8c6d397a86f3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1185781.JPG,,www.don.com/product/1185781,,,,Rj Schinner - Np & Pc,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIRE 3000 SHOT COOL LINEN,"Air Freshener. Odor-neutralizing system—eliminates bad odors. Compact concentrated scent refills deliver the finest spray mist for more noticeable, long-lasting performance. Tailored dispensing capabilities make this system the most sophisticated air freshening system available. Microburst 3000 models feature programming abilities; LED model is fully programmable —choose start/stop times, day of week setting and frequency of bursts. Economizer model features a compact design for smaller areas with time programming capabilities for 15, 30 or 60 minutes between bursts; LumeCel™ is a rechargeable energy system. Standard Aerosol features adjustable spray intervals from 5 to 25 minutes; Low refill and battery indicators.",,,1190788,54d4c187-59af-4a06-96ac-028a483e013c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1190788.JPG,,www.don.com/product/1190788,,,,Newell Brands,Cleaning Products,Air Care_Odor Control,Metered Air Freshener Systems,Don Aire,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIRE 3000 SHOT OCEAN BRZ,"Air Freshener. Odor-neutralizing system—eliminates bad odors. Compact concentrated scent refills deliver the finest spray mist for more noticeable, long-lasting performance. Tailored dispensing capabilities make this system the most sophisticated air freshening system available. Microburst 3000 models feature programming abilities; LED model is fully programmable —choose start/stop times, day of week setting and frequency of bursts. Economizer model features a compact design for smaller areas with time programming capabilities for 15, 30 or 60 minutes between bursts; LumeCel™ is a rechargeable energy system. Standard Aerosol features adjustable spray intervals from 5 to 25 minutes; Low refill and battery indicators.",,,1190789,9b357cdf-6eb3-4aaa-a54c-362596101f1e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1190789.JPG,,www.don.com/product/1190789,,,,Newell Brands,Cleaning Products,Air Care_Odor Control,Metered Air Freshener Systems,Don Aire,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIRE 3000 SHOT MANGO,"Air Freshener. Odor-neutralizing system—eliminates bad odors. Compact concentrated scent refills deliver the finest spray mist for more noticeable, long-lasting performance. Tailored dispensing capabilities make this system the most sophisticated air freshening system available. Microburst 3000 models feature programming abilities; LED model is fully programmable —choose start/stop times, day of week setting and frequency of bursts. Economizer model features a compact design for smaller areas with time programming capabilities for 15, 30 or 60 minutes between bursts; LumeCel™ is a rechargeable energy system. Standard Aerosol features adjustable spray intervals from 5 to 25 minutes; Low refill and battery indicators.",,,1190790,3c601d01-01b2-46f2-a05c-b2bb3818556a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1190790.JPG,,www.don.com/product/1190790,,,,Newell Brands,Cleaning Products,Air Care_Odor Control,Metered Air Freshener Systems,Don Aire,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIR REFRESH 2.0 SPICED APPLE,Freshener.,,,1195870,c7ee0f8d-3d89-45ef-9c10-e0927f4acdb2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1195870.JPG,,www.don.com/product/1195870,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
FRESHENER AIR REFRESH 2.0 CUCUMBER MLN,Freshener.,,,1195871,72f68f8d-7d1a-4045-b758-76a4e1fe1f9f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1195871.JPG,,www.don.com/product/1195871,,,,Fresh Products,Cleaning Products,Air Care_Odor Control,Solid Air Fresheners,All Solid Air Fresheners,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
