name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
DELIMER LOW FOAM ALLPURPOSE 1 GAL,Manual Low Foam Delimer. Ideal for manual deliming tasks around the kitchen and bath. Phosphoric acid solution.,,,1J16,c1c3b218-d2ef-4683-a1a4-997d02404021,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J16.JPG,,www.don.com/product/1J16,,,,Nyco Products,Cleaning Products,Bar_Glass Cleaners,Mineral Solvent_Delimer,Liquid Mineral Solvents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
CLEANER F/GRINDER 15-1/5 OZ GRINDZ,Grinder Cleaning Tablets.,,,1245118,0e1400e5-b928-45be-97ff-26deaa976f27,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1245118.JPG,,www.don.com/product/1245118,,,,Bunn-O-Matic Corporation,Cleaning Products,Bar_Glass Cleaners,Miscellaneous,Bar_Glass Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
CLEANER ESPRESSO GRINDER 15 OZ URNEX,Cleaner.,,,1194491,7c7dd2d3-4429-440b-be63-23b7f2a2c8fb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1194491.JPG,,www.don.com/product/1194491,,,,Bunn-O-Matic Corporation,Cleaning Products,Bar_Glass Cleaners,Miscellaneous,Bar_Glass Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
CLEANER ESPRESSO MACHINE CAFIZA 100 TBLS,Cleaning Tablets.,,,1028596,79bc16cf-ac8d-4775-8fa3-6763139c1e8e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1028596.JPG,,www.don.com/product/1028596,,,,Bunn-O-Matic Corporation,Cleaning Products,Bar_Glass Cleaners,Mineral Solvent_Delimer,Powdered Mineral Solvents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
REMOVER SCALE KLEEN 7 OZ PACKETS E/S/F,Scale Remover.,,,1018451,14e91b45-6e80-4475-ae42-846147c95b89,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1018451.JPG,,www.don.com/product/1018451,,,,United Refrigeration -Philadel,Cleaning Products,Bar_Glass Cleaners,Mineral Solvent_Delimer,Powdered Mineral Solvents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
SANITIZER .25 OZ PKT BEER CLEAN,Last Rinse Sanitizer. Last rinse sanitizer. Sparkling clean glasses help beer look better and produce a better head. Sell more beer per keg for increased profits. Choose convenient premeasured pockets or economical bulk jars.,,,1J174,ba398c9c-5ff3-4d54-86a8-347f847ea283,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J174.JPG,,www.don.com/product/1J174,,,,R3 Papercraft,Cleaning Products,Bar_Glass Cleaners,Bar_Glass Sanitizers,Tablet_Powdered Sanitizers,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
SANITIZER SOFT SERVE 1 OZ SANSU,"Soft-Serve Sanitizer. Time release formula provides safe, effective sanitizing without offensive bleach odors. Multi Surface Sanitizer (1J170) can be used on both food and non-food contact hard surfaces.",,,1J170,4753e5ae-7087-4fa6-a54a-0e6161f785d3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J170.JPG,,www.don.com/product/1J170,,,,R3 Papercraft,Cleaning Products,Bar_Glass Cleaners,Bar_Glass Sanitizers,Tablet_Powdered Sanitizers,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
REMOVER SCALE LIME RUST 1 GAL,Scale Remover.,,,1151592,d253f5e6-71b5-4923-8ce9-99aa57624c40,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1151592.JPG,,www.don.com/product/1151592,,,,R3 Papercraft,Cleaning Products,Bar_Glass Cleaners,Mineral Solvent_Delimer,Liquid Mineral Solvents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
DETERGENT .5 OZ BAR GLASS WASH,Regular Glass Cleaner. Sparkling clean glasses help beer look better and produce a better head—sell more beer per barrel for increased profits. Mineral solvent for hard water problems. Regular suds perfect for manual glass brush washing.,,,1J171,348b9c84-c350-4714-95af-b3ee4b4c0113,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J171.JPG,,www.don.com/product/1J171,,,,R3 Papercraft,Cleaning Products,Bar_Glass Cleaners,Bar_Glass Cleaners,Powdered Detergents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
SOLVENT .5 OZ MINERAL BEER CLN,Mineral Solvent. Complete glass sanitizing for any bar. Sparkling clean glasses help beer look better and produce a better head. Mineral solvent for hard water problems. Choose convenient premeasured pockets or economical bulk jars.,,,1J173,cf9c168f-e53b-4b8d-877f-3b656bf56068,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J173.JPG,,www.don.com/product/1J173,,,,R3 Papercraft,Cleaning Products,Bar_Glass Cleaners,Bar_Glass Cleaners,Powdered Detergents,,,Edward don,,,Non-Food,Supplies & Equipment, Janitorial  & Cleaning,Cleaning Chemicals
