name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
CLEANER S.S HY-SHYNE RTU 32 OZ,"RTU Stainless Steel Cleaner. Water-based formula provides long-lasting protection and preserves a factory finish. Excellent for stainless steel and aluminum. Removes soil, smudges, and film quickly and easily.",,,1J982,122f0d3e-a533-4b31-a1b9-4c7fc4e54502,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J982.JPG,,www.don.com/product/1J982,,,,Nyco Products,Cleaning Products,Cleaners_Polish,S.S. Cleaner_Polish,Liquid S.S. Cleaner_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PRESOAK DESTAINER FORMULA 88  PACKET 4OZ,Presoak Destainer. Effectively and safely removes stains from china and plastic. Dilution: One portion pack per every 4 gallons of water.,,,1J880,1326210b-f704-4110-aac2-00e5e3cade01,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J880.JPG,,www.don.com/product/1J880,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER COIL AIR CONDITIONING 32 OZ,"Cleaner. Removes accumulated soils, dirt and oxidation from coils and fins on air conditioning units, humidifiers, condensers and heat exchange equipment. Clean coils promote better air circulation and higher efficiency, lowering energy costs. Regular use with central air conditioning systems and window units helps to keep them running at peak performance s.",,,1049571,5b8dabb2-c74f-4006-bc6a-4b9e46218a47,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049571.JPG,,www.don.com/product/1049571,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER LIQUID SILVERMATE 55 GAL,Silvermate Silverware Cleaner.,,,1J571,738cdc2f-51fc-47de-b982-83045f5fe9d8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J571.JPG,,www.don.com/product/1J571,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PRESOAK FLATWARE PACKETS 4 OZ,Flatware Presoak. Removes and cleans food soil from flatware. Dilution: One portion pack per every 2 gallons of water. ESP—Easy Storage Pack for easy portion control.,,,1J651,077731fc-c2c3-456e-8219-fca6f6d5231e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J651.JPG,,www.don.com/product/1J651,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
PRESOAK SILVERWARE LIQUID 1 GAL,Silverware Presoak. Removes and cleans food soil from flatware. 1J651 Dilution: 1 packet per 2 gallons of water. 1J69 Dilution: 1 oz per 1 gallon of water.,,,1207730,7f9f8ca6-54b3-418e-9152-b880edc15cd5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1207730.JPG,,www.don.com/product/1207730,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER NEUTRAL Q 128 EZ2MIX 80 OZ,Cleaner.,,,1181376,44443cb4-5edb-4489-b19b-6b81f0385fd8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1181376.JPG,,www.don.com/product/1181376,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Miscellaneous-Cleaners_Polish,Cleaners_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER MARVALOSA EZ2MIX 80 OZ,Cleaner.,,,1181377,6637abd6-e1a4-475c-8335-1671d485423b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1181377.JPG,,www.don.com/product/1181377,,,,Nyco Products,Cleaning Products,Cleaners_Polish,Miscellaneous-Cleaners_Polish,Cleaners_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
TABLETS CARE BLUE RATIONAL 150/CS,Care Tablets.,,,1017684,34af52e4-fd83-4ea5-8a7c-46b18e787618,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1017684.JPG,,www.don.com/product/1017684,,,,Rational Cooking Systems,Cleaning Products,Cleaners_Polish,Miscellaneous-Cleaners_Polish,Cleaners_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POLISH CLEANER SS 20 OZ AEROSOL,Stainless Steel Cleaner. Cleans and polishes surfaces to a high gloss wipes clean. Contains no harmful petroleum distillates.,,,1J5996,c3eb446e-604e-408b-97c7-b2e5a721e7f5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J5996.JPG,,www.don.com/product/1J5996,,,,3M,Cleaning Products,Cleaners_Polish,S.S. Cleaner_Polish,Aerosol S.S. Cleaner_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POLISH & RESTORER MARINE ALUMINUM,Aluminum Polish.,,,1249235,2379bbc4-e57e-466a-a9b0-a7a90f4633bd,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1249235.JPG,,www.don.com/product/1249235,,,,3M,Cleaning Products,Cleaners_Polish,Metal Cleaner_Polish,Liquid_Paste Metal Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
WIPES CLEANER & DEGREASER SCOTCHBRITE,"Degreaser Wipes. Cleans dirty flat top griddles in 3-5 minutes (40% faster) with just 3 simple steps: squirt, scour and squeegee. J54 includes six liquid packets, one pad holder, six pads and a squeegee. Degreaser wipes (1180573) are ready-to-use, pre-moistened, disposable wipes containing a degreaser and Scotchgard Protector.",,,1180573,e8254011-1f28-4e71-92c9-318ba4c5d8df,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1180573.JPG,,www.don.com/product/1180573,,,,3M,Cleaning Products,Cleaners_Polish,Miscellaneous-Cleaners_Polish,Cleaners_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER GOO GONE 8 OZ,Cleaner.,,,1234000,a02a8478-5254-4eab-8889-1e8a27589e5b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234000.JPG,,www.don.com/product/1234000,,,,Franklin Machine Products,Cleaning Products,Cleaners_Polish,Miscellaneous-Cleaners_Polish,Cleaners_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POLISH FURN AERO LEM AN WAX 19 OZ,"Furniture Polish. Cleans, dusts and polishes in 1 easy step. For tabletops, ceramic, leather articles, chrome, marble and fine furniture.",,,1J611,b89ee7c4-8fbe-4741-855f-f773dacc0fa5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J611.JPG,,www.don.com/product/1J611,,,,Plz Corp,Cleaning Products,Cleaners_Polish,Furniture_Wood Polish,Aerosol Furniture Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POLISH CLEANER SS WATER BASE AERO 16 OZ,Polisher.,,,1215233,c033c3ab-53c6-4f51-938c-51f05c38ccd2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1215233.JPG,,www.don.com/product/1215233,,,,Plz Corp,Cleaning Products,Cleaners_Polish,S.S. Cleaner_Polish,Aerosol S.S. Cleaner_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
POLISH SS OIL BASE HY-SHYNE AERO,Stainless Polish. Excellent for stainless steel and aluminum. Oil-based formula provides long lasting protection and preserves a factory finish.,,,1J663,777d647e-e3c0-4807-afa9-373da689c187,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J663.JPG,,www.don.com/product/1J663,,,,Plz Corp,Cleaning Products,Cleaners_Polish,S.S. Cleaner_Polish,Aerosol S.S. Cleaner_Polish,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
