name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
DEGREASER SUPER JET SOLV RTU 32 OZ,"Cleaner/Degreaser. Ideal for hard surface degreasing. Spray and wipe, leaves a pleasantclean scent. Will not scratch or etch glass. 2 trigger sprayers per case.",,,1J313,38baa856-8a6c-4840-b140-d17f93e5cf92,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J313.JPG,,www.don.com/product/1J313,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Super Jet Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER SUPER JET SOLV 1 GAL,"Degreaser Concentrate. This heavy-duty solution is our best selling cleaning formula. Blasts grease and dirt off any hard surface. Ideal for cleaning walls, ovens, grills and degreasing floors. Rinses quickly and easily. Purple color with a clean, fresh scent. Dilution ratio: 3 oz per gallon of water.",,,1J320,13861ee0-057f-4fc4-8533-bef5bcd50e58,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J320.JPG,,www.don.com/product/1J320,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Super Jet Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER SUPER JET SOLV 5 GAL,"Degreaser Cleaner. This heavy-duty solution is our best selling cleaning formula. Blasts grease and dirt off any hard surface. Ideal for cleaning walls, ovens, grills and degreasing floors. Rinses quickly and easily. Purple color with a clean, fresh scent. Dilution ratio: 3 oz per gallon of water.",,,1J322,009029f1-a2a5-4888-8b93-f80e591929bc,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J322.JPG,,www.don.com/product/1J322,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Super Jet Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER SUPER JET SOLV DCS,"Degreaser Cleaner DCS. Heavy-duty formula removes baked-on cargon, grease, soot, gum, resins, ink, oil, and wax. Two 1-gallon containers of concentrate make 136 RTU quarts or 34 RTU gallons. Comes with a Saf T Flo fitment top to create a closed loop self venting system.",,,1017645,38b963fe-83d9-4aa3-b79b-a11462dfa323,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1017645.JPG,,www.don.com/product/1017645,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Super Jet Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER CITRUS SOLV RTU 32 OZ,"Citrus Solv. Our most powerful degreaser for foodservice penetrates and lifts out grease, oil, coffee, blood, and other durable stains from most washable surfaces. Natural orange base cleans ovens, strips wax, and degreases floors. Spray directly on surfaces to be cleaned, then wipe dry with a clean cloth. Not recommended for use on glass.",,,1J336,c1f12947-2617-4724-98b7-18dcf04c9741,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J336.JPG,,www.don.com/product/1J336,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Citrus Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER CITRUS SOLV CONC 1 GAL,"Citrus Solv. Our most powerful degreaser forfoodservice. Natural orange base cleans ovens, strips wax and degreases floors. Fresh orange citrus scent. Dilution ratio: 1 oz per gallon of water. Readily biodegradable.",,,1J335,d08cdc0d-2c6b-4cf9-89f4-cb5e76a0f356,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J335.JPG,,www.don.com/product/1J335,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Citrus Solv,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER BLAZE 12 1 GAL,Degreaser.,,,1222419,f5b43824-096c-4af8-a2a8-daaafd9d89b9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1222419.JPG,,www.don.com/product/1222419,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER POWER OM1 SERIES 32 OZ,"Degreaser. First institutional cleaners in North America formulated with Eastmen Omnia™ high-performance solvent. Highly effective cleaners that are safe for users, safe for most hard surfaces and safer for the environment. Non-hazardous and readily biodegradable. All products are pH neutral (6.0 - 8.0). Listed by GreenBlue® on their CleanGredients® database.",,,1120076,defe435a-fa7c-475e-a627-e56e6736030c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1120076.JPG,,www.don.com/product/1120076,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER SPRAY & WIPE EZ2MIX 80 OZ,Degreaser.,,,1189489,58616533-a4a8-400b-a52b-d0f2b7c98b41,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1189489.JPG,,www.don.com/product/1189489,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DEGREASER MULTI-PURP GREEN KLEEN 1 GAL,"Cleaner Degreaser. High-performance non-butyl degreaser for your toughest cleaning jobs, cuts through dirt and oil. Water-based so it can be used on virtually any surface including concrete, quarry tile, kitchen surfaces, plastic, glass, fiberglass, aluminum, chrome, stainless steel and most painted surfaces.",,,1044842,2baf6b64-1e67-4740-a5c4-46b7d3769040,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1044842.JPG,,www.don.com/product/1044842,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER DEGREASER FOAM 1 GAL,Cleaner.,,,1118132,33aa5cb1-8a7a-49de-8191-5a2b3180d5e1,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1118132.JPG,,www.don.com/product/1118132,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER MARVALOSA TROPICAL BREEZE 1 GAL,"Multi-Purpose Cleaner. Ready to use, effectively cleans dirt, smudges and smears. Highly concentrated formula can be used in mop buckets, trigger sprayers,automatic scrubbers or with wiping cloths. Use on floors, walls and woodwork. Dilution: 2 oz per gallon of water.",,,1173043,100fbad8-3cb1-4be4-be88-b9cd54fb3c0f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1173043.JPG,,www.don.com/product/1173043,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER MULTI-SURF MARVALOSA RTU 32 OZ,"Multi-Surface Cleaner & Glass. Fresh Lavender scent, leaves no chemical residue behind. Ready-to-use streak-free glass cleaner. VOC free cleaner, and pH neutral, safe for the environment. Great to use in the restroom, kitchens and office.",,,1140427,33466339-1560-42e6-a36c-7783346628d7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1140427.JPG,,www.don.com/product/1140427,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER MARVALOSA DCS 1 GAL,Cleaner Deodorizer. This off-the-wall system features complete portability so it can be used in virtually any application. Each gallon bottle includes a SafTFlo™ fitment with closed loop self-venting system that prevents spills and accidental inhalation. Two secondary labels to apply on spray bottles included in each case of concentrate.,,,1042854,153a5552-78f9-4fa8-9079-9c480dc5a771,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1042854.JPG,,www.don.com/product/1042854,,,,Nyco Products,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER RINSE AID 10 L F/RATIONAL COOKER,Rinse Aid Cleaner.,,,1025566,e6775519-62b9-4ead-804c-7596783171f8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1025566.JPG,,www.don.com/product/1025566,,,,Rational Cooking Systems,Cleaning Products,Degreasers_Cleaners,Liquid Degreasers_Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
