name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,group,Level 1 Category,Level 2 Category,Level 3 Category
DEODORIZER PURINEL FOR AUTO CLN,Purinel TC.,,,1J925,132389bb-5227-49d7-b601-bc48a03f274e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J925.JPG,,www.don.com/product/1J925,,,,Newell Brands,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Air Plus,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER  DEODORIZER MINT-N-CLEAN 5 GAL,"Deodorizing Cleaner. Deodorize offensive odors from garbage cans, chutes and dumpsters. EPA approved effective against pseudomonas, salmonella and staphylococcus. Green color, extra heavy mint scent and neutral PH. Dilution ratio: 2 oz per gallon. For use in public restrooms, restaurants, schools, and institutions. Recommended for use on walls, washroom stalls and fixtures, lockers, cabinets, floors, garbage cans, and waste baskets.",,,1J137,d9dc28b8-64c9-44b9-a235-089d2250dc9b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J137.JPG,,www.don.com/product/1J137,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Mint N Clean,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER DON-O-MITE 32 OZ,"Cleaner/Disinfectant. Quaternary-based hospital grade and broad-spectrum disinfectant deodorizing cleaner. Disinfectant and cleaner. Bactericidal, virucidal, fungicidal, mildewstatic. Trigger sprayer included.",,,1J548,64a97414-5552-4555-bf5b-984f1823171d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J548.JPG,,www.don.com/product/1J548,,,,Nyco Products,Cleaning Products,Disinfecting,Don Brand,Donomite Aerosol,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT LEMON AIR PLUS 1 GAL,"Disinfectant Cleaner. Quaternary-based virucidal, fungicidal, bacterial and mildewstatic. Clean-rinsing, low-suds mild alkaline formula. Dilution ratio: use 2-3 oz to 1 gallon of water. Ideal for healthcare, hospitality, schools, and restaurants.",,,1J59,8ba8a21e-b117-480d-a9ef-d74de8672bbc,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J59.JPG,,www.don.com/product/1J59,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Air Plus,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
CLEANER DEODORIZER FOAMY PTC ACID 32 OZ,"Bathroom Cleaner. Foaming porcelain, tub and tile spray. Mildewstatic effect and strong disinfectant power. For use in all shower facilities. A foam sprayer is included with case.",,,1J270,24778732-0d89-4bd2-9a77-1b1a2d1a9de3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J270.JPG,,www.don.com/product/1J270,,,,Nyco Products,Cleaning Products,Disinfecting,Aerosol Disinfecting Cleaners,Don O Mite,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER SANISPRITZ CA,Disinfectant Cleaner.,,,1198079,a7873026-af5f-4e48-a371-07f2ffa1f265,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1198079.JPG,,www.don.com/product/1198079,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER NEUTRAL Q64 30 GAL,Neutral Disinfectant.,,,1005881,6c2c549d-4b90-4be9-9c31-709dcd3a6dc5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1005881.JPG,,www.don.com/product/1005881,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER LEMON AIR PLUS DCS,"Cleaner Disinfect Deodoriz DCS. Cleans and disinfects hard, non-porous surfaces. Low-suds formula great for floors, walls, bathrooms, and showers. Two 1-gallon containers of concentrate make 130 RTU gallons. Comes with a Saf T Flo fitment top to create a closed loop self venting system.",,,1018143,960aa075-f900-4e26-ace3-c5a8c61a786e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1018143.JPG,,www.don.com/product/1018143,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER EVER PINE 1 GAL,Disinfectant Cleaner.,,,1210249,445ff82b-a61d-4f0c-af84-4cf84d649d33,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1210249.JPG,,www.don.com/product/1210249,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
DISINFECTANT CLEANER EVER PINE 5 GAL,Disinfectant Cleaner - Pine Sc.,,,1208856,3380446a-ed85-482b-b012-4a270f997bd9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1208856.JPG,,www.don.com/product/1208856,,,,Nyco Products,Cleaning Products,Disinfecting,Liquid Disinfecting Cleaners,Miscellaneous,,,Edward don,,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemicals
