name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
CLEANER GLASS MIROSPRAY DCS,"Glass Cleaner DCS. Cleans windows, mirrors, chrome, stainless steel, Plexiglas plastic surfaces, and much more. Streak-free formula tackles the toughest cleaning jobs. Two 1-gallon containers of concentrate make 136 RTU gallons. Comes with a Saf T Flo fitment top to create a closed loop self venting system.",,,1017646,bb61e046-b578-4ef9-9285-d95a325ad0f5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1017646.JPG,,www.don.com/product/1017646,,,,Nyco Products,Cleaning Products,Glass Cleaner,Concentrated Glass Cleaners,Mir O Spray Concentrate,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS MIROZERO VOC FREE 32 OZ,"Glass Cleaner. Ready to use, streak-free cleaning. Mir-O-Zero is 100% V.O.C. (volatile organic compound) free—no ammonia, alcohol, butyl, or solvents. Great for windows, metal, plastic, fiberglass, and plexiglass surfaces. Spray directly on surface to be cleaned, wipe dry with a clean cloth.",,,1J983,1c065a81-6f0b-4432-aa2b-3f3c6a168028,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J983.JPG,,www.don.com/product/1J983,,,,Nyco Products,Cleaning Products,Glass Cleaner,Liquid RTU Glass Cleaners,Mir O Zero,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
DETERGENT BAR GLASS LO SUDS 1 GAL,Bar Glass Cleaner. Complete glass sanitizing for any bar. Sparkling clean glasses help beer look better and produce a better head. Sell more beer per keg for increased profits. Choose convenient premeasured packets or economical bulk jars.,,,1209167,6044a207-1eb4-4a94-bd3d-c9d40f45a453,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1209167.JPG,,www.don.com/product/1209167,,,,Nyco Products,Cleaning Products,Glass Cleaner,Liquid RTU Glass Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS MIROSPRAY RTU 1 GAL,"Glass Cleaner. Heavy-duty glass cleaner. Ready to use formula. Non-streaking formula removes dirt, smoke and grime from all surfaces quickly and easily. Great for windows, mirrors, Formica, porcelain, table tops, steam tables, sneeze shields, bar tops, plastic coated menus, and more. For glass and mirrors use a soft, lint-free cloth for best results. Cleans fingerprints and light grease.",,,1J331,13a30490-2184-4415-82cb-930ef27af5aa,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J331.JPG,,www.don.com/product/1J331,,,,Nyco Products,Cleaning Products,Glass Cleaner,Liquid RTU Glass Cleaners,Mir O Spray RTU,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS MIROSPRAY ORIGINAL 32 OZ,"Glass Cleaner. Cleans windows, mirrors, chrome, stainless steel, plexiglas plastic surfaces and much more; available in four formulas. Aerosol (1J604) is a ready-to-use ammonia-free, high-foaming formula that won’t streak or leave a film. Heavy duty glass cleaner (1J331) is an ammoniated, clear blue formula for tough cleaning jobs in a ready-to-use gallon size. Mir-O-Zero (1J983) is 100% VOC (volatile organic compound) free—no ammonia, alcohol, butyl or solvents.",,,1044911,3ae39268-b714-4f16-8b75-46102d42af8d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1044911.JPG,,www.don.com/product/1044911,,,,Nyco Products,Cleaning Products,Glass Cleaner,Aerosol Glass Cleaners,Mir O Spray Aerosol,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
BOTTLE REFILL MIROSPRAY 32OZ,"Spray Bottle. Empty, labeled bottles for Mir-O-Spray products. 32 oz capacity.",,,1J333,4403f491-2cff-46a8-84a7-a31fea5a7aab,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J333.JPG,,www.don.com/product/1J333,,,,Nyco Products,Cleaning Products,Glass Cleaner,Miscellaneous,Glass Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS 32 OZ HD,Cleaner.,,,1188822,922633b9-1c06-404b-ac0d-c23af83063ea,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1188822.JPG,,www.don.com/product/1188822,,,,3M,Cleaning Products,Glass Cleaner,Liquid RTU Glass Cleaners,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS TWIST N FILL 1 LTR,"Cleaner. Cleans windows, mirrors, display cases, fixtures and tabletops. Each bottle mixes with water to make 37 ready-to-use gallons.",,,1J1613,e5bf83ab-ea5a-436c-83fd-46f2bfb234c0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J1613.JPG,,www.don.com/product/1J1613,,,,3M,Cleaning Products,Glass Cleaner,Miscellaneous,Glass Cleaners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS MIR-O-SPRAY AERO 19 OZ,"Glass Cleaner. Dissolves dirt and grime leaves a shine. Cleans and polishes windows, mirrors, sneeze guards, showcases, chrome, stainless steel, light fixtures and more. Choose from foam-action aerosol or ready-to-use liquid. 10 oz, USDA: C1.",,,1J604,9b0c4d1a-9560-435a-980e-b84ce7373f94,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J604.JPG,,www.don.com/product/1J604,,,,Plz Corp,Cleaning Products,Glass Cleaner,Aerosol Glass Cleaners,Mir O Spray Aerosol,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
CLEANER GLASS AEROSOL 20 OZ,Glass Cleaner.,,,1219603,a0695098-d096-407a-ae0e-d242ca0c3ea3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1219603.JPG,,www.don.com/product/1219603,,,,Plz Corp,Cleaning Products,Glass Cleaner,Aerosol Glass Cleaners,Mir O Spray Aerosol,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial & Cleaning,Cleaning Chemical
