name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,,group,Level 1 Category,Level 2 Category,Level 3 Category
SOAP LOTION PURE NATURAL 1600ML,Hand Soap.,,,1002822,18c56ca5-39c2-4b89-9683-b94363cdef5d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002822.JPG,,www.don.com/product/1002822,,,,Newell Brands,Cleaning Products,Hand Hygiene,Liquid Hand Soap,Hand Soap Refills,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER LOTION SOAP NASSAU GRN,Lotion Dispenser.,,,1004578,c06b4085-746f-4d0b-9b3e-3edf7be1ba86,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1004578.JPG,,www.don.com/product/1004578,,,,Front Of The House,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
SANITIZER HAND PURELL 1000 ML,Hand Sanitizer.,,,1005698,8f8e5368-ce9a-472e-a663-8c0ae082e69a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1005698.JPG,,www.don.com/product/1005698,,,,R3 Papercraft,Cleaning Products,Hand Hygiene,Hand Sanitizers,Hand Sanitizer Refills,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER MANUAL WALL FOAM 800- 1000ML,"Dispenser. Highly concentrated, rich foam soap with special skin conditioning ingredients leaves hands feeling smooth and soft. Controlled dose dispensing unit provides over 2,000 hand washes per refill—4x more than traditional liquid soaps. Every refill has a new pump, preventing mess, clogs, and leaks. Compact dispensers have antimicrobial push bar and no-drip nozzle. Environmentally responsible boxless refill packaging and patented nozzle eliminates leaking and dripping for less waste.",,,1011785,881a47d2-f6d6-449f-8a6f-72ea8fe8102f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1011785.JPG,,www.don.com/product/1011785,,,,Newell Brands,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER  AUTO FOAM WHITE WALL 1100 ML,"Dispenser. Highly concentrated, rich foam soap with special skin conditioning ingredients leaves hands feeling smooth and soft. Touch-free dispenser features SmartSensor? technology which detect users hand to automatically dispense a dose of foam soap—stays clean and inviting. Every refill has a new pump, preventing mess, clogs, and leaks. Large 1100ml refill capacity delivers up to 2,750 hand washes. Environmentally responsible boxless refill packaging and patented nozzle eliminates leaking and dripping for less waste.",,,1011792,fa3da549-eab9-4c40-9f4e-3f71ea55a649,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1011792.JPG,,www.don.com/product/1011792,,,,Newell Brands,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
STAND FOR HAND SANITIZING DISPENSER,"Stand. Highly concentrated, rich foam soap with special skin conditioning ingredients leaves hands feeling smooth and soft. Touch-free dispenser features SmartSensor technology which detect users hand to automatically dispense a dose of foam soap—stays clean and inviting. Every refill has a new pump, preventing mess, clogs, and leaks. Large 1100ml refill capacity delivers up to 2,750 hand washes. Environmentally responsible boxless refill packaging and patented nozzle eliminates leaking and dripping for less waste.",,,1011795,522275e9-8d77-4496-9b26-2d333cf60ee0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1011795.JPG,,www.don.com/product/1011795,,,,Newell Brands,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER SOAP LIQUID PLAS WHT,"Soap Dispenser. Closed, sealed system helps promote hand hygiene and helps reduce the risk of contamination. Sleek, modern design that creates a great impression in any environment.",,,1012421,99debbfc-b910-4d82-b49d-9bb689dc1dfa,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1012421.JPG,,www.don.com/product/1012421,,,,Essity,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER SOAP LIQUID PLAS BLK,"Soap Dispenser. Closed, sealed system helps promote hand hygiene and helps reduce the risk of contamination. Sleek, modern design that creates a great impression in any environment.",,,1012422,e371ef3c-ad56-49dd-8184-fb5205118f10,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1012422.JPG,,www.don.com/product/1012422,,,,Essity,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER AUTO FOAM BLACK/CHROME WALL 1,"TC Autofoam Soap Dispenser. Highly concentrated, rich foam soap with special skin conditioning ingredients leaves hands feeling smooth and soft. Touch-free dispenser features SmartSensor technology which detect users hand to automatically dispense a dose of foam soap—stays clean and inviting. Every refill has a new pump, preventing mess, clogs, and leaks. Large 1100ml refill capacity delivers up to 2,750 hand washes. Environmentally responsible boxless refill packaging and patented nozzle eliminates leaking and dripping for less waste.",,,1013351,6b04c892-f2df-46f2-8d9b-0772ad07d4b2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1013351.JPG,,www.don.com/product/1013351,,,,Newell Brands,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
DISPENSER SOAP HANDS FREE SLV,Hands Free Faucet.,,,1016699,a1cd1504-7415-413f-a50a-c9345c7a33ff,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1016699.JPG,,www.don.com/product/1016699,,,,Newell Brands,Cleaning Products,Hand Hygiene,Hand Soap_Sanitizer Dispensers,All Dispensers,,,Edward don,,,,Non-Food,Supplies & Equipment,Health & Personal Care,Hand & Body Care
