name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
SOFTENER LIQUID FABRIC CLO SOFT 1 GAL,"Fabric Softner. Enhances the softness and finish of linens and clothing. Delightfully fresh scent leaves linens and clothing with a fresh, just-washed fragrance. Eliminates static cling and reduces wrinkles. Safe for use on all washable linen and clothing--use in commercial, home style and high efficiency (HE) machines. Works well in all water conditions and temperatures.",,,1104162,8a3de337-8777-47d1-9203-447d5084aafd,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1104162.JPG,,www.don.com/product/1104162,,,,Nyco Products,Cleaning Products,Laundry Products,Laundry Softeners,Liquid Softeners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT LAUNDRY POWDER BLUE WAM 40 LB,"Powdered Laundry Detergent. Cleans, whitens and leaves a fresh lemon scent. Safe for all types of no iron polyester/cotton fabrics. Great for hard water--built-in water softener prevents over-sudsing. Dilutions: Light soil, 1/2 cup per load; medium soil, 3/4 cup per load; heavy soil, 1 cup per load. Provides excellent soils suspensions, penetrates deed soil stains, and rinses easily even in cool water. For automatic institutional machines, follow manufacturer's recommended use instructions.",,,1J142,3fdfd822-7e21-4255-9d7e-34af1525c1b9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J142.JPG,,www.don.com/product/1J142,,,,Nyco Products,Cleaning Products,Laundry Products,Laundry Detergents,Powdered_Beaded Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT LAUNDRY POWER UP 50 LB,Laundry Detergent Powdered- Ec.,,,1248803,a8562d41-fd57-4307-926e-9be8aa09a0c8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1248803.JPG,,www.don.com/product/1248803,,,,Nyco Products,Cleaning Products,Laundry Products,Laundry Detergents,Powdered_Beaded Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT LAUNDRY LIQUID WAM 1 GAL,"Laundry Detergent. Quickly dissolves stubborn, greasy and oily stains. Can be used as a presoak on heavy soils. Safe for all washable fabrics, works in all temperatures. White with a fresh clean scent. For use with low water temperatures. Dilution ratio: 1/2 cup to 50 lbs of laundry.",,,1J361,c1133bbd-1fe0-4c81-9469-32b68dd2f296,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J361.JPG,,www.don.com/product/1J361,,,,Nyco Products,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
SOFTENER FABRIC SHEET .6-OZ WHT,Fabric Softener.,,,1228812,f0cbebf6-a1db-45ec-b693-849dac40b3db,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1228812.JPG,,www.don.com/product/1228812,,,,R3 Papercraft,Cleaning Products,Laundry Products,Laundry Softeners,Dryer Sheet Softeners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT 2-OZ LIQUID CLEAR,Detergent.,,,1228811,cd9d1ce4-4deb-4a5c-a2f8-7d9f18442a84,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1228811.JPG,,www.don.com/product/1228811,,,,R3 Papercraft,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
SPRAY FABRIC 32 OZ ODOR DEFENSE,Fabric Spray.,,,1144785,d6ee92d8-0839-40bd-99bc-aade86fa4e8a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1144785.JPG,,www.don.com/product/1144785,,,,R3 Papercraft,Cleaning Products,Laundry Products,Miscellaneous,Laundry Products,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
BLEACH SOLID COLOR SAFE 3 LB,Bleach.,,,1206500,6797b450-45c4-4121-9732-5091a7baa152,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1206500.JPG,,www.don.com/product/1206500,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Bleach_Whiteners,Powdered Bleach,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
SHEETS DRYER SOFTENER BOUNCE 160 CT,Sheets.,,,1121059,0cd3e74d-1cfa-4639-8dfd-9e62fb0c4c9f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1121059.JPG,,www.don.com/product/1121059,,,,Procter & Gamble Distributing LLC,Cleaning Products,Laundry Products,Laundry Softeners,Dryer Sheet Softeners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
SOFTENER FABRIC 5 GAL PREMIUM,Fabric Softener.,,,1234627,50872839-1f21-4db7-bc59-d4c48a8029c6,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234627.JPG,,www.don.com/product/1234627,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Softeners,Liquid Softeners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
SOFTENER FABRIC 15 GAL PREMIUM,Fabric Softener.,,,1234628,5b7eecbd-7223-48e7-a5f0-0235e6a5f100,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234628.JPG,,www.don.com/product/1234628,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Softeners,Liquid Softeners,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
KIT STARTER STAINBLASTER,Laundry Stain Remover Kit.,,,1165660,c7b956e3-1758-462c-ae35-6282aea70495,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1165660.JPG,,www.don.com/product/1165660,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Bleach_Whiteners,Liquid Bleach,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
BLEACH  HOME STYLE CHLORINE PACKS,Bleach Packs.,,,1204755,78025014-ff1d-49d0-ac72-0ed104e873a7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1204755.JPG,,www.don.com/product/1204755,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Bleach_Whiteners,Liquid Bleach,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT LAUNDRY 3 LB W/COLOR SAFE BLCH,Home Style Detergent.,,,1202469,e74c3266-fb61-45b4-b1c9-b9ce667535b3,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1202469.JPG,,www.don.com/product/1202469,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Detergents,Powdered_Beaded Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT FRESH SCENT 25-CT,Detergent.,,,1228813,958ad0cb-4b3a-4b0a-b303-87457de7077c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1228813.JPG,,www.don.com/product/1228813,,,,Procter & Gamble Distributing LLC,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT 15 GAL SOUR IRON,Detergent.,,,1234630,62a8e9ea-2286-42f5-8cec-078c0e30d062,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234630.JPG,,www.don.com/product/1234630,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT CONCENTRATE DET/RISE 1L,Detergent.,,,1127622,65390e85-677e-4252-ade0-4340cf65d5b0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1127622.JPG,,www.don.com/product/1127622,,,,Unox,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT 15 GAL BUILDER,Detergent.,,,1234626,96460cbc-0355-4b98-be34-53362d02e4d4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234626.JPG,,www.don.com/product/1234626,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT LIQUID LAUNDRY NEUTRAL 5 GAL,Laundry Detergent.,,,1243046,153ca4d3-5136-446d-9202-c440807647fd,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1243046.JPG,,www.don.com/product/1243046,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
DETERGENT 2-1/2 GAL BOOST,Detergent.,,,1234632,1b53499e-462d-498c-bab1-af8ac60c0cc7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1234632.JPG,,www.don.com/product/1234632,,,,Ecolab,Cleaning Products,Laundry Products,Laundry Detergents,Liquid Detergents,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Laundry Detergent
