name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Cleaning
DETERGENT POT & PAN BUBBLE BEADS 50 LB,"Pot and Pan Detergent. Beaded detergent cleans flatware, glassware, dishes, pots and pans, mirrors and windows. Outperforms conventional powders. White with a neutral scent. 200 sinks per 50 lbs. Dilution: 5 oz/25 gallons of water 160 sink loads of pots and pans.",,,1J420,b76a949a-8a08-4a4d-981e-5d8f449ed448,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J420.JPG,,www.don.com/product/1J420,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Powder_Beaded Detergent,Bubble Beads,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT DISHWASH NON-CHLOR 1 GAL,Dishwash Detergent.,,,1J406,a73fb057-e436-4def-b678-905e988454e6,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J406.JPG,,www.don.com/product/1J406,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT DISH CHLORINATED 5 GAL BUCKET,Detergent.,,,1106451,342c5474-b613-4f02-a4ad-b3ccb32b285b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1106451.JPG,,www.don.com/product/1106451,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN FORMULA 318,Pot & Pan Detergent.,,,1210151,ce11c52b-282f-43a4-bd16-07b5e1dbf8b5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1210151.JPG,,www.don.com/product/1210151,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DISHWASH NON-CHLOR 5 GAL,Non-Chlorinated Dishwash.,,,1J214,6f6d9bbf-593f-45fe-8cab-f763937ba758,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J214.JPG,,www.don.com/product/1J214,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Miscellaneous,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN DON PINK 5 GAL,"Pot & Pan Detergent. Hardworking, concentrated detergent. Mild to hands. Pink color with a citrus scent. Dilution ratio: 1 to 6 oz per 3 gallons of water. Allow dirty utensils to soak several minutes to soften and loosen hard food stuff and grease. Allow dirty utensils to soak several minutes to soften and loosen hard food stuff and grease.",,,1J209,eceddc33-dd09-47c9-82c9-9953da1ade59,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J209.JPG,,www.don.com/product/1J209,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Don Pink,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN DON PINK 1 GAL,"Pot & Pan Detergent. Hardworking, concentrated detergent. Mild to hands. Pink color with a citrus scent. Dilution ratio: 1 to 6 oz per 3 gallons of water. Allow dirty utensils to soak several minutes to soften and loosen hard food stuff and grease. If extra sudsing is desired, add Don Pink to sink first, then run tap water at full force.",,,1J208,d0338c08-da1d-4d69-917f-04e50afde053,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J208.JPG,,www.don.com/product/1J208,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Don Pink,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN FRISK PLUS 1 GAL,"Frisk Plus Detergent. Our most concentrated formula. Mild on hands. Aqua blue with a fresh, clean scent. Dilution ratio: 1 oz per 15 gallons of water.",,,1J188,0500d1b8-02bc-43db-8269-64f1657a62ec,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J188.JPG,,www.don.com/product/1J188,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Frisk Plus,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN FRISK 28 OZ,"Frisk Detergent. Thick, concentrated formulas clean heavily soiled pots and pans. Rinses freely with no hard water film. Golden yellow color with a lemon scent. Normal dilution: 1 oz per 12 gal; Light 1 oz per 15 gal; Heavy-Duty 1 oz per 4 gal. Frisk Plus, aqua blue color with a fresh, clean scent.",,,1J196,73a82271-ec3d-4fc3-a285-f7d0482cc76c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J196.JPG,,www.don.com/product/1J196,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Frisk,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
DETERGENT POT & PAN FRISK 1 GAL,"Frisk Detergent. A concentrated high foaming blend of synthetic detergents for removing the most stubborn food stains and grease spots from dishes, pots and pans. Removes heaviest soil yet is gentle on hands. Dilution ratio: Normal 1 oz per 15 gallons of water; Heavy Duty 1 oz to 4 gal. Rinses freely with water leaving no hard water films. Heavy viscous formula eliminates wasted product.",,,1J193,ff051ead-7d62-4007-ad33-b0bcef939f9e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1J193.JPG,,www.don.com/product/1J193,,,,Nyco Products,Cleaning Products,Pot_Pan Detergent,Liquid Detergent,Frisk,,,Edward don,,,Non-Food,Supplies & Equipment,Janitorial Cleaning,Cleaning Chemicals
