name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"PLATE 6"" ORGANIC PLATEWISE",Plate.,Bamboo,,1034023,192aa84f-7756-4f88-b544-51ee580671a0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1034023.JPG,,www.don.com/product/1034023,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOWL 9"" ORGANIC PLATEWISE NAT BAMBOO",Bowl.,Bamboo,,1034034,c1c23d7a-76bc-45bd-a6e0-6fe5994827a8,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1034034.JPG,,www.don.com/product/1034034,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOWL SQUARE 8-1/2"" 72 OZ PLATEWISE NAT",Bowl.,Bamboo,,1034035,055c34ff-aed6-40e9-99b7-b3494f20b452,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1034035.JPG,,www.don.com/product/1034035,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOWL 9-1/4"" SQR 104 OZ PLATEWISE BRN",Bowl.,Bamboo,,1034036,9973e180-887b-4491-9de4-8152ff0c416c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1034036.JPG,,www.don.com/product/1034036,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 9"" PLATEWISE ORGANIC",Plate.,Bamboo,,1034038,64c728ac-4d00-4887-910b-bafb2b8474c2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1034038.JPG,,www.don.com/product/1034038,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"HOLDER POT 10X3"" SML MOD BAMBOO",Pot Holder.,Bamboo,,1035560,8fa645b7-e4e0-48be-994c-8085e942674b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1035560.JPG,,www.don.com/product/1035560,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"HOLDER POT 10X3"" SML MOD BLK BAMBOO",Pot Holder.,Bamboo,,1035568,3a6b1ed6-905c-4542-8c5f-1a6b3923daa5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1035568.JPG,,www.don.com/product/1035568,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"SPOON 5"" BAMBOO BRN",Spoon.,Bamboo,,1035569,3221a896-ef3a-4fbc-bb69-8a58e1d40177,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1035569.JPG,,www.don.com/product/1035569,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"SPOON 12"" BAMBOO",Spoon.,Bamboo,,1039769,0ef6e7c0-8375-4cf7-9208-bb1d24580653,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1039769.JPG,,www.don.com/product/1039769,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL MOD 10 OZ PLATEWISE BAMBOO,Bowl.,Bamboo,,1049795,640040d9-ce24-43c6-89a7-03121b00cd76,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049795.JPG,,www.don.com/product/1049795,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL MOD 16 OZ PLATEWISE BAMBOO,Bowl.,Bamboo,,1049796,813853a1-1679-4fb4-8298-de7ff0ffec44,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1049796.JPG,,www.don.com/product/1049796,,,,Front Of The House,Dinnerware,Earth Friendly,Bamboo,Front of the House,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
