name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
BOWL 8 OZ SLANTED GLASS CLR,Glass Slanted Bowl.,Glass,,1002236,63d1872a-51b5-4819-b407-798d2be5b9bb,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002236.JPG,,www.don.com/product/1002236,,,,Front Of The House,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 11-1/2X11-1/2"" HALO GLASS",Plate.,Glass,,1004035,63102f1c-49be-4316-9e1e-c8e48eab9ce9,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1004035.JPG,,www.don.com/product/1004035,,,,Steelite International,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL STKG 7-1/2 OZ FT GLASS,Stacking Bowl. Fully tempered pressed glassware for strength and durability. Heat- and shock-resistant. Stackable to save valuable storage space. Assorted sizes from 1 1/4 ounces to 5 quarts.,Glass,,1004245,631eb39a-2d0f-4342-9304-982b2b34915a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1004245.JPG,,www.don.com/product/1004245,,,,Cardinal International,Dinnerware,Glass Dinnerware,Cardinal,Stack Bowls,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
DISH DESSERT 12-1/2 OZ PALMIER GLASS,Dessert Dish.,Glass,,1004863,570a49f3-fd41-4e7d-b058-f2886068e1fe,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1004863.JPG,,www.don.com/product/1004863,,,,Cardinal International,Dinnerware,Glass Dinnerware,Cardinal,Palmier,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL 12 OZ GLASS CLR POMPEI,Stack Bowl.,Glass,,1005603,0f40ef12-bbf3-4bd9-9cad-0fbf7959f11c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1005603.JPG,,www.don.com/product/1005603,,,,Steelite International,Dinnerware,Glass Dinnerware,Steelite,Pompei,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
DISH SHERBET 5 OZ GLASS CLR,Sherbet Dish.,Glass,,1007183,8f2f6191-7daa-4db9-8f24-9371ffc5157b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1007183.JPG,,www.don.com/product/1007183,,,,Anchor Hocking Company,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 9-3/4"" GLASS CLR",Plate.,Glass,,1008606,fc792986-a772-4684-9be3-25cf73f28135,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1008606.JPG,,www.don.com/product/1008606,,,,International Tableware,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"DISH DEEP 5-3/4X3-3/4"" 4 OZ NAMI",Dish. Modern design that add fresh appeal to any tabletop. Commercial grade porcelain with high alumina content added for strength and durability. Designed to complement your existing dinnerware.,Porcelain,,1014300,b071520f-00c7-4b2d-a6d1-0f76dc29570e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1014300.JPG,,www.don.com/product/1014300,,,,Front Of The House,Dinnerware,Glass Dinnerware,Front of the House,Nami,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"DISH 8"" FOR BANANA SPLIT GLASS CLR",Desert Dish.,Glass,,1015773,004f9e5d-f8ee-4c50-9b16-0f601d1258a4,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1015773.JPG,,www.don.com/product/1015773,,,,Anchor Hocking Company,Dinnerware,Glass Dinnerware,Miscellaneous Dinnerware,Glass Dinnerware,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOWL 11-3/4"" KALEIDOSCOPE GLASS CLR",Slant Bowl.,Glass,,1016456,30e201a9-0d86-4aed-96b2-f082a279b227,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1016456.JPG,,www.don.com/product/1016456,,,,Front Of The House,Dinnerware,Glass Dinnerware,Front of the House,Kaleidoscope,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
