name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"PLATTER 12X9"" KINGLINE MEL","Platter. Made of sturdy, break resistant melamine. Resists oils and staining. A great option for school cafeterias and casual dining restaurants due to price and replacement cost.",Melamine,,1000355,37739d93-2d57-43db-8c62-9262faabad0e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000355.JPG,,www.don.com/product/1000355,,,,Cfs Brands LLC,Dinnerware,Plastic_Melamine Dinnerware,Carlisle,Kingline,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL 160 OZ SERVING PLAS WHT,"Bowl. A best-seller for decades, Diamond White has become an industry standard for casual dining. Built with resilient durability for high-volume commercial kitchens, these collections stand the test of time, saving you money as you continue to serve with confidence.",Melamine,,1000504,5b018fa3-0591-4e97-81b7-407c617e6049,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000504.JPG,,www.don.com/product/1000504,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL 60 OZ FR RND PLAS WHT,"Bowl. A best-seller for decades, Diamond White has become an industry standard for casual dining. Built with resilient durability for high-volume commercial kitchens, these collections stand the test of time, saving you money as you continue to serve with confidence.",Melamine,,1000969,b0d568cf-9d9d-4c9d-8d14-956fe2ce762b,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000969.JPG,,www.don.com/product/1000969,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
MUG 18 OZ COFFEE/SOUP PLAS WHT,Mug.,Melamine,,1000970,4f023573-933d-4e74-925d-0cfbdce6e537,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000970.JPG,,www.don.com/product/1000970,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 7-1/4"" DIAMOND WHITE MEL","Plate. A best-seller for decades, Diamond White has become an industry standard for casual dining. Built with resilient durability for high-volume commercial kitchens, these collections stand the test of time, saving you money as you continue to serve with confidence.",Melamine,,1000971,fb9ed8c3-13b0-4a71-8e13-83b7b2781e94,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000971.JPG,,www.don.com/product/1000971,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE WR 7-1/2"" DIAMOND IVORY MEL",Plate.,Melamine,,1001931,9c7b8a6d-93f7-405a-bd32-01b1bafadb0c,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001931.JPG,,www.don.com/product/1001931,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE WR 9"" DIAMOND IVORY MEL",Plate.,Melamine,,1001932,9ac77b0c-8a9b-43e8-a04c-b6f9c164a67d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001932.JPG,,www.don.com/product/1001932,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"BOWL 7-1/2"" 12 OZ CHEXERS PLAS WHT",Bowl.,Melamine,,1002146,e7d042bf-38d7-4389-aee3-4ca011940920,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002146.JPG,,www.don.com/product/1002146,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
MUG 12 OZ COFFEE SAN PLAS WHT,Coffee Mug.,SAN,,1002147,347745f8-ec5f-43e3-a512-8392b3c33747,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002147.JPG,,www.don.com/product/1002147,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE WR 10-1/2"" DIAMOND CHEXERS MEL",Plate.,Melamine,,1002149,7506603f-e74c-40a0-afdd-928779b3e953,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002149.JPG,,www.don.com/product/1002149,,,,G.E.T,Dinnerware,Plastic_Melamine Dinnerware,G.E.T.,Other G.E.T.,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
