name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
"PLATE RECT 4X8"" ARTIC CLR",Plate.,Glass,,1000016,058fca19-e171-4601-bc8b-e33d1b2c237e,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000016.JPG,,www.don.com/product/1000016,,,,Front Of The House,Dinnerware,Select China,Front of the House,Porcelain,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE RECT 4X8"" ARTIC FROSTED GLASS",Plate.,Glass,,1000017,426c7525-924b-4afc-9d35-eb1170b43372,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000017.JPG,,www.don.com/product/1000017,,,,Front Of The House,Dinnerware,Select China,Front of the House,Porcelain,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATTER 24"" ARTIC GLASS CLR",Platter.,Glass,,1000022,60bd70e0-f7c6-487b-a5e5-78b9de0cfa6f,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000022.JPG,,www.don.com/product/1000022,,,,Front Of The House,Dinnerware,Select China,Front of the House,Porcelain,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
MUG 11 OZ MOD PORCELAIN WHT,Mug.,Porcelain,,1000879,b6438cce-45ea-44a9-a2ea-cf4d2beec998,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000879.JPG,,www.don.com/product/1000879,,,,Front Of The House,Dinnerware,Select China,Front of the House,Mod,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"SAUCER 5"" COUPE ALASKA/COLORADO",Saucer.,Porcelain,,1001120,4753e894-59bf-4dfe-87e6-7b2c55eeb2df,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001120.JPG,,www.don.com/product/1001120,,,,Tuxton China,Dinnerware,Select China,Tuxton,Alaska,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
CUP 3 OZ DEMITASSE ALASKA/ COLO WHT,Cup.,Vitrified China,,1001121,e5485cd7-05b9-4686-8f72-7c99cb59e924,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001121.JPG,,www.don.com/product/1001121,,,,Tuxton China,Dinnerware,Select China,Tuxton,Alaska,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 7-1/4"" NR BAHAMAS",Plate.,Vitrified China,,1001282,f1c99e28-60c2-4c0f-9bdc-336f3d2c4a48,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001282.JPG,,www.don.com/product/1001282,,,,Tuxton China,Dinnerware,Select China,Tuxton,Other Tuxton,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE SQR 8-1/2"" SQUARE COBALT",Plate.,Vitrified China,,1001337,1b70a68c-49ff-4575-a6a1-c56ab21aeef0,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1001337.JPG,,www.don.com/product/1001337,,,,Tuxton China,Dinnerware,Select China,Tuxton,Squares,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATTER 9-1/2"" RECT OFF WHT",Platter.,Ceramic,,1002231,9e0b6925-4641-45c8-9434-8e293423b2ee,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002231.JPG,,www.don.com/product/1002231,,,,Cameo China Us Inc,Dinnerware,Select China,Other Select China,Select China,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 13-1/8"" PIZZA/SERVING WHT",Serving Plate.,Vitrified China,,1002362,c4b64a9e-488f-43a3-a997-1e825a099b27,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1002362.JPG,,www.don.com/product/1002362,,,,Tuxton China,Dinnerware,Select China,Tuxton,Other Tuxton,,,Edward don,,,Non-Food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
