name,description,material,product_variants,sku,product_id,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,1 category,2 category,3 category,4 category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
BOWL 7 OZ BOUILLON RND CHINA WHT,Bouillon Bowl.,China,,1000333,ffd715d5-2ff4-43dd-9a34-ac72438cab9a,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000333.JPG,,www.don.com/product/1000333,,,,1880 Hospitality,Dinnerware,Superior China,Oneida,Other Oneida,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
TRAY 3 COMP PATRA PORCELAIN,Tray.,Porcelain,,1000525,acf31deb-1acb-4227-8645-a51f1211873d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000525.JPG,,www.don.com/product/1000525,,,,Steelite International,Dinnerware,Superior China,Steelite,Other Steelite,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 10"" REFLECTIONS WHT","Plate. Distinctive shapes and a wide range of sizes are designed to complement every cuisine. Fully vitrified, high-alumina china. Aluma White™ bright white.",China,,1000674,ee66064c-890f-40fa-9f1c-7ca0858a7e66,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000674.JPG,,www.don.com/product/1000674,,,,World Tableware,Dinnerware,Superior China,Syracuse,Reflections,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL FRUIT RND 4 OZ RONDO WHT,"Fruit Dish. Rondo's wide rims and deep coupes with soft concentric rings compliment a variety of menus and décor. The bright white body is made of Aluminite, a porcelain strengthened with alumina for added durability. Mix and match with any of the Aluminite collection.",China,,1000756,54abc20f-2436-43af-92ba-89fb40aed2f2,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000756.JPG,,www.don.com/product/1000756,,,,Cardinal International,Dinnerware,Superior China,Cardinal,Rondo,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE ROUND 12"" RONDO CHINA WHT","Service Plate. Rondo's wide rims and deep coupes with soft concentric rings compliment a variety of menus and décor. The bright white body is made of Aluminite, a porcelain strengthened with alumina for added durability. Mix and match with any of the Aluminite collection.",China,,1000757,1db5b31d-9fd3-49db-a939-caa50c367cc5,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000757.JPG,,www.don.com/product/1000757,,,,Cardinal International,Dinnerware,Superior China,Cardinal,Rondo,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
CREAMER SML 4-1/2 OZ RONDO WHT,"Creamer. Rondo's wide rims and deep coupes with soft concentric rings compliment a variety of menus and décor. The bright white body is made of Aluminite, a porcelain strengthened with alumina for added durability. Mix and match with any of the Aluminite collection.",China,,1000760,bdd6ace6-e696-48c0-9ff8-d16d12d4ed46,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000760.JPG,,www.don.com/product/1000760,,,,Cardinal International,Dinnerware,Superior China,Cardinal,Rondo,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
BOWL BOUILLON STKG 11 OZ REFLECTIONS,"Stacking Bouillon. Distinctive shapes and a wide range of sizes are designed to complement every cuisine. Fully vitrified, high-alumina china. Aluma White™ bright white.",China,,1000850,2f42396c-4d1b-4da0-89cd-2362e93167a7,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000850.JPG,,www.don.com/product/1000850,,,,World Tableware,Dinnerware,Superior China,Syracuse,Reflections,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PLATE 10"" DINNER SPYRO WHT",Plate.,China,,1000854,5e981372-9ecc-4c63-9987-89c18cd958ea,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000854.JPG,,www.don.com/product/1000854,,,,Steelite International,Dinnerware,Superior China,Steelite,Other Steelite,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
"PAD 4"" FOR BUTTER RND CERAMIC WHT",Butter Pad.,Ceramic,,1000868,29e51d77-a632-43df-82e8-8d76ffcce493,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000868.JPG,,www.don.com/product/1000868,,,,Churchill China Uk Limited,Dinnerware,Superior China,Churchhill,Other Churchhill,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
MUG 12 OZ LATTE CONICAL CHINA WHT,Cafe Latte Mug.,Ceramic,,1000869,4c72b039-7d45-4c26-aa46-fb17d954305d,,,,,,,https://www.don.com/UserFiles/Images/Products/Individuals/1000869.JPG,,www.don.com/product/1000869,,,,Churchill China Uk Limited,Dinnerware,Superior China,Churchhill,Other Churchhill,,,Edward don,,,Non-food,Supplies & Equipment,Kitchen & Cutlery,Cutlery
