"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"UNDERCOUNTER FREEZER 27"" 120 V","Undercounter Freezer.","Stainless Steel","","1000259","38c1f01a-1fdd-4c13-ab7f-b00f14c6a06e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000259.JPG","","www.don.com/product/1000259","","","","Beverage Air","Equipment","Refrigeration","Freezers","Under Counter Freezers","","","Edward don","",""
"UNDERCOUNTER REFRIGERATOR 120 V","Undercounter Refrigerator.","Stainless Steel","","1000260","b5f67b0f-0ab9-410c-a59b-8d6623329101","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000260.JPG","","www.don.com/product/1000260","","","","Beverage Air","Equipment","Refrigeration","Refrigerators","Under Counter Refrigerators","","","Edward don","",""
"RACK REFRIGERATOR 21X64X26 ROLL","Roll in Refrigerator Rack.","Aluminum","","1001859","e6529b6c-4f63-4ecc-a01b-de075f1066a7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001859.JPG","","www.don.com/product/1001859","","","","Intermetro Industries","Equipment","Refrigeration","Refrigerators","Roll In Refrigerators","","","Edward don","",""
"REFRIGERATOR MARINE MOBILE 220V","Mobile Refrigerator.","Stainless Steel","","1003002","21de250c-5895-46a3-a629-83a109aac9ff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003002.JPG","","www.don.com/product/1003002","","","","Carter Hoffmann","Equipment","Refrigeration","Refrigerators","Roll In Refrigerators","","","Edward don","",""
"MACHINE ICE FULL DICE 450LB 22""W NO BIN","Ice Machine.","Stainless Steel","","1005442","475c4aa9-0153-41a8-afe5-70b23a307ce6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005442.JPG","","www.don.com/product/1005442","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 450LB 22""W NO BIN","Self- Contained Ice Machine.","Stainless Steel","","1005443","1e32bc93-ff74-49c1-94fd-031d4e65389d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005443.JPG","","www.don.com/product/1005443","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 450LB 30""W NO BIN","Self-Contained Ice Machine.","Stainless Steel","","1005444","4d2994f2-ec9d-446c-9d74-cddec61f37b1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005444.JPG","","www.don.com/product/1005444","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 450LB 30""W NO BIN","Self-Contained Ice Machine.","Stainless Steel","","1005445","34fb57d1-fe08-41ff-bba2-081033370039","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005445.JPG","","www.don.com/product/1005445","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 650LB 30""W NO BIN","Self-Contained Ice Machines.","Stainless Steel","","1005447","7da4486c-36b6-4cb9-bff4-3e18fa671099","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005447.JPG","","www.don.com/product/1005447","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 1060LB 30""W NO BIN","Self-Contained Ice Machine.","Stainless Steel","","1005448","b5379df5-9128-483c-bc85-7ce79e95052a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005448.JPG","","www.don.com/product/1005448","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
"MACHINE ICE FULL DICE 1060LB 30""W NO BIN","Self-Contained Ice Machine.","Stainless Steel","","1005449","b2e22ad4-c383-4786-9168-60af51ac2911","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005449.JPG","","www.don.com/product/1005449","","","","Pentair Commercial Ice - Manitowoc","Equipment","Refrigeration","Ice Machines","Self Contained Ice Machines","","","Edward don","",""
