"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CART 6 TRAY PATIENT NIGHT DLVR SS WALNUT","Tray Delivery Cart.","Stainless Steel","","1015124","d59c4d6d-4abb-4cc3-bb6f-83f19506e9dc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1015124.JPG","","www.don.com/product/1015124","","","","Lakeside Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 63-5/8"" GRANITE GRY","Meal Delivery Cart.","Polyethylene","","1034020","987ec286-6d38-4db4-a93f-3c8f3a9ddf8c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034020.JPG","","www.don.com/product/1034020","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 63-5/8"" GRANITE SAND","Meal Delivery Cart.","Polyethylene","","1034022","dc1af931-8a23-4cf7-baf9-3c87d3e71ced","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034022.JPG","","www.don.com/product/1034022","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERRY 20 TRAYS GRANITE GRA","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034031","d0801320-b758-45bd-aeea-2b6c5c7c5c1b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034031.JPG","","www.don.com/product/1034031","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 20 TRAY GRANITE GRN","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034032","46912895-b8c7-40b1-8817-21567eed4168","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034032.JPG","","www.don.com/product/1034032","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 20 TRAY GRANITE SAND","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034033","b0afc6f2-f69f-4c19-9704-3db87dfe3ccc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034033.JPG","","www.don.com/product/1034033","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 20 TRAYS SLATE BLU","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034044","6e94cc5b-a511-48ab-96a4-a0c60948d4e7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034044.JPG","","www.don.com/product/1034044","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 16 TRAYS GRANITE GRY","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034046","028380ef-f898-413b-bfcc-944c36a9221d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034046.JPG","","www.don.com/product/1034046","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 16 TRAYS GRANITE GRN","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034047","bd30f461-dc6b-492e-a06e-81e808fb6932","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034047.JPG","","www.don.com/product/1034047","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 16 TRAYS GRANITE SAND","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034069","0efbd736-24f9-4f8a-8b00-6c7815209872","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034069.JPG","","www.don.com/product/1034069","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 16 TRAYS SLATE BLU","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034070","1a088520-01dd-4fd4-837f-f8916060e98e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034070.JPG","","www.don.com/product/1034070","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 30 TRAY GRANITE GRY","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034072","b8bf316b-a30b-40cb-936f-8baaf2968f79","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034072.JPG","","www.don.com/product/1034072","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART MEAL DELIVERY 3 COMP GRANITE GRN","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034178","cd3e0b07-a031-4c60-8a84-2834cc76c6db","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034178.JPG","","www.don.com/product/1034178","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART 30T 14X18 GRANITE SAND","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyether","","1034180","dd6714a3-6b70-4d32-8b7a-a140123b4e80","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034180.JPG","","www.don.com/product/1034180","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART 30T 14X18 SLATE BLU","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Polyethylene","","1034181","ba082ee7-e0ff-4cd0-881c-b75e20e51931","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034181.JPG","","www.don.com/product/1034181","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART 30T 14X18 DARK BRN/LIGHT GRAY","Cart.","Polyethylene","","1034182","d51ba19b-d166-4c75-b45d-5249805f4029","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034182.JPG","","www.don.com/product/1034182","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART 20T 15X20 GRANITE GRAY","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Plastic","","1034331","941298fa-4be5-4758-a58f-4a6cc9e4ef78","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034331.JPG","","www.don.com/product/1034331","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
"CART 20T 15X20 GRANITE GREEN","Meal Delivery Cart. Reduces hallway noise and maintains optimal food quality up until delivery, enhancing the patient experience.. Designed to promote air circulation to keep food at adequate temperature. Built with quiet, easy-to-maneuver casters. Models available for 14"" x 18"" and 15"" x 20"" with standard rail spacing 5¼"".. Doors open 270˚ for easy access..","Plastic","","1034332","02f077d0-53c3-470d-a7e7-494aa892dd4c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034332.JPG","","www.don.com/product/1034332","","","","Cambro Manufacturing","Equipment","Dietary_Healthcare","Tray Delivery Carts","All Tray Delivery Carts","","","Edward don","",""
